app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Note: This Cost Center is a Group. Cannot make accounting entries against groups.,,,,erpnext,ملاحظة: مركز التكلفة هذا هو مجموعة. لا يمكن إجراء القيود المحاسبية مقابل المجموعات.,,ملاحظة: مركز التكلفة هذا هو مجموعة. لا يمكن إجراء القيود المحاسبية مقابل المجموعات.,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Accounts Receivable Discounted Account,,,,erpnext,حسابات القبض على حساب مخفضة,,حسابات القبض على حساب مخفضة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Future Payments,,,,erpnext,المدفوعات المستقبلية,,المدفوعات المستقبلية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,"While creating account for Child Company {0}, parent account {1} found as a ledger account.",,,,erpnext,أثناء إنشاء حساب الشركة الفرعية {0} ، تم العثور على الحساب الرئيسي {1} كحساب دفتر أستاذ.,,أثناء إنشاء حساب الشركة الفرعية {0} ، تم العثور على الحساب الرئيسي {1} كحساب دفتر أستاذ.,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Repost Payment Ledger,,,,erpnext,,إعادة نشر دفتر أستاذ الدفع,إعادة نشر دفتر أستاذ الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Opening Invoices,,,,erpnext,,الفواتير الافتتاحية,الفواتير الافتتاحية,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Stock Adjustment Account,,,,erpnext,حساب تسوية الأوراق المالية,,حساب تسوية الأوراق المالية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Accounting Masters,,,,erpnext,الماجستير المحاسبة,,الماجستير المحاسبة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Get Advances Paid,,,,erpnext,الحصول على السلف المدفوعة,,الحصول على السلف المدفوعة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Period Closing Voucher {0} GL Entry Processing Failed,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Get Invoices,,,,erpnext,الحصول على الفواتير,,الحصول على الفواتير,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,From Voucher Detail No,,,,erpnext,,من رقم تفاصيل السند,من رقم تفاصيل السند,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Creating Sales Invoices ...,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Invoice Series,,,,erpnext,سلسلة الفاتورة,,سلسلة الفاتورة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,POS Invoice is already consolidated,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Journal Entries {0} are un-linked,,,,erpnext,إدخالات قيد اليومية {0} غير مترابطة,,إدخالات قيد اليومية {0} غير مترابطة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,{0} {1}: Customer is required against Receivable account {2},,,,erpnext,{0} {1}: الزبون مطلوب بالمقابلة بالحساب المدين {2},,{0} {1}: الزبون مطلوب بالمقابلة بالحساب المدين {2},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Automatically Fetch Payment Terms from Order,,,,erpnext,,جلب شروط الدفع تلقائيا من الأمر,جلب شروط الدفع تلقائيا من الأمر,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Accumulated Monthly Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Please set Depreciation related Accounts in Asset Category {0} or Company {1},,,,erpnext,يرجى تحديد الحسابات المتعلقة بالاهلاك في فئة الأصول {0} أو الشركة {1},,يرجى تحديد الحسابات المتعلقة بالاهلاك في فئة الأصول {0} أو الشركة {1},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Payment Terms:,,,,erpnext,شروط الدفع:,,شروط الدفع:,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,New Balance In Account Currency,,,,erpnext,,الرصيد الجديد بعملة الحساب,الرصيد الجديد بعملة الحساب,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Unreconcile Payment,,,,erpnext,,إلغاء تسوية الدفع,إلغاء تسوية الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,The currency of invoice {} ({}) is different from the currency of this dunning ({}).,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Deferred Accounting Settings,,,,erpnext,إعدادات المحاسبة المؤجلة,,إعدادات المحاسبة المؤجلة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Please set Accounting Dimension {} in {},,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,You had {} errors while creating opening invoices. Check {} for more details,,,,erpnext,كان لديك {} من الأخطاء أثناء إنشاء الفواتير الافتتاحية. تحقق من {} لمزيد من التفاصيل,,كان لديك {} من الأخطاء أثناء إنشاء الفواتير الافتتاحية. تحقق من {} لمزيد من التفاصيل,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Total Payment Amount in Payment Schedule must be equal to Grand / Rounded Total,,,,erpnext,يجب أن يكون إجمالي مبلغ الدفع في جدول الدفع مساويا للمجموع الكبير / المستدير,,يجب أن يكون إجمالي مبلغ الدفع في جدول الدفع مساويا للمجموع الكبير / المستدير,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Party Type and Party can only be set for Receivable / Payable account<br><br>{0},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch;html_imbalance,,Pending,
erpnext,Account Currency,,,,erpnext,عملة الحساب,,عملة الحساب,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Invoice and Billing,,,,erpnext,,الفواتير والفوترة,الفواتير والفوترة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Payment Reconciliation Allocation,,,,erpnext,,تخصيص تسوية الدفع,تخصيص تسوية الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Mode Of Payment,,,,erpnext,طريقة الدفع,,طريقة الدفع,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Row {0}: Advance against Supplier must be debit,,,,erpnext,الصف {0}:المورد المقابل المتقدم يجب أن يكون مدين\n<br>\nRow {0}: Advance against Supplier must be debit,,الصف {0}:المورد المقابل المتقدم يجب أن يكون مدين\n<br>\nRow {0}: Advance against Supplier must be debit,,accounts,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Dimension-wise Accounts Balance Report,,,,erpnext,,تقرير رصيد الحسابات حسب البُعد,تقرير رصيد الحسابات حسب البُعد,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Net Change in Accounts Payable,,,,erpnext,صافي التغير في الحسابات الدائنة,,صافي التغير في الحسابات الدائنة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Payment Document Type,,,,erpnext,نوع مستند الدفع,,نوع مستند الدفع,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Payment related to {0} is not completed,,,,erpnext,الدفع المتعلق بـ {0} لم يكتمل,,الدفع المتعلق بـ {0} لم يكتمل,,accounts,pending,,,,,,,,,,,,Approved,
frappe,Use Report Chart,,,,frappe,استخدم مخطط التقرير,,استخدم مخطط التقرير,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Discount Account,,,,erpnext,,حساب الخصم,حساب الخصم,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Repair Purchase Invoices,,,,erpnext,,فواتير شراء الإصلاح,فواتير شراء الإصلاح,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Party Type and Party is mandatory for {0} account,,,,erpnext,نوع الطرف والحزب إلزامي لحساب {0},,نوع الطرف والحزب إلزامي لحساب {0},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Accounting Details,,,,erpnext,,تفاصيل المحاسبة,تفاصيل المحاسبة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Equity/Liability Account,,,,erpnext,حساب الأسهم / المسؤولية,,حساب الأسهم / المسؤولية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Hold Invoice,,,,erpnext,عقد الفاتورة,,عقد الفاتورة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Import Chart of Accounts from a csv file,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Against Journal Entry {0} does not have any unmatched {1} entry,,,,erpnext,قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق\n<br>\nAgainst Journal Entry {0} does not have any unmatched {1} entry,,قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق\n<br>\nAgainst Journal Entry {0} does not have any unmatched {1} entry,,accounts,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Linked Invoices,,,,erpnext,الفواتير المرتبطة,,الفواتير المرتبطة,,accounts,pending,,,,,,,,,,,,Approved,
frappe,Note: Your request for account deletion will be fulfilled within {0} hours.,,,,frappe,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,POS Invoice Reference,,,,erpnext,مرجع فاتورة نقاط البيع,,مرجع فاتورة نقاط البيع,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,"If the account is frozen, entries are allowed to restricted users.",,,,erpnext,إذا الحساب مجمد، يسمح بالدخول إلى المستخدمين المحددين.,,إذا الحساب مجمد، يسمح بالدخول إلى المستخدمين المحددين.,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,General and Payment Ledger mismatch,,,,erpnext,,عدم تطابق دفتر الأستاذ العام ودفتر أستاذ الدفع,عدم تطابق دفتر الأستاذ العام ودفتر أستاذ الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,The following Purchase Invoices are not submitted:,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Please set Purchase Expense Contra Account in Company {0},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Please select a supplier for fetching payments.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,This schedule was created when Asset {0} was restored due to Sales Invoice {1} cancellation.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Accounts to Merge,,,,erpnext,,الحسابات المطلوب دمجها,الحسابات المطلوب دمجها,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Roles Allowed to Set and Edit Frozen Account Entries,,,,erpnext,,الأدوار المسموح لها بتعيين وتعديل قيود الحسابات المجمدة,الأدوار المسموح لها بتعيين وتعديل قيود الحسابات المجمدة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,,,,erpnext,"{0} {1}: نوع حساب ""الربح والخسارة"" {2} غير مسموح به في قيد افتتاحي",,"{0} {1}: نوع حساب ""الربح والخسارة"" {2} غير مسموح به في قيد افتتاحي",,accounts,pending,,,,,,,,,,,,Approved,
frappe,Cannot edit filters for standard charts,,,,frappe,لا يمكن تحرير عوامل التصفية للمخططات القياسية,,لا يمكن تحرير عوامل التصفية للمخططات القياسية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,"Payment Entry {0} is linked against Order {1}, check if it should be pulled as advance in this invoice.",,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Payment Ordered,,,,erpnext,دفع أمر,,دفع أمر,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Default Receivable Account,,,,erpnext,حساب المدينون الافتراضي,,حساب المدينون الافتراضي,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Warehouse's Stock Value has already been booked in the following accounts:,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Please set Fixed Asset Account in Asset Category {0},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Accounting Entry for Stock,,,,erpnext,القيود المحاسبية للمخزون,,القيود المحاسبية للمخزون,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Enabling the check box will fetch timesheet on select of a Project in Sales Invoice,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,"Payment Gateway Account not created, please create one manually.",,,,erpnext,حساب بوابة الدفع لم يتم انشاءه، يرجى إنشاء واحد يدويا.,,حساب بوابة الدفع لم يتم انشاءه، يرجى إنشاء واحد يدويا.,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Account Details,,,,erpnext,تفاصيل الحساب,,تفاصيل الحساب,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Expense Contra Account,,,,erpnext,,حساب مقابل مصروف الشراء,حساب مقابل مصروف الشراء,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Invalid Ledger Entries,,,,erpnext,,قيود دفتر الأستاذ غير صالحة,قيود دفتر الأستاذ غير صالحة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Default Cash Account,,,,erpnext,حساب النقد الافتراضي,,حساب النقد الافتراضي,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Accounts Closing,,,,erpnext,,إغلاق الحسابات,إغلاق الحسابات,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,You cannot credit and debit same account at the same time,,,,erpnext,لا يمكن إعطاء الحساب قيمة مدين وقيمة دائن في نفس الوقت,,لا يمكن إعطاء الحساب قيمة مدين وقيمة دائن في نفس الوقت,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Total Incoming Payment,,,,erpnext,,إجمالي المدفوعات الواردة,إجمالي المدفوعات الواردة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Enabling this will allow creation of multi-currency invoices against single party account in company currency,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,No Outstanding Invoices found for this party,,,,erpnext,,لم يتم العثور على فواتير مستحقة لهذه الجهة,لم يتم العثور على فواتير مستحقة لهذه الجهة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,you must select Capital Work in Progress Account in accounts table,,,,erpnext,يجب عليك تحديد حساب رأس المال قيد التقدم في جدول الحسابات,,يجب عليك تحديد حساب رأس المال قيد التقدم في جدول الحسابات,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Set default {0} account for non stock items,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Payment URL,,,,erpnext,,رابط الدفع,رابط الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Row #{}: POS Invoice {} has been {},,,,erpnext,الصف رقم {}: فاتورة نقاط البيع {} كانت {},,الصف رقم {}: فاتورة نقاط البيع {} كانت {},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,No Impact on Accounting Ledger,,,,erpnext,,لا تأثير على دفتر الأستاذ المحاسبي,لا تأثير على دفتر الأستاذ المحاسبي,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Duplicate POS Invoices found,,,,erpnext,,تم العثور على فواتير نقطة بيع مكررة,تم العثور على فواتير نقطة بيع مكررة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Process Deferred Accounting,,,,erpnext,عملية المحاسبة المؤجلة,,عملية المحاسبة المؤجلة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Account with child nodes cannot be converted to ledger,,,,erpnext,لا يمكن تحويل الحساب إلى دفتر الأستاذ لأن لديه حسابات فرعية\n<br>\nAccount with child nodes cannot be converted to ledger,,لا يمكن تحويل الحساب إلى دفتر الأستاذ لأن لديه حسابات فرعية\n<br>\nAccount with child nodes cannot be converted to ledger,,accounts,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Splitting {0} {1} into {2} rows as per Payment Terms,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"Can not filter based on Voucher No, if grouped by Voucher",,,,erpnext,لا يمكن الفلتره علي اساس (رقم الأيصال)، إذا تم وضعه في مجموعة على اساس (ايصال),,لا يمكن الفلتره علي اساس (رقم الأيصال)، إذا تم وضعه في مجموعة على اساس (ايصال),,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Row #{}: Serial No {} cannot be returned since it was not transacted in original invoice {},,,,erpnext,الصف # {}: لا يمكن إرجاع الرقم التسلسلي {} لأنه لم يتم التعامل معه في الفاتورة الأصلية {},,الصف # {}: لا يمكن إرجاع الرقم التسلسلي {} لأنه لم يتم التعامل معه في الفاتورة الأصلية {},,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Debit Amount in Account Currency,,,,erpnext,المبلغ المدين بعملة الحساب,,المبلغ المدين بعملة الحساب,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Advance Payment Ledger Entry,,,,erpnext,,قيد دفتر الأستاذ للدفع المسبق,قيد دفتر الأستاذ للدفع المسبق,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,"Further accounts can be made under Groups, but entries can be made against non-Groups",,,,erpnext,يمكن إنشاء المزيد من الحسابات تحت المجموعة، لكن إدخالات القيود يمكن ان تكون فقط مقابل  حسابات فردية و ليست مجموعة,,يمكن إنشاء المزيد من الحسابات تحت المجموعة، لكن إدخالات القيود يمكن ان تكون فقط مقابل  حسابات فردية و ليست مجموعة,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Write Off Account,,,,erpnext,شطب حساب,,شطب حساب,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Please update deferred revenue/expense account in item row or default account in company master,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Account Detail Level,,,,erpnext,,مستوى تفاصيل الحساب,مستوى تفاصيل الحساب,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Default Advance Paid Account,,,,erpnext,,حساب الدفعات المقدمة المدفوعة الافتراضي,حساب الدفعات المقدمة المدفوعة الافتراضي,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Enable Common Party Accounting,,,,erpnext,,تمكين محاسبة الجهة المشتركة,تمكين محاسبة الجهة المشتركة,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,Bank Account Subtype,,,,erpnext,النوع الفرعي للحساب المصرفي,,النوع الفرعي للحساب المصرفي,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Filter on Payment,,,,erpnext,,تصفية حسب الدفع,تصفية حسب الدفع,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,{0} {1}: Cost Center {2} is a group cost center and group cost centers cannot be used in transactions,,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Is Purchase Receipt Required for Purchase Invoice Creation?,,,,erpnext,هل إيصال الشراء مطلوب لإنشاء فاتورة الشراء؟,,هل إيصال الشراء مطلوب لإنشاء فاتورة الشراء؟,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Represents a Financial Year. All accounting entries and other major transactions are tracked against the Fiscal Year.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
erpnext,The allocated amount is greater than the outstanding amount of Payment Request {0},,,,erpnext,,,,,accounts,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Sales Invoice Payment,,,,erpnext,دفع فاتورة المبيعات,,دفع فاتورة المبيعات,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,The field Equity/Liability Account cannot be blank,,,,erpnext,لا يمكن أن يكون حساب حقوق الملكية / المسؤولية فارغًا,,لا يمكن أن يكون حساب حقوق الملكية / المسؤولية فارغًا,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,Budget,,,,erpnext,ميزانية,,ميزانية,,accounts,pending,,,,,,,,,,,,Approved,
erpnext,New Journal Entry will be posted for the difference amount. The Posting Date can be modified.,,,,erpnext,,,,,accounts,missing,,,,,,,,,,,,Pending,
