app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Total Items,,,,erpnext,,إجمالي الأصناف,إجمالي الأصناف,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Item 5,,,,erpnext,صنف رقم 5,,صنف رقم 5,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,# Req'd Items,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Allow material consumptions without immediately manufacturing finished goods against a Work Order,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Set Operating Cost / Scrap Items From Sub-assemblies,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
frappe,Custom Menu Items,,,,frappe,قائمة مخصصة عناصر,,قائمة مخصصة عناصر,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Update Billed Amount in Purchase Receipt,,,,erpnext,,تحديث المبلغ المفوتر في إيصال الشراء,تحديث المبلغ المفوتر في إيصال الشراء,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Landed Cost Item,,,,erpnext,هبوط تكلفة صنف,,هبوط تكلفة صنف,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Material Transfer (In Transit),,,,erpnext,,نقل مواد (قيد العبور),نقل مواد (قيد العبور),,inventory,missing,,,,,,,,,,,,Pending,
erpnext,"If the BOM results in Scrap material, the Scrap Warehouse needs to be selected.",,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Please enter Item Code to get batch no,,,,erpnext,الرجاء إدخال كود البند للحصول على رقم الدفعة,,الرجاء إدخال كود البند للحصول على رقم الدفعة,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Capacity (Stock UOM),,,,erpnext,,السعة (بوحدة قياس المخزون),السعة (بوحدة قياس المخزون),,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Item Code cannot be changed for Serial No.,,,,erpnext,لا يمكن تغيير رمز السلعة للرقم التسلسلي,,لا يمكن تغيير رمز السلعة للرقم التسلسلي,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Scrap Item Code,,,,erpnext,,كود صنف الهالك,كود صنف الهالك,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,This is a location where raw materials are available.,,,,erpnext,هذا هو المكان الذي تتوفر فيه المواد الخام.,,هذا هو المكان الذي تتوفر فيه المواد الخام.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Update Items,,,,erpnext,تحديث العناصر,,تحديث العناصر,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Time at which materials were received,,,,erpnext,الوقت الذي وردت المواد,,الوقت الذي وردت المواد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Insufficient Stock,,,,erpnext,المالية غير كافية,,المالية غير كافية,,inventory,pending,,,,,,,,,,,,Approved,
frappe,Child Item,,,,frappe,,عنصر فرعي,عنصر فرعي,,inventory,missing,Approved,A1,,Approved,A2,,Approved,A3,,,,Released,glossary v1.0
erpnext,Stock Analytics,,,,erpnext,تحليلات المخازن,,تحليلات المخازن,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Warehouse Details,,,,erpnext,,تفاصيل المستودع,تفاصيل المستودع,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Packed Items cannot be transferred internally,,,,erpnext,,لا يمكن نقل الأصناف المعبأة داخليا,لا يمكن نقل الأصناف المعبأة داخليا,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Get Material Request,,,,erpnext,الحصول على المواد طلب,,الحصول على المواد طلب,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row {0}: Item rate has been updated as per valuation rate since its an internal stock transfer,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,"Please select at least one filter: Item Code, Batch, or Serial No.",,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Over Receipt/Delivery of {0} {1} ignored for item {2} because you have {3} role.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,No Item with Barcode {0},,,,erpnext,أي عنصر مع الباركود {0},,أي عنصر مع الباركود {0},,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Row #{0}: Selling rate for item {1} is lower than its {2}.
					Selling {3} should be atleast {4}.<br><br>Alternatively,
					you can disable selling price validation in {5} to bypass
					this validation.",,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch;html_imbalance,,Pending,
erpnext,Batch {0} of Item {1} has expired.,,,,erpnext,الدفعة {0} للعنصر {1} انتهت صلاحيتها\n<br>\nBatch {0} of Item {1} has expired.,,الدفعة {0} للعنصر {1} انتهت صلاحيتها\n<br>\nBatch {0} of Item {1} has expired.,,inventory,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Item 1,,,,erpnext,صنف رقم 1,,صنف رقم 1,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Item {1} has zero rate but 'Allow Zero Valuation Rate' is not enabled.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row {0}: From Warehouse is mandatory for internal transfers,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Purchase Value,,,,erpnext,,قيمة الشراء,قيمة الشراء,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,No Item with Serial No {0},,,,erpnext,أي عنصر مع المسلسل لا {0},,أي عنصر مع المسلسل لا {0},,inventory,pending,,,,,,,,,,,,Approved,
erpnext,<p>Cannot overbill for the following Items:</p>,,,,erpnext,,,,,inventory,missing,,,,,,,,,,html_imbalance,,Pending,
erpnext,Purchase Price List,,,,erpnext,قائمة أسعار الشراء,,قائمة أسعار الشراء,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Serial No {0} does not belong to Item {1},,,,erpnext,الرقم المتسلسل {0} لا ينتمي إلى البند {1}\n<br>\nSerial No {0} does not belong to Item {1},,الرقم المتسلسل {0} لا ينتمي إلى البند {1}\n<br>\nSerial No {0} does not belong to Item {1},,inventory,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,An error has been appeared while reposting item valuation via {0},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Material Request used to make this Stock Entry,,,,erpnext,طلب المواد المستخدمة لانشاء الحركة المخزنية,,طلب المواد المستخدمة لانشاء الحركة المخزنية,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Order Amount(Company Currency),,,,erpnext,مبلغ أمر الشراء (عملة الشركة),,مبلغ أمر الشراء (عملة الشركة),,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Orders to Receive,,,,erpnext,أوامر الشراء لتلقي,,أوامر الشراء لتلقي,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Change in Stock Value,,,,erpnext,,التغير في قيمة المخزون,التغير في قيمة المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,"Stock Reservation Entry created against a Pick List cannot be updated. If you need to make changes, we recommend canceling the existing entry and creating a new one.",,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Hide Unavailable Items,,,,erpnext,إخفاء العناصر غير المتوفرة,,إخفاء العناصر غير المتوفرة,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Inter Company Purchase Order,,,,erpnext,,أمر شراء بين الشركات,أمر شراء بين الشركات,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Purchase Order Items not received on time,,,,erpnext,لم يتم استلام طلبات الشراء في الوقت المحدد,,لم يتم استلام طلبات الشراء في الوقت المحدد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Creating Purchase Order ...,,,,erpnext,إنشاء أمر شراء ...,,إنشاء أمر شراء ...,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Select a Supplier from the Default Suppliers of the items below. On selection, a Purchase Order will be made against items belonging to the selected Supplier only.",,,,erpnext,حدد موردًا من الموردين الافتراضيين للعناصر أدناه. عند التحديد ، سيتم إجراء طلب الشراء مقابل العناصر التي تنتمي إلى المورد المحدد فقط.,,حدد موردًا من الموردين الافتراضيين للعناصر أدناه. عند التحديد ، سيتم إجراء طلب الشراء مقابل العناصر التي تنتمي إلى المورد المحدد فقط.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Incorrect Check in (group) Warehouse for Reorder,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Stock Reservation Entries Cancelled,,,,erpnext,,تم إلغاء قيود حجز المخزون,تم إلغاء قيود حجز المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Select variant item code for the template item {0},,,,erpnext,حدد رمز عنصر متغير لعنصر النموذج {0},,حدد رمز عنصر متغير لعنصر النموذج {0},,inventory,pending,,,,,,,,,,,,Approved,
frappe,Website Slideshow Item,,,,frappe,موقع السلعة عرض شرائح,,موقع السلعة عرض شرائح,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Total {0} for all items is zero, may be you should change 'Distribute Charges Based On'",,,,erpnext,"إجمالي {0} لجميع العناصر هو صفر، قد يكون عليك تغيير 'توزيع الرسوم على أساس'\n<br>\nTotal {0} for all items is zero, may be you should change 'Distribute Charges Based On'",,"إجمالي {0} لجميع العناصر هو صفر، قد يكون عليك تغيير 'توزيع الرسوم على أساس'\n<br>\nTotal {0} for all items is zero, may be you should change 'Distribute Charges Based On'",,inventory,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Item has variants.,,,,erpnext,البند لديه متغيرات.,,البند لديه متغيرات.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,% of materials billed against this Sales Order,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Item {1} does not exist,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Warning on Negative Stock,,,,erpnext,,تحذير عند المخزون السالب,تحذير عند المخزون السالب,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,,,,erpnext,الصف # {0}: تاريخ التسليم المتوقع لا يمكن أن يكون قبل تاريخ أمر الشراء,,الصف # {0}: تاريخ التسليم المتوقع لا يمكن أن يكون قبل تاريخ أمر الشراء,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,No material request created,,,,erpnext,لم يتم إنشاء طلب مادي,,لم يتم إنشاء طلب مادي,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Select Alternative Items for Sales Order,,,,erpnext,,تحديد أصناف بديلة لأمر البيع,تحديد أصناف بديلة لأمر البيع,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Add Safety Stock,,,,erpnext,,إضافة مخزون أمان,إضافة مخزون أمان,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,{0} items lost during process.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Generate Stock Closing Entry,,,,erpnext,,إنشاء قيد إغلاق المخزون,إنشاء قيد إغلاق المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Show Item Name,,,,erpnext,,إظهار اسم الصنف,إظهار اسم الصنف,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Batch {0} and Warehouse,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Item {0} is disabled,,,,erpnext,تم تعطيل البند {0},,تم تعطيل البند {0},,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Is Rejected Warehouse,,,,erpnext,,مستودع مرفوضات,مستودع مرفوضات,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Purchase Taxes and Charges,,,,erpnext,الضرائب والرسوم الشراء,,الضرائب والرسوم الشراء,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Production Plan Item,,,,erpnext,خطة إنتاج السلعة,,خطة إنتاج السلعة,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item Tax,,,,erpnext,ضريبة الصنف,,ضريبة الصنف,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Get Item Locations,,,,erpnext,الحصول على مواقع البند,,الحصول على مواقع البند,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Defaults,,,,erpnext,المشتريات الافتراضية,,المشتريات الافتراضية,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Free Item,,,,erpnext,بند مجاني,,بند مجاني,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Warehouse {0} does not belong to Company {1}.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Stock Capacity,,,,erpnext,,سعة المخزون,سعة المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Please set filter based on Item or Warehouse,,,,erpnext,يرجى ضبط الفلتر على أساس البند أو المخزن,,يرجى ضبط الفلتر على أساس البند أو المخزن,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.",,,,erpnext,نظرًا لوجود مواد خام كافية ، فإن طلب المواد ليس مطلوبًا للمستودع {0}.,,نظرًا لوجود مواد خام كافية ، فإن طلب المواد ليس مطلوبًا للمستودع {0}.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Stock Reserved Qty,,,,erpnext,,كمية المخزون المحجوزة,كمية المخزون المحجوزة,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Material Request {0} is cancelled or stopped,,,,erpnext,طلب المواد {0} تم إلغاؤه أو إيقافه,,طلب المواد {0} تم إلغاؤه أو إيقافه,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Receipt Required,,,,erpnext,إيصال استلام المشتريات مطلوب,,إيصال استلام المشتريات مطلوب,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Items and Pricing,,,,erpnext,السلع والتسعيرات,,السلع والتسعيرات,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Assembly Items,,,,erpnext,,أصناف التجميع,أصناف التجميع,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Add Stock,,,,erpnext,,إضافة مخزون,إضافة مخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Material Consumption,,,,erpnext,اهلاك المواد,,اهلاك المواد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Invalid Barcode. There is no Item attached to this barcode.,,,,erpnext,الباركود غير صالح. لا يوجد عنصر مرفق بهذا الرمز الشريطي.,,الباركود غير صالح. لا يوجد عنصر مرفق بهذا الرمز الشريطي.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Cannot set Rate if the billed amount is greater than the amount for Item {1}.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,# In Stock,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,"Standard tax template that can be applied to all Purchase Transactions. This template can contain a list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"", etc.",,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,No items in cart,,,,erpnext,,لا توجد أصناف في السلة,لا توجد أصناف في السلة,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Item Customer Detail,,,,erpnext,تفاصيل العميل لهذا البند,,تفاصيل العميل لهذا البند,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Customer's Purchase Order Date,,,,erpnext,تاريخ امر الشراء العميل,,تاريخ امر الشراء العميل,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,You have to enable auto re-order in Stock Settings to maintain re-order levels.,,,,erpnext,يجب عليك تمكين الطلب التلقائي في إعدادات الأسهم للحفاظ على مستويات إعادة الطلب.,,يجب عليك تمكين الطلب التلقائي في إعدادات الأسهم للحفاظ على مستويات إعادة الطلب.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Select Target Warehouse,,,,erpnext,حدد مستودع الهدف,,حدد مستودع الهدف,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Focus on Item Group filter,,,,erpnext,التركيز على عامل تصفية مجموعة العناصر,,التركيز على عامل تصفية مجموعة العناصر,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Inspection Required before Purchase,,,,erpnext,التفتيش المطلوبة قبل الشراء,,التفتيش المطلوبة قبل الشراء,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Serial & Batch Item,,,,erpnext,,صنف تسلسلي ودفعة,صنف تسلسلي ودفعة,,inventory,missing,,,,,,,,,,,,Pending,
frappe,Warehouse,,,,frappe,,المستودع,المستودع,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Material Request {0} submitted.,,,,erpnext,تم تقديم طلب المواد {0}.,,تم تقديم طلب المواد {0}.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,For service item,,,,erpnext,,,,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Stock Levels,,,,erpnext,مستوى المخزون,,مستوى المخزون,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,,,,erpnext,لا يحتوي إيصال الشراء على أي عنصر تم تمكين الاحتفاظ عينة به.,,لا يحتوي إيصال الشراء على أي عنصر تم تمكين الاحتفاظ عينة به.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Production Item,,,,erpnext,بند انتاج,,بند انتاج,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item Tax Amount Included in Value,,,,erpnext,البند ضريبة المبلغ المدرجة في القيمة,,البند ضريبة المبلغ المدرجة في القيمة,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,FG / Semi FG Item,,,,erpnext,,صنف نهائي/نصف نهائي,صنف نهائي/نصف نهائي,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Phantom Item,,,,erpnext,,صنف وهمي,صنف وهمي,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Purchase orders help you plan and follow up on your purchases,,,,erpnext,طلبات الشراء تساعدك على تخطيط ومتابعة عمليات الشراء الخاصة بك,,طلبات الشراء تساعدك على تخطيط ومتابعة عمليات الشراء الخاصة بك,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Received Items To Be Billed,,,,erpnext,العناصر الواردة إلى أن توصف,,العناصر الواردة إلى أن توصف,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Raw Materials cannot be blank.,,,,erpnext,لا يمكن ترك المواد الخام فارغة.,,لا يمكن ترك المواد الخام فارغة.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Please do not create more than 500 items at a time,,,,erpnext,يرجى عدم إنشاء أكثر من 500 عنصر في وقت واحد,,يرجى عدم إنشاء أكثر من 500 عنصر في وقت واحد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row #{idx}: Item rate has been updated as per valuation rate since its an internal stock transfer.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Purchase Orders to Bill,,,,erpnext,أوامر الشراء إلى الفاتورة,,أوامر الشراء إلى الفاتورة,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item-wise Price List Rate,,,,erpnext,معدل قائمة الأسعار وفقاً للصنف,,معدل قائمة الأسعار وفقاً للصنف,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item Out of Stock,,,,erpnext,,الصنف غير متوفر في المخزون,الصنف غير متوفر في المخزون,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Convert to Item Based Reposting,,,,erpnext,,التحويل إلى إعادة ترحيل حسب الصنف,التحويل إلى إعادة ترحيل حسب الصنف,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,This is a Template BOM and will be used to make the work order for {0} of the item {1},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,{0} is not a valid Value for Attribute {1} of Item {2}.,,,,erpnext,{0} ليست قيمة صالحة للسمة {1} للعنصر {2}.,,{0} ليست قيمة صالحة للسمة {1} للعنصر {2}.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Please select items to reserve.,,,,erpnext,,يرجى تحديد الأصناف المطلوب حجزها.,يرجى تحديد الأصناف المطلوب حجزها.,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Row {0}: Delivery Warehouse ({1}) and Customer Warehouse ({2}) can not be same,,,,erpnext,الصف {0}: لا يمكن أن يكون مستودع التسليم ({1}) ومستودع العميل ({2}) متماثلين,,الصف {0}: لا يمكن أن يكون مستودع التسليم ({1}) ومستودع العميل ({2}) متماثلين,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row {0}: {2} Item {1} does not exist in {2} {3},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Please select the BOM No in Assembly Items,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,BOM {0} not found for the item {1},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Configure the default Price List when creating a new Purchase transaction. Item prices will be fetched from this Price List.,,,,erpnext,تكوين قائمة الأسعار الافتراضية عند إنشاء معاملة شراء جديدة. سيتم جلب أسعار العناصر من قائمة الأسعار هذه.,,تكوين قائمة الأسعار الافتراضية عند إنشاء معاملة شراء جديدة. سيتم جلب أسعار العناصر من قائمة الأسعار هذه.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Select BOM, Qty and For Warehouse",,,,erpnext,اختر قائمة المواد، الكمية، وإلى المخزن,,اختر قائمة المواد، الكمية، وإلى المخزن,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Select template item,,,,erpnext,حدد عنصر القالب,,حدد عنصر القالب,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Set Source Warehouse,,,,erpnext,تعيين المخزن المصدر,,تعيين المخزن المصدر,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Please Restock Items and Update the Pick List to continue. To discontinue, cancel the Pick List.",,,,erpnext,يرجى إعادة تخزين العناصر وتحديث قائمة الاختيار للمتابعة. للتوقف ، قم بإلغاء قائمة الاختيار.,,يرجى إعادة تخزين العناصر وتحديث قائمة الاختيار للمتابعة. للتوقف ، قم بإلغاء قائمة الاختيار.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,From Warehouse,,,,erpnext,من المخزن,,من المخزن,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item {0} entered multiple times.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Stock not available to reserve for Item {1} against Batch {2} in Warehouse {3}.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Service Item {0} must be a non-stock item.,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Please fill the Material Requests table,,,,erpnext,يرجى ملء جدول طلبات المواد,,يرجى ملء جدول طلبات المواد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Row {0}: Target Warehouse is mandatory for internal transfers,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Raw Material Cost Per Qty,,,,erpnext,,تكلفة المادة الخام لكل كمية,تكلفة المادة الخام لكل كمية,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,"If ticked, multiple materials can be used for a single Work Order. This is useful if one or more time consuming products are being manufactured.",,,,erpnext,إذا تم تحديده ، يمكن استخدام مواد متعددة لطلب عمل واحد. يكون هذا مفيدًا إذا تم تصنيع منتج أو أكثر من المنتجات التي تستغرق وقتًا طويلاً.,,إذا تم تحديده ، يمكن استخدام مواد متعددة لطلب عمل واحد. يكون هذا مفيدًا إذا تم تصنيع منتج أو أكثر من المنتجات التي تستغرق وقتًا طويلاً.,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,Item Code required at Row No {0},,,,erpnext,رمز العنصر المطلوب في الصف رقم {0}\n<br>\nItem Code required at Row No {0},,رمز العنصر المطلوب في الصف رقم {0}\n<br>\nItem Code required at Row No {0},,inventory,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,Warehouse required for stock Item {0},,,,erpnext,مستودع الأسهم المطلوبة لل تفاصيل {0},,مستودع الأسهم المطلوبة لل تفاصيل {0},,inventory,pending,,,,,,,,,,,,Approved,
erpnext,BOM No. for a Finished Good Item,,,,erpnext,رقم فاتورة الموارد لغرض جيد,,رقم فاتورة الموارد لغرض جيد,,inventory,pending,,,,,,,,,,,,Approved,
erpnext,"Row #{0}: Since 'Track Semi Finished Goods' is enabled, the BOM {1} cannot be used for Sub Assembly Items",,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,For Item {0} cannot be received more than {1} qty against the {2} {3},,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Stock Entry {0} has created,,,,erpnext,,,,,inventory,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Negative Stock Error,,,,erpnext,,خطأ مخزون سالب,خطأ مخزون سالب,,inventory,missing,,,,,,,,,,,,Pending,
erpnext,Backflush Raw Materials Based On,,,,erpnext,Backflush المواد الخام مبني على,,Backflush المواد الخام مبني على,,inventory,pending,,,,,,,,,,,,Approved,
