app,msgid,context,locations,comments,ct_app,po_translation,runtime_translation,effective_translation,proposed_translation,domain,priority,a1_status,a1_reviewer,a1_notes,a2_status,a2_reviewer,a2_notes,a3_status,a3_reviewer,a3_notes,qa_flags,cross_app_conflict,release_status,references
erpnext,Has Subcontracted,,,,erpnext,,يوجد مقاولات باطن,يوجد مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Reserved for Sub Contracting,,,,erpnext,,محجوز للتصنيع بالعقد,محجوز للتصنيع بالعقد,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Please select a valid Purchase Order that is configured for Subcontracting.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
construction,Total Contract Value,,,,construction,إجمالي قيمة التعاقد,إجمالي قيمة العقد,إجمالي قيمة العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Only to be used for Subcontracting Inward.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row {0}: Item {1} must be a subcontracted item.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Order Supplied Item,,,,erpnext,,بند مورد لأمر مقاولات باطن,بند مورد لأمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Inward Settings,,,,erpnext,,إعدادات استلام مقاولات باطن,إعدادات استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Please select a Subcontracting Purchase Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Sales Order,,,,erpnext,,أمر بيع مقاول باطن,أمر بيع مقاول باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Allows users to submit Request for Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Is Subcontracted,,,,erpnext,وتعاقد من الباطن,من الباطن,من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Source Warehouse must be same as Customer Warehouse {1} from the linked Subcontracting Inward Order,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Serial No Service Contract Expiry,,,,erpnext,مسلسل العقد لا انتهاء الاشتراك خدمة,,مسلسل العقد لا انتهاء الاشتراك خدمة,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Source Warehouse {0} must be same as Customer Warehouse {1} in the Subcontracting Inward Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Item {1} is not a part of Subcontracting Inward Order {2},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,{field_label} is mandatory for sub-contracted {doctype}.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Customer Provided Item {1} exceeds quantity available through Subcontracting Inward Order,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Finished Good Item {1} must be a sub-contracted item,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Include Subcontracted Items,,,,erpnext,تضمين العناصر من الباطن,,تضمين العناصر من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Target Warehouse {0} must be same as Delivery Warehouse {1} in the Subcontracting Inward Order Item.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Material Transferred for Subcontract,,,,erpnext,المواد المنقولة للعقود من الباطن,,المواد المنقولة للعقود من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Make Subcontracting PO,,,,erpnext,,إنشاء أمر شراء مقاول باطن,إنشاء أمر شراء مقاول باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,There is already an active Subcontracting BOM {0} for the Finished Good {1}.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Settings,,,,erpnext,,إعدادات مقاولات الباطن,إعدادات مقاولات الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Finished Good {0} must be a sub-contracted item.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Order {0} created.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Receipt Item,,,,erpnext,,بند إيصال مقاولات باطن,بند إيصال مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Inward Order,,,,erpnext,,أمر استلام مقاولات باطن,أمر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Target Warehouse for Finished Good must be same as Finished Good Warehouse {1} in Work Order {2} linked to the Subcontracting Inward Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Conversion Factor,,,,erpnext,,معامل تحويل مقاولات الباطن,معامل تحويل مقاولات الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Backflush Raw Materials of Subcontract Based On,,,,erpnext,Backflush المواد الخام من العقد من الباطن,,Backflush المواد الخام من العقد من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Creating Subcontracting Inward Order ...,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Batch No(s) {1} is not a part of the linked Subcontracting Inward Order. Please select valid Batch No(s).,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: Cannot cancel this Stock Entry as returned quantity cannot be greater than delivered quantity for Item {1} in the linked Subcontracting Inward Order,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Please select Subcontracting Order instead of Purchase Order {0},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{idx}: Cannot select Supplier Warehouse while suppling raw materials to subcontractor.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Order (Draft) will be auto-created on submission of Purchase Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Contract End Date,,,,erpnext,تاريخ نهاية العقد,,تاريخ نهاية العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Customer Provided Item {1} has insufficient quantity in the Subcontracting Inward Order. Available quantity is {2}.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Items cannot be updated as Subcontracting Order is created against the Purchase Order {0}.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Purchase Order Item reference is missing in Subcontracting Receipt {0},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Mapping Subcontracting Inward Order ...,,,,erpnext,,جارٍ ربط أمر استلام مقاولات باطن ...,جارٍ ربط أمر استلام مقاولات باطن ...,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Contract Terms and Conditions,,,,erpnext,شروط وأحكام العقد,,شروط وأحكام العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Subcontracting Order Service Item,,,,erpnext,,بند خدمة أمر مقاولات باطن,بند خدمة أمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Purchase Receipt (Draft) will be auto-created on submission of Subcontracting Receipt.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Work Order / Subcontract PO,,,,erpnext,,أمر عمل / أمر شراء مقاول باطن,أمر عمل / أمر شراء مقاول باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Contract Template Help,,,,erpnext,,مساعدة قالب العقد,مساعدة قالب العقد,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Target Warehouse must be same as Customer Warehouse {1} from the linked Subcontracting Inward Order,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Allows users to submit Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Return Against Subcontracting Receipt,,,,erpnext,,مرتجع مقابل إيصال مقاولات باطن,مرتجع مقابل إيصال مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>",,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch;html_imbalance,,Pending,
erpnext,Contract Period,,,,erpnext,مدة العقد,,مدة العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Subcontracting Return,,,,erpnext,,مرتجع مقاولات باطن,مرتجع مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Allows users to submit Purchase Orders with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext, Is Subcontracted,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,whitespace,,Pending,
erpnext,Row #{0}: Customer Provided Item {1} cannot be added multiple times in the Subcontracting Inward process.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracted Purchase Order,,,,erpnext,,أمر شراء مقاول باطن,أمر شراء مقاول باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Inward,,,,erpnext,,استلام مقاولات الباطن,استلام مقاولات الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Auto Create Subcontracting Order,,,,erpnext,,إنشاء أمر مقاولات باطن تلقائيًا,إنشاء أمر مقاولات باطن تلقائيًا,,subcontracting,missing,,,,,,,,,,,,Pending,
construction,Subcontracting,,,,construction,,مقاولات الباطن,مقاولات الباطن,,subcontracting,missing,Approved,Mona Khalil - Arabic Localization Lead,,Approved,Hesham Farouk - Egyptian Construction Accountant (EAS 48 / ETA),,Approved,Nadia Mostafa - Translation QA / Structural Review,,,,Released,Ministry of Finance contract execution guidance (المستخلص/مقاول من الباطن) + ETA; glossary v2.0 subcontracting domain
erpnext,Contract,,,,erpnext,عقد,عقد,عقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Cannot cancel this Manufacturing Stock Entry as quantity of Finished Good produced cannot be less than quantity delivered in the linked Subcontracting Inward Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Order,,,,erpnext,,أمر مقاولات باطن,أمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,This Purchase Order has been fully subcontracted.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Purchase Order,,,,erpnext,,أمر شراء مقاول باطن,أمر شراء مقاول باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row {0}: Subcontracted Item is mandatory for the raw material {1},,,,erpnext,الصف {0}: العنصر المتعاقد عليه من الباطن إلزامي للمادة الخام {1},,الصف {0}: العنصر المتعاقد عليه من الباطن إلزامي للمادة الخام {1},,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Subcontracting Inward Order Count,,,,erpnext,,عدد أوامر استلام مقاولات باطن,عدد أوامر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Allows users to submit Supplier Quotations with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Receipt,,,,erpnext,,إيصال استلام مقاولات باطن,إيصال استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Is Subcontracted Item,,,,erpnext,,بند منفذ من الباطن,بند منفذ من الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Receipt Supplied Item,,,,erpnext,,بند مورد لإيصال مقاولات باطن,بند مورد لإيصال مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracting Delivery,,,,erpnext,,تسليم مقاولات الباطن,تسليم مقاولات الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Warning: Quantity exceeds maximum producible quantity based on quantity of raw materials received through the Subcontracting Inward Order {0}.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Allows users to submit Sales Orders with zero quantity. Useful when rates are fixed but the quantities are not. Eg. Rate Contracts.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Customer Provided Item {1} against Subcontracting Inward Order Item {2} ({3}) cannot be added multiple times.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontract Return,,,,erpnext,,مرتجع مقاولات باطن,مرتجع مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Mapping Subcontracting Order ...,,,,erpnext,,جارٍ ربط أمر مقاولات باطن ...,جارٍ ربط أمر مقاولات باطن ...,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracted Item To Be Received,,,,erpnext,البند المتعاقد عليه من الباطن,,البند المتعاقد عليه من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,All linked Sales Orders must be subcontracted.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontract Order Summary,,,,erpnext,,ملخص أمر مقاولات باطن,ملخص أمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,To add subcontracted Item's raw materials if include exploded items is disabled.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontract BOM,,,,erpnext,,قائمة مواد مقاول الباطن,قائمة مواد مقاول الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Subcontracted Quantity,,,,erpnext,,الكمية المنفذة من الباطن,الكمية المنفذة من الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Row #{0}: Overconsumption of Customer Provided Item {1} against Work Order {2} is not allowed in the Subcontracting Inward process.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Outward Order Count,,,,erpnext,,عدد أوامر إرسال مقاولات باطن,عدد أوامر إرسال مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Is Old Subcontracting Flow,,,,erpnext,,التدفق القديم لمقاولات الباطن,التدفق القديم لمقاولات الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,This Sales Order has been fully subcontracted.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Finished Good Item {0} must be a sub-contracted item,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Contract Terms,,,,erpnext,شروط العقد,,شروط العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Customer Provided Item {1} does not exist in the Required Items table linked to the Subcontracting Inward Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Items cannot be updated as Subcontracting Inward Order(s) exist against this Subcontracted Sales Order.,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Reserved Qty for Subcontract,,,,erpnext,,الكمية المحجوزة لمقاول الباطن,الكمية المحجوزة لمقاول الباطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Contract Fulfilment Checklist,,,,erpnext,قائمة مراجعة إنجاز العقد,,قائمة مراجعة إنجاز العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Quantity of Item {1} cannot be more than {2} {3} against Subcontracting Inward Order {4},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracted Item,,,,erpnext,البند من الباطن,,البند من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Creating Subcontracting Receipt ...,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Reserved for sub contracting,,,,erpnext,محجوزة للتعاقد من الباطن,,محجوزة للتعاقد من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Contract Details,,,,erpnext,تفاصيل العقد,,تفاصيل العقد,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Row #{0}: Customer Provided Item {1} is not a part of Subcontracting Inward Order {2},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Serial No {0} is under maintenance contract upto {1},,,,erpnext,الرقم التسلسلي {0} يتبع عقد الصيانة حتى {1}\n<br>\nSerial No {0} is under maintenance contract upto {1},,الرقم التسلسلي {0} يتبع عقد الصيانة حتى {1}\n<br>\nSerial No {0} is under maintenance contract upto {1},,subcontracting,pending,,,,,,,,,,html_imbalance,,Approved,
erpnext,"<span class=""h4""><b>Subcontracting Inward and Outward</b></span>",,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,html_imbalance,,Pending,
erpnext,Row #{0}: Serial No(s) {1} are not a part of the linked Subcontracting Inward Order. Please select valid Serial No(s).,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Subcontracting Inward Order Scrap Item,,,,erpnext,,بند هالك لأمر استلام مقاولات باطن,بند هالك لأمر استلام مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Item {0} must be a Sub-contracted Item,,,,erpnext,البند {0} يجب أن يكون عنصر التعاقد الفرعي,,البند {0} يجب أن يكون عنصر التعاقد الفرعي,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,Subcontract Order,,,,erpnext,,أمر مقاولات باطن,أمر مقاولات باطن,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Send to Subcontractor,,,,erpnext,إرسال إلى المقاول من الباطن,,إرسال إلى المقاول من الباطن,,subcontracting,pending,,,,,,,,,,,,Approved,
erpnext,"If enabled, system will allow user to deliver the entire quantity of the finished goods produced against the Subcontracting Inward Order. If disabled, system will allow delivery of only the ordered quantity.",,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,,,Pending,
erpnext,Item {0} is not a subcontracted item,,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
erpnext,Row #{0}: BOM is not specified for subcontracting item {0},,,,erpnext,,,,,subcontracting,missing,,,,,,,,,,placeholder_mismatch,,Pending,
