Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
إيرادات عقود عامة,إيرادات العقود,4101,4100,0,Income Account,Income,EGP
إيرادات الأعمال المدنية,إيرادات العقود,4110,4100,0,Income Account,Income,EGP
إيرادات الأعمال الإنشائية والهيكلية,إيرادات العقود,4120,4100,0,Income Account,Income,EGP
إيرادات الأعمال الكهروميكانيكية,إيرادات العقود,4130,4100,0,Income Account,Income,EGP
إيرادات أعمال التشطيبات,إيرادات العقود,4140,4100,0,Income Account,Income,EGP
إيرادات أوامر التغيير,إيرادات العقود,4150,4100,0,Income Account,Income,EGP
إيرادات المطالبات والأعمال الإضافية,إيرادات العقود,4160,4100,0,Income Account,Income,EGP
إيرادات بيع مواد وخدمات,إيرادات العقود,4170,4100,0,Income Account,Income,EGP
إيرادات أخرى,الإيرادات,4200,4000,1,,Income,
إيرادات فوائد,إيرادات أخرى,4210,4200,0,Income Account,Income,EGP
أرباح بيع الأصول,إيرادات أخرى,4220,4200,0,Income Account,Income,EGP
أرباح فروق العملة,إيرادات أخرى,4230,4200,0,Income Account,Income,EGP
خصومات مكتسبة,إيرادات أخرى,4240,4200,0,Income Account,Income,EGP
إيرادات متنوعة,إيرادات أخرى,4250,4200,0,Income Account,Income,EGP
المصروفات,,5000,,1,,Expense,
تكاليف المشاريع المباشرة,المصروفات,5100,5000,1,,Expense,
أجور عمالة مباشرة,تكاليف المشاريع المباشرة,5110,5100,0,Expense Account,Expense,EGP
مواد مباشرة مستهلكة,تكاليف المشاريع المباشرة,5120,5100,0,Cost of Goods Sold,Expense,EGP
تكاليف مقاولي الباطن,تكاليف المشاريع المباشرة,5130,5100,0,Expense Account,Expense,EGP
معدات موقع,تكاليف المشاريع المباشرة,5140,5100,0,Expense Account,Expense,EGP
مصروفات موقع مباشرة,تكاليف المشاريع المباشرة,5150,5100,0,Expense Account,Expense,EGP
نقل ومناولة للموقع,تكاليف المشاريع المباشرة,5160,5100,0,Expense Account,Expense,EGP
اختبارات وضبط جودة للمشروعات,تكاليف المشاريع المباشرة,5170,5100,0,Expense Account,Expense,EGP
تصاريح واستشارات هندسية للمشروعات,تكاليف المشاريع المباشرة,5180,5100,0,Expense Account,Expense,EGP
تأمينات وضمانات المشروعات,تكاليف المشاريع المباشرة,5190,5100,0,Expense Account,Expense,EGP
تكاليف المخزون والتقييم,المصروفات,5200,5000,1,,Expense,
تكلفة المواد المنصرفة للمشروعات,تكاليف المخزون والتقييم,5210,5200,0,Cost of Goods Sold,Expense,EGP
مصروفات تحميل الأصول,تكاليف المخزون والتقييم,5220,5200,0,Expenses Included In Asset Valuation,Expense,EGP
مصروفات تحميل التقييم,تكاليف المخزون والتقييم,5230,5200,0,Expenses Included In Valuation,Expense,EGP
تسوية المخزون,تكاليف المخزون والتقييم,5240,5200,0,Stock Adjustment,Expense,EGP
مصروفات إدارية وعمومية,المصروفات,5300,5000,1,,Expense,
مرتبات إدارية,مصروفات إدارية وعمومية,5310,5300,0,Expense Account,Expense,EGP
إيجار مكاتب,مصروفات إدارية وعمومية,5320,5300,0,Expense Account,Expense,EGP
مرافق,مصروفات إدارية وعمومية,5330,5300,0,Expense Account,Expense,EGP
صيانة وإصلاح إداري,مصروفات إدارية وعمومية,5340,5300,0,Expense Account,Expense,EGP
اتصالات وإنترنت,مصروفات إدارية وعمومية,5350,5300,0,Expense Account,Expense,EGP
قرطاسية وطباعة,مصروفات إدارية وعمومية,5360,5300,0,Expense Account,Expense,EGP
سفر وانتقالات إدارية,مصروفات إدارية وعمومية,5370,5300,0,Expense Account,Expense,EGP
أتعاب مهنية وقانونية,مصروفات إدارية وعمومية,5380,5300,0,Expense Account,Expense,EGP
تسويق وعمولات,مصروفات إدارية وعمومية,5390,5300,0,Expense Account,Expense,EGP
تأمينات عامة,مصروفات إدارية وعمومية,5400,5300,0,Expense Account,Expense,EGP
ضيافة,مصروفات إدارية وعمومية,5410,5300,0,Expense Account,Expense,EGP
مصروفات متنوعة,مصروفات إدارية وعمومية,5420,5300,0,Expense Account,Expense,EGP
مصروفات مالية وتسويات,المصروفات,5500,5000,1,,Expense,
إهلاك الأصول,مصروفات مالية وتسويات,5510,5500,0,Depreciation,Expense,EGP
مصروفات بنكية,مصروفات مالية وتسويات,5520,5500,0,Expense Account,Expense,EGP
فوائد مدينة,مصروفات مالية وتسويات,5530,5500,0,Expense Account,Expense,EGP
أرباح وخسائر فروق العملة,مصروفات مالية وتسويات,5540,5500,0,Expense Account,Expense,EGP
أرباح وخسائر فروق العملة غير المحققة,مصروفات مالية وتسويات,5550,5500,0,Expense Account,Expense,EGP
أرباح وخسائر غير محققة,مصروفات مالية وتسويات,5560,5500,0,Expense Account,Expense,EGP
شطب ديون ومصروفات معدومة,مصروفات مالية وتسويات,5570,5500,0,Expense Account,Expense,EGP
مصروف ضريبة الدخل,مصروفات مالية وتسويات,5580,5500,0,Expense Account,Expense,EGP
أرباح وخسائر بيع الأصول,مصروفات مالية وتسويات,5590,5500,0,,Expense,EGP
فروق تقريب الحسابات,مصروفات مالية وتسويات,5600,5500,0,Round Off,Expense,EGP
فروق تقريب الأرصدة الافتتاحية,مصروفات مالية وتسويات,5610,5500,0,Round Off for Opening,Expense,EGP
خصومات مسموحة,مصروفات مالية وتسويات,5620,5500,0,Expense Account,Expense,EGP
خسائر انخفاض قيمة الأصول,مصروفات مالية وتسويات,5630,5500,0,Expense Account,Expense,EGP
إطفاء مصروفات مؤجلة,مصروفات مالية وتسويات,5640,5500,0,Expense Account,Expense,EGP
