source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,scope_sha256,proposal_sha256
Party Item Code,كود صنف الجهة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Pause Job,إيقاف العمل مؤقتا,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Phantom Item,صنف وهمي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Planned Purchase Order,أمر شراء مخطط,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.",الكمية المخططة: الكمية التي تم إصدار أمر عمل بها، ولكنها قيد الانتظار للتصنيع.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Planned Work Order,أمر عمل مخطط,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Plant Dashboard,لوحة المصنع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Plant Floor,أرضية المصنع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please check either with operations or FG Based Operating Cost.,يرجى اختيار العمليات أو تكلفة التشغيل على أساس المنتج التام.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please mention the Current and New BOM for replacement.,يرجى تحديد قائمة المواد الحالية والجديدة للاستبدال.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please select a Work Order first.,يرجى تحديد أمر عمل أولاً.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please select a row to create a Reposting Entry,يرجى تحديد صف لإنشاء قيد إعادة ترحيل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please select atleast one operation to create Job Card,يرجى تحديد عملية واحدة على الأقل لإنشاء بطاقة العمل,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please set Parent Row No for item {0},يرجى تعيين رقم الصف الأب للصنف {0},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please set actual demand or sales forecast to generate Material Requirements Planning Report.,يرجى تعيين الطلب الفعلي أو توقعات المبيعات لإنشاء تقرير تخطيط متطلبات المواد.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please set the Target Warehouse in the Job Card,يرجى تعيين مستودع الهدف في بطاقة العمل,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please set the WIP Warehouse in the Job Card,يرجى تعيين مستودع التشغيل قيد التنفيذ (WIP) في بطاقة العمل,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please set {0} in BOM Creator {1},يرجى تعيين {0} في منشئ قائمة المواد {1},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Please uncheck 'Show in Bucket View' to create Orders,"يرجى إلغاء تحديد ""إظهار العرض حسب الفترات الزمنية"" لإنشاء الأوامر",quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Preview Required Materials,معاينة المواد المطلوبة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss,خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss Percentage cannot be greater than 100,لا يمكن أن تكون نسبة الفاقد في العملية أكبر من 100,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss Qty,كمية خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss Quantity,كمية خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss Report,تقرير خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Process Loss Value,قيمة خسارة العملية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Processed BOMs,قوائم مواد معالجة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Produced / Received Qty,الكمية المنتجة/المستلمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Production Plan Already Submitted,تم تقديم خطة الإنتاج بالفعل,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Production Plan Item Reference,مرجع عنصر خطة الإنتاج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Production Plan Sub-assembly Item,عنصر تجميع فرعي لخطة الإنتاج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Production Plan Summary,ملخص خطة الإنتاج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Projected Quantity Formula,صيغة الكمية المتوقعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Purchase Order {0} created,تم إنشاء أمر الشراء {0},quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Qty In Stock,الكمية في المخزون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Qty Per Unit,الكمية لكل وحدة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Qty To Manufacture ({0}) cannot be a fraction for the UOM {2}. To allow this, disable '{1}' in the UOM {2}.","لا يمكن أن تكون الكمية المراد تصنيعها ({0}) كسرًا لوحدة القياس {2}. للسماح بذلك، عطل ""{1}"" في وحدة القياس {2}.",quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Qty Wise Chart,رسم بياني حسب الكمية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Qty to Build,الكمية المطلوب بناؤها,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Qty to Produce,الكمية المطلوب إنتاجها,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Quantity is required,الكمية مطلوبة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Quantity to Produce should be greater than zero.,يجب أن تكون الكمية المراد إنتاجها أكبر من الصفر.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Raw Material Item,صنف مادة خام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Raw Material Value,قيمة المادة الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Remove Parent Row No in Items Table,إزالة رقم الصف الأب في جدول الأصناف,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Rent,إيجار,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reqd Qty (BOM),الكمية المطلوبة (قائمة المواد),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reqired Qty,الكمية المطلوبة,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Requested Qty: Quantity requested for purchase, but not ordered.",الكمية المطلوبة: الكمية المطلوبة للشراء، ولكن لم يتم طلبها بعد.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reservation,الحجز,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserve,حجز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserve Stock,حجز المخزون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserve for Raw Materials,حجز للمواد الخام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserve for Sub-assembly,حجز للتجميع الفرعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,الكمية المحجوزة للإنتاج: كمية المواد الخام لتصنيع أصناف الإنتاج.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,الكمية المحجوزة للتصنيع لدى مقاول باطن: كمية المواد الخام اللازمة لتصنيع الأصناف لدى مقاول الباطن.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
"Reserved Qty: Quantity ordered for sale, but not delivered.",الكمية المحجوزة للبيع: الكمية التي طلبها العميل ولم تُسلَّم بعد.,quorum-confirmed-payload,Independent A1/A2/A3 quorum PASS; released as v1.9 with exact content evidence.,stage6-W6-6 Manufacturing Batch 02 owner-approved 2026-09-24,195c789945cf2b069a1620e855b22ad38aa9cb0adf03b9b2342166c47b6e88ff,fde2fa6722c8b69bb87cbdc2c9927cf1a545e0f78f4c3b71f292f567d6f544f5
