source_text	translated_text	quorum_decision	decision_ref
<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=\"p-3 bg-gray-100 border-radius rounded-sm mb-0\" style=\"width: fit-content;\"><code>// here root_element is provided by default " "let some_class_element = root_element.querySelector('.some-class'); " "some_class_element.textContent = \"New content\"; " "</code></pre>	DEFERRED-unresolved-location	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Action {0} completed successfully on {1} {2}. View it {3}	اكتمل الإجراء {0} بنجاح على {1} {2}. استعرضه {3}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Action {0} failed on {1} {2}. View it {3}	فشل الإجراء {0} على {1} {2}. استعرضه {3}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add / Remove Columns	إضافة / إزالة الأعمدة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Card to Dashboard	إضافة بطاقة إلى الشاشة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Child	إضافة فرع	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Indexes	إضافة فهارس	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Multiple	إضافة متعدد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Participants	إضافة مشاركين	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Roles	إضافة أدوار	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Tags	إضافة وسوم	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Template	إضافة قالب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Translate Data	إضافة بيانات الترجمة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add Video Conferencing	إضافة اجتماع فيديو	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a Filter	إضافة تصفية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a New Role	إضافة دور جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a Row	إضافة صف	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a new section	إضافة قسم جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a row above the current row	إضافة صف أعلى الصف الحالي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a row at the bottom	إضافة صف في الأسفل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a row at the top	إضافة صف في الأعلى	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add a row below the current row	إضافة صف أسفل الصف الحالي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add column	إضافة عمود	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add field	إضافة حقل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add new tab	إضافة تبويب جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add numbers or special characters.	أضف أرقامًا أو رموزًا خاصة.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add page break	إضافة فاصل صفحة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add tab	إضافة تبويب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add to this activity by mailing to {0}	أضف إلى هذا النشاط بالمراسلة إلى {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Add {0}	إضافة {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
After Rename	بعد إعادة التسمية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Apps with Search	تطبيقات مع بحث	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Assign To User Group	تعيين إلى مجموعة مستخدمين	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Assign a user	تعيين مستخدم	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Attach Files	إرفاق ملفات	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Attach Package	إرفاق حزمة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Attach a web link	إرفاق رابط ويب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Auto Email Report	تقرير بريد إلكتروني تلقائي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Automatically Assign Documents to Users	إسناد المستندات تلقائيًا إلى المستخدمين	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Background Print (required for >25 documents)	طباعة خلفية (مطلوبة لأكثر من 25 مستندًا)	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Before Print	قبل الطباعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Before Rename	قبل إعادة التسمية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Brand Logo with Search	شعار العلامة مع البحث	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Build your own reports, print formats, and dashboards. Create personalized workspaces for easier navigation	أنشئ تقاريرك ونماذج طباعتك ولوحاتك بنفسك؛ اصنع مساحات عمل مخصصة لتنقل أسهل.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Bulk Edit	تحرير جماعي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Bulk PDF Export	تصدير PDF جماعي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Bulk Update	تحديث جماعي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cancel All	إلغاء الكل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cancel Import	إلغاء الاستيراد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cancel Prepared Report	إلغاء التقرير المُجهَّز	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cannot Download Report due to insufficient permissions	لا يمكن تنزيل التقرير بسبب صلاحيات غير كافية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cannot Update After Submit	يتعذر التحديث بعد الترحيل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Cannot set 'Report' permission if 'Only If Creator' permission is set	لا يمكن تعيين صلاحية التقرير إذا كانت صلاحية «المنشئ فقط» مضبوطة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.	مستندات معينة مثل الفاتورة لا تُغيَّر بعد اكتمالها؛ الحالة النهائية تسمى «مُرحَّل»، ويمكنك تقييد الأدوار التي تملك صلاحية الترحيل.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Change Print Format	تغيير نموذج الطباعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Clear & Add Template	تفريغ وإضافة القالب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Clear & Add template	تفريغ وإضافة القالب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Close properties	إغلاق الخصائص	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Copy Link	نسخ الرابط	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Copy embed code	نسخ كود التضمين	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Copy error to clipboard	نسخ الخطأ إلى الحافظة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Copy to Clipboard	النسخ إلى الحافظة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Copy token to clipboard	نسخ الرمز إلى الحافظة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create & Continue	إنشاء ومواصلة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create Address	إنشاء عنوان	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create Child Doctype	إنشاء نوع مستند فرعي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create Letter Head	إنشاء ترويسة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create New DocType	إنشاء نوع مستند جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create New Kanban Board	إنشاء لوحة كانبان جديدة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create Saved Filter	إنشاء بتصفية محفوظة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create a New Format	إنشاء تنسيق جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create a Reminder	إنشاء تذكير	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create a new ...	إنشاء جديد ...	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create a {0} Account	إنشاء حساب {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create or Edit Print Format	إنشاء أو تحرير نموذج الطباعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create or Edit Workflow	إنشاء أو تحرير سير العمل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Create your workflow visually using the Workflow Builder.	أنشئ سير عملك بصريًا باستخدام منشئ سير العمل.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Custom Group Search	بحث مجموعة مخصص	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Custom Group Search if filled needs to contain the user placeholder {0}, eg uid={0},ou=users,dc=example,dc=com	بحث المجموعة المخصص عند تعبئته يجب أن يحتوي على نائب المستخدم {0}، مثل uid={0},ou=users,dc=example,dc=com	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'Group Object Class' are entered	تم اختيار LDAP مخصص؛ يرجى التأكد من إدخال «خاصية عضو مجموعة LDAP» و«صنف كائن المجموعة»	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Customize Dashboard	تخصيص شاشة العرض	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Dashboard View	منظر شاشة العرض (Dashboard)	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Data Import Log	سجل استيراد البيانات	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Data Import is not allowed for {0}. Enable 'Allow Import' in DocType settings.	استيراد البيانات غير مسموح لـ {0}؛ فعّل «السماح بالاستيراد» في إعدادات نوع المستند.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Default View	المنظر الافتراضي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Account	حذف الحساب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete All	حذف الكل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Background Exported Reports After (Hours)	حذف التقارير المصدَّرة خلفيًا بعد (ساعات)	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Column	حذف عمود	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Kanban Board	حذف لوحة كانبان	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Section	حذف قسم	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete Tab	حذف تبويب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete and Generate New	حذف وتوليد جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete column	حذف العمود	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete entire column with fields	حذف العمود كاملًا مع حقوله	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete entire section with fields	حذف القسم كاملًا مع حقوله	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete entire tab with fields	حذف التبويب كاملًا مع حقوله	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete section	حذف القسم	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete tab	حذف التبويب	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Delete {0} item permanently?	حذف {0} نهائيًا؟	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Disable System Update Notification	تعطيل إشعار تحديث النظام	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Do Not Create New User	عدم إنشاء مستخدم جديد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Document Share Key	مفتاح مشاركة المستند	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Document Share Key Expiry (in Days)	انتهاء صلاحية مفتاح مشاركة المستند (بالأيام)	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Duplicate Entry	مدخل مكرر	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Duplicate Row	تكرار الصف	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Duplicate current row	تكرار الصف الحالي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Duplicate field	تكرار الحقل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Address in Form	تحرير العنوان في النموذج	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Chart	تحرير الرسم البياني	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Custom Block	تحرير كتلة مخصصة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Existing	تحرير موجود	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Filters	تحرير عوامل التصفية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Footer	تحرير التذييل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Full Form	تحرير النموذج الكامل	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit HTML	تحرير HTML	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Header	تحرير الرأس	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Letter Head	تحرير رأس الرسالة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Letter Head Footer	تحرير تذييل الرأس	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Links	تحرير الروابط	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Number Card	تحرير بطاقة رقمية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Onboarding	تحرير مسار التهيئة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Print Format	تحرير نموذج الطباعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Quick List	تحرير القائمة السريعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Shortcut	تحرير الاختصار	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit Sidebar	تحرير الشريط الجانبي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit mode	وضع التحرير	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit the {0} Doctype	تحرير نوع المستند {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit your response	تحرير ردك	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Edit your workflow visually using the Workflow Builder.	حرر سير عملك بصريًا باستخدام منشئ سير العمل.	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Enable Prepared Report	تمكين التقرير المُجهَّز	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Enable developer mode to create a standard Print Template	فعّل وضع المطوّر لإنشاء نموذج طباعة قياسي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export Data	تصدير البيانات	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export Errored Rows	تصدير الصفوف الفاشلة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export Import Log	تصدير سجل الاستيراد	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export all matching rows?	تصدير جميع الصفوف المطابقة؟	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export all {0} rows?	تصدير جميع صفوف {0}؟	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export as zip	تصدير كملف مضغوط (zip)	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export in Background	تصدير في الخلفية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export the data without any header notes and column descriptions	تصدير البيانات دون ملاحظات الرأس وأوصاف الأعمدة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Export without main header	تصدير بدون رأس رئيسي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
External Link	رابط خارجي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Fetch on Save if Empty	الجلب عند الحفظ إن كان فارغًا	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Field \"title\" is mandatory if \"Website Search Field\" is set.	الحقل "title" إلزامي عند تعيين "حقل بحث الموقع".	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Filter List	قائمة التصفية	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Filter condition missing after operator: {0}	شرط التصفية غائب بعد العامل: {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Filter fields have invalid backtick notation: {0}	حقول التصفية تحتوي على تدوين الفاصلة العكسية غير الصالح: {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Filter...	تصفية...	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Following Report Filters have missing values:	عوامل تصفية التقرير التالية لها قيم مفقودة:	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Force Re-route to Default View	إجبار إعادة التوجيه إلى المنظر الافتراضي	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
From Attach Field	من حقل الإرفاق	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Further sub-groups can only be created under records marked as 'Group'	المجموعات الفرعية الأعمق تُنشأ فقط تحت سجلات مصنفة «مجموعة»	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Gantt View	منظر جانت	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Go to Notification Settings List	الانتقال إلى قائمة إعدادات الإشعارات	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Go to {0} List	الانتقال إلى قائمة {0}	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Google Meet Link	رابط Google Meet	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Grid Empty State	حالة الشبكة الفارغة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Grid Page Length	طول صفحة الشبكة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Grid Shortcuts	اختصارات الشبكة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Group	مجموعة	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
Group By must be a string	نظام التجميع (Group By) يجب أن يكون نصًا	quorum-confirmed (release payload row)	stage6-W6-0a owner-approved 2026-09-21
