source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Row #{0}: {1} is not a valid reading field. Please refer to the field description.,الصف رقم {0}: الحقل {1} غير صالح للقراءة. يُرجى الرجوع إلى وصف الحقل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/quality_inspection/quality_inspection.py:316
Row #{}: item {} has been picked already.,الصف رقم {}: تم انتقاء الصنف {} بالفعل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/pick_list/pick_list.py:198
Row #{}: {} {} doesn't belong to Company {}. Please select valid {}.,الصف رقم {}: لا يتبع {} {} الشركة {}. يُرجى تحديد {} صالح.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item/item.py:1401
"Row {0} picked quantity is less than the required quantity, additional {1} {2} required.",كمية الانتقاء في الصف {0} أقل من الكمية المطلوبة؛ يلزم توفير {1} {2} إضافية.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/pick_list/pick_list.py:228
Row {0}# Item {1} cannot be transferred more than {2} against {3} {4},الصف {0}# لا يمكن نقل الصنف {1} بكمية تتجاوز {2} مقابل {3} {4},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:1459
Row {0}# Item {1} not found in 'Raw Materials Supplied' table in {2} {3},الصف {0}# لم يُعثر على الصنف {1} في جدول 'المواد الخام الموردة' ضمن {2} {3},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:1483
"Row {0}: As {1} is enabled, raw materials cannot be added to {2} entry. Use {3} entry to consume raw materials.",الصف {0}: بما أن {1} مفعّل، لا يمكن إضافة المواد الخام إلى قيد {2}. استخدم قيد {3} لاستهلاك المواد الخام.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:1146
Row {0}: Either Delivery Note Item or Packed Item reference is mandatory.,الصف {0}: يجب إدخال مرجع بند إذن التسليم أو الصنف المعبأ.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/packing_slip/packing_slip.py:128
Row {0}: Packed Qty must be equal to {1} Qty.,الصف {0}: يجب أن تساوي الكمية المعبأة كمية {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/delivery_note/delivery_note.py:602
Row {0}: Packing Slip is already created for Item {1}.,الصف {0}: تم إنشاء سند التعبئة للصنف {1} بالفعل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/packing_slip/packing_slip.py:147
Row {0}: Please provide a valid Delivery Note Item or Packed Item reference.,الصف {0}: يُرجى إدخال مرجع صالح لبند إذن التسليم أو للصنف المعبأ.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/packing_slip/packing_slip.py:141
Row {0}: Purchase Invoice {1} has no stock impact.,الصف {0}: ليس لفاتورة الشراء {1} أثر على المخزون.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:129
Row {0}: Qty cannot be greater than {1} for the Item {2}.,الصف {0}: لا يمكن أن تتجاوز كمية الصنف {2} القيمة {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/packing_slip/packing_slip.py:153
Row {0}: Qty in Stock UOM can not be zero.,الصف {0}: لا يمكن أن تكون الكمية بوحدة قياس المخزون صفرًا.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:525
Row {0}: Qty must be greater than 0.,الصف {0}: يجب أن تكون الكمية أكبر من 0.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/packing_slip/packing_slip.py:124
Row {0}: Transferred quantity cannot be greater than the requested quantity.,الصف {0}: لا يمكن أن تتجاوز الكمية المنقولة الكمية المطلوبة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:3243
Row {0}: {2} Item {1} does not exist in {2} {3},الصف {0}: الصنف {1} من {2} غير موجود في {2} {3},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py:102
SCO Supplied Item,صنف مُورَّد ضمن أمر مقاولات الباطن,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None
Same item and warehouse combination already entered.,تم إدخال تركيبة الصنف والمستودع نفسها بالفعل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:597
Scan Mode,وضع المسح,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/pick_list/pick_list.json:None; erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.json:None
"Scan mode enabled, existing quantity will not be fetched.",وضع المسح مفعّل؛ لن يتم جلب الكمية الحالية.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.js:109
Scheduling,الجدولة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None
Segregate Serial / Batch Bundle,فصل مجموعة التسلسل/الدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/stock_ledger/stock_ledger.js:122
Select an Item Group.,تحديد مجموعة أصناف.,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item/item.js:1041
Select at least one value from each of the attributes.,حدد قيمة واحدة على الأقل من كل خاصية.,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item/item.js:721
Selected Serial and Batch Bundle entries have been fixed.,تم إصلاح قيود حزمة الأرقام التسلسلية والدفعات المحددة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/incorrect_serial_and_batch_bundle/incorrect_serial_and_batch_bundle.py:163
Self delivery,تسليم ذاتي,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Serial & Batch Item,صنف تسلسلي ودفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Serial & Batch Item Settings,إعدادات الأصناف التسلسلية والدفعات,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Serial / Batch Bundle,مجموعة تسلسل/دفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reconciliation_item/stock_reconciliation_item.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_supplied_item/subcontracting_receipt_supplied_item.json:None
Serial / Batch No,رقم تسلسلي/دفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None
Serial No (In/Out),الرقم التسلسلي (داخل/خارج),preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/available_serial_no/available_serial_no.py:140
Serial No Ledger,دفتر أستاذ الرقم التسلسلي,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/serial_no_ledger/serial_no_ledger.json:None; erpnext/stock/workspace/stock/stock.json:None
Serial No Reserved,الرقم التسلسلي محجوز,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:2317
Serial No Series Overlap,تداخل سلسلة الرقم التسلسلي,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item/item.py:426
Serial No and Batch Selector cannot be use when Use Serial / Batch Fields is enabled.,لا يمكن استخدام محدد الرقم التسلسلي والدفعة عند تفعيل حقول الرقم التسلسلي/الدفعة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.js:28
Serial No and Batch Traceability,تتبّع الأرقام التسلسلية والدفعات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/serial_no_and_batch_traceability/serial_no_and_batch_traceability.json:None; erpnext/stock/workspace/stock/stock.json:None
Serial No is mandatory,الرقم التسلسلي إلزامي,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1072
Serial No {0} does not exists,الرقم التسلسلي {0} غير موجود,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:3025
Serial No {0} is already Delivered. You cannot use them again in Manufacture / Repack entry.,تم تسليم الرقم التسلسلي {0} بالفعل. لا يمكنك استخدامه مرة أخرى في قيد التصنيع/إعادة التعبئة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:327
"Serial No {0} is not present in the {1} {2}, hence you can't return it against the {1} {2}",الرقم التسلسلي {0} غير موجود في {1} {2}، لذلك لا يمكنك إرجاعه مقابل {1} {2},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:399
Serial Nos are created successfully,تم إنشاء الأرقام التسلسلية بنجاح,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1636
"Serial Nos are reserved in Stock Reservation Entries, you need to unreserve them before proceeding.",الأرقام التسلسلية محجوزة في قيود حجز المخزون؛ يجب إلغاء حجزها قبل المتابعة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/stock_ledger.py:2307
Serial Nos {0} are already Delivered. You cannot use them again in Manufacture / Repack entry.,تم تسليم الأرقام التسلسلية {0} بالفعل. لا يمكنك استخدامها مرة أخرى في قيد التصنيع/إعادة التعبئة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:333
Serial and Batch,التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.json:None; erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None
Serial and Batch Bundle created,تم إنشاء مجموعة التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1858
Serial and Batch Bundle updated,تم تحديث مجموعة التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:1930
Serial and Batch Bundle {0} is not submitted,حزمة الأرقام التسلسلية والدفعات {0} غير مُقدَّمة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/serial_batch_bundle.py:351
Serial and Batch Entry,قيد التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_entry/serial_and_batch_entry.json:None
Serial and Batch No,التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/delivery_note_item/delivery_note_item.json:None; erpnext/stock/doctype/purchase_receipt_item/purchase_receipt_item.json:None
Serial and Batch Nos,الأرقام التسلسلية والدفعات,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.js:53
Serial and Batch Reservation,حجز التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None; erpnext/stock/doctype/stock_settings/stock_settings.json:None
Serial and Batch Summary,ملخص التسلسل والدفعة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/serial_and_batch_summary/serial_and_batch_summary.json:None
Set Serial and Batch Bundle Naming Based on Naming Series,تعيين تسمية مجموعة التسلسل والدفعة بناء على سلسلة التسمية,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Set fieldname from which you want to fetch the data from the parent form.,حدد اسم الحقل الذي تريد جلب البيانات منه في النموذج الرئيسي.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None
Set the status manually.,حدد الحالة يدويًا.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
Setting Item Locations...,جار تعيين مواقع الأصناف...,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/pick_list/pick_list.js:95
Shelf Life in Days,مدة الصلاحية بالأيام,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/batch/batch.py:215
Shift Time (In Hours),وقت الوردية (بالساعات),preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
Shipment,الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/delivery_note/delivery_note.js:246; erpnext/stock/doctype/shipment/shipment.json:None
Shipment Amount,مبلغ الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Shipment Delivery Note,إذن تسليم الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None; erpnext/stock/doctype/shipment_delivery_note/shipment_delivery_note.json:None
Shipment ID,معرف الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Shipment Information,معلومات الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Shipment Parcel,طرد الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None; erpnext/stock/doctype/shipment_parcel/shipment_parcel.json:None
Shipment Parcel Template,قالب طرد الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None
Shipment Type,نوع الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Shipment details,تفاصيل الشحنة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/shipment/shipment.json:None
Shipping Address Template,قالب عنوان الشحن,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None
Show Barcode Field in Stock Transactions,إظهار حقل الباركود في معاملات المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Show Dimension Wise Stock,إظهار المخزون حسب البُعد,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/stock_balance/stock_balance.js:137
Show Disabled Items,إظهار الأصناف المعطلة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/stock_qty_vs_serial_no_count/stock_qty_vs_serial_no_count.js:29
Show Disabled Warehouses,إظهار المستودعات المعطلة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/warehouse_wise_stock_balance/warehouse_wise_stock_balance.js:16
Show Item Name,إظهار اسم الصنف,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/available_batch_report/available_batch_report.js:86
Show pending entries,إظهار القيود المعلقة,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/utils.py:585
Similar types of workstations where the same operations run in parallel.,محطات عمل متشابهة تُنفّذ العمليات نفسها بالتوازي.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
"Since {0} are Serial No/Batch No items, you cannot enable 'Recreate Stock Ledgers' in Repost Item Valuation.",بما أن {0} أصناف ذات أرقام تسلسلية/أرقام دفعات، لا يمكنك تفعيل 'إعادة إنشاء قيود دفتر الأستاذ المخزني' في إعادة ترحيل تقييم الصنف.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:105
Source Document,المستند المصدر,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/serial_no/serial_no.json:None
Source Document No,رقم المستند المصدر,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/report/serial_no_and_batch_traceability/serial_no_and_batch_traceability.py:488
Source Fieldname,اسم حقل المصدر,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None
Source Warehouse Address Link,رابط عنوان المستودع المصدر,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.json:None
Source Warehouse is mandatory for the Item {0}.,مستودع المصدر مطلوب للصنف {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1163
Start Reposting,بدء إعادة الترحيل,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.js:99
Status set to rejected as there are one or more rejected readings.,تم تعيين الحالة إلى مرفوض لوجود قراءة مرفوضة واحدة أو أكثر.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/quality_inspection/quality_inspection.py:271
Stock Capacity,سعة المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary_header.html:10
Stock Closing,إغلاق المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Stock Closing Balance,رصيد إغلاق المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None
Stock Closing Entry,قيد إغلاق المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_closing_balance/stock_closing_balance.json:None; erpnext/stock/doctype/stock_closing_entry/stock_closing_entry.json:None
Stock Closing Entry {0} already exists for the selected date range,يوجد بالفعل قيد إقفال المخزون {0} ضمن نطاق التاريخ المحدد,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_closing_entry/stock_closing_entry.py:77
"Stock Closing Entry {0} has been queued for processing, system will take sometime to complete it.",تم وضع قيد إقفال المخزون {0} في قائمة المعالجة؛ سيستغرق النظام بعض الوقت لإكماله.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_closing_entry/stock_closing_entry.py:98
Stock Closing Log,سجل إغلاق المخزون,preserved-site-override,Preserve existing Site Override; no mutation.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_closing_entry/stock_closing_entry_dashboard.py:9
Stock Entries already created for Work Order {0}: {1},تم إنشاء قيود المخزون لأمر العمل {0} بالفعل: {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum.,stage6-W6-3 batch-03 owner-approved 2026-09-24,erpnext/stock/doctype/stock_entry/stock_entry.py:864
