source_text	translated_text	quorum_decision	decision_ref
Invalid Operation	عملية غير صالحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Override	تجاوز غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Parameters.	معاملات غير صالحة.	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid Phone Number	رقم هاتف غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid app	تطبيق غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid docstatus	حالة مستند غير صالحة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid key	مفتاح غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid request body	جسم الطلب غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invalid role	دور غير صالح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invitation not found	الدعوة غير موجودة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Invited By	مدعو بواسطة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Current	هو الحالي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Custom	مخصص	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Dynamic URL?	هل هو رابط ديناميكي؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Hidden	مخفي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Primary Address	عنوان رئيسي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Remote Request?	هل هو طلب عن بعد؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Setup Complete?	هل اكتمل الإعداد؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is System Generated	منشأ بواسطة النظام	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Table Field	حقل جدول	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is Virtual	افتراضي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Is standard	قياسي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
JS Message	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job ID	معرف المهمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job Id	معرف المهمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job Info	معلومات المهمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job Name	اسم المهمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job Status	حالة المهمة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Job is not running.	المهمة غير تعمل.	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
LDAP Auth	مصادقة LDAP	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
LDAP Custom Settings	إعدادات LDAP المخصصة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
LDAP Mobile Field	حقل الجوال LDAP	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
LDAP Server Settings	إعدادات خادم LDAP	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last 10 active users	آخر 10 مستخدمين نشطين	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last Heartbeat	آخر نبضة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last Modified Date	تاريخ آخر تعديل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last Received At	آخر استلام في	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last Run	آخر تشغيل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Last Updated	آخر تحديث	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Layout Reset	إعادة تعيين التخطيط	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Learn more	اعرف المزيد	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Left Bottom	أسفل اليسار	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Left Center	وسط اليسار	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Letter Head Scripts	سكربتات ترويسة الرسائل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
License Type	نوع الترخيص	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Light Blue	أزرق فاتح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Log API Requests	تسجيل طلبات API	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Log DocType	تسجيل نوع المستند	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Log Index	فهرس السجل	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Login Methods	طرق تسجيل الدخول	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Login To {0}	تسجيل الدخول إلى {0}	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Login required	تسجيل الدخول مطلوب	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Logo URI	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Logs to Clear	سجلات للمسح	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
MIT License	ترخيص MIT	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Maintenance Manager	مدير الصيانة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Maintenance User	مستخدم الصيانة	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Margin Bottom	الهامش السفلي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Margin Left	الهامش الأيسر	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Margin Right	الهامش الأيمن	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Margin Top	الهامش العلوي	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
MariaDB Variables	متغيرات MariaDB	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Marketing Manager	مدير التسويق	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Max File Size (MB)	أقصى حجم ملف (ميجابايت)	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Max Height	أقصى ارتفاع	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Max attachment size	أقصى حجم مرفق	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
Meets Condition?	يحقق الشرط؟	quorum-confirmed (release payload row)	stage6-W6-0b batch-4 owner-approved 2026-09-22
