source_text	translated_text	quorum_decision	decision_ref
(H) Valuation Rate	(H) سعر التقييم	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(I) Valuation Rate	(I) سعر التقييم	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(J) Valuation Rate as per FIFO	(J) سعر التقييم وفق FIFO	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(K) Valuation = Value (D) ÷ Qty (A)	(K) التقييم = القيمة (D) ÷ الكمية (A)	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
(Total Workstation Time / Manufacturing Time) * 60	(إجمالي وقت محطة العمل / وقت التصنيع) * 60	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A - B	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A - C	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A Packing Slip can only be created for Draft Delivery Note.	يمكن إنشاء سند التعبئة فقط لإذن التسليم المبدئي.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A Price List is a collection of Item Prices either Selling, Buying, or both	قائمة الأسعار هي مجموعة أسعار أصناف للبيع أو الشراء أو كليهما	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A Product or a Service that is bought, sold or kept in stock.	منتج أو خدمة يتم شراؤها أو بيعها أو حفظها في المخزون.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A driver must be set to submit.	يجب تحديد السائق قبل الإرسال.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A logical Warehouse against which stock entries are made.	مستودع منطقي تُنشأ عليه قيود المخزون.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.	حدث تعارض في سلسلة التسمية أثناء إنشاء الأرقام التسلسلية. يرجى تغيير سلسلة التسمية للصنف {0}.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
AMC Expiry (Serial)	انتهاء عقد الصيانة (تسلسلي)	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
AWB Number	رقم بوليصة الشحن الجوي	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Abbreviation: {0} must appear only once	الاختصار: يجب أن يظهر {0} مرة واحدة فقط	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Acceptance Criteria Formula	صيغة معايير القبول	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Acceptance Criteria Value	قيمة معايير القبول	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
According to the BOM {0}, the Item '{1}' is missing in the stock entry.	وفقًا لقائمة المواد {0}، الصنف '{1}' مفقود في قيد المخزون.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Accounting Entry for LCV in Stock Entry {0}	قيد محاسبي لسند التكلفة الإضافية في قيد المخزون {0}	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Accounting Entry for {0}	قيد محاسبي لـ {0}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Action If Quality Inspection Is Rejected	الإجراء عند رفض فحص الجودة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Actual Balance Qty	كمية الرصيد الفعلية	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Add Serial / Batch No (Rejected Qty)	إضافة رقم تسلسلي / دفعة (كمية مرفوضة)	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Adjustment based on Purchase Invoice rate	تعديل بناءً على سعر فاتورة الشراء	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Affected Transactions	المعاملات المتأثرة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Against Finished Good	مقابل المنتج النهائي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Against Pick List	مقابل قائمة الانتقاء	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Age ({0})	العمر ({0})	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
All items have already been received	تم استلام جميع الأصناف بالفعل	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Alternative Item must be checked on Item {}	يجب تحديد 'السماح بصنف بديل' على الصنف {}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Internal Transfers at Arm's Length Price	السماح بالتحويلات الداخلية بسعر مستقل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Partial Reservation	السماح بالحجز الجزئي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Purchase	السماح بالشراء	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Sales	السماح بالبيع	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow UOM with Conversion Rate Defined in Item	السماح بوحدة قياس لها سعر تحويل محدد في الصنف	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Variant UOM to be different from Template UOM	السماح لوحدة قياس المتغير أن تختلف عن وحدة القالب	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow Zero Rate	السماح بسعر صفري	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow existing Serial No to be Manufactured/Received again	السماح بإعادة تصنيع/استلام الرقم التسلسلي الموجود	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow to Edit Stock UOM Qty for Purchase Documents	السماح بتعديل كمية وحدة قياس المخزون لمستندات الشراء	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow to Edit Stock UOM Qty for Sales Documents	السماح بتعديل كمية وحدة قياس المخزون لمستندات البيع	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allow to Make Quality Inspection after Purchase / Delivery	السماح بإجراء فحص الجودة بعد الشراء / التسليم	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Allows to keep aside a specific quantity of inventory for a particular order.	يسمح بحجز كمية محددة من المخزون لطلب معين.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Already Picked	تم انتقاؤه بالفعل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Also you can't switch back to FIFO after setting the valuation method to Moving Average for this item.	أيضًا لا يمكنك العودة إلى FIFO بعد ضبط طريقة التقييم بمتوسط المتحرك لهذا الصنف.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Amount Difference with Purchase Invoice	فرق المبلغ مع فاتورة الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
An error has been appeared while reposting item valuation via {0}	ظهر خطأ أثناء إعادة ترحيل تقييم الصنف عبر {0}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Any one of following filters required: warehouse, Item Code, Item Group	مطلوب أي من المرشحات التالية: مستودع، رمز صنف، مجموعة أصناف	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Applied on each reading.	يُطبق على كل قراءة.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Applied putaway rules.	تم تطبيق قواعد التخزين.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Apply Putaway Rule	تطبيق قاعدة التخزين	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Apply to All Inventory Documents	تطبيق على كل مستندات المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Apply to Document	تطبيق على المستند	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
As there are existing submitted transactions against item {0}, you can not change the value of {1}.	لوجود معاملات مُرسلة بالفعل مقابل الصنف {0}، لا يمكنك تغيير قيمة {1}.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
As there are reserved stock, you cannot disable {0}.	لوجود مخزون محجوز، لا يمكنك تعطيل {0}.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
As {0} is enabled, you can not enable {1}.	بما أن {0} مفعل، لا يمكنك تفعيل {1}.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} in the warehouse {4}.	في الصف #{0}: الكمية المنتقاة {1} للصنف {2} أكبر من المخزون المتاح {3} في المستودع {4}.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
At least one warehouse is mandatory	مستودع واحد على الأقل إلزامي	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
At row {0}: Batch No is mandatory for Item {1}	في الصف {0}: رقم الدفعة إلزامي للصنف {1}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
At row {0}: Qty is mandatory for the batch {1}	في الصف {0}: الكمية إلزامية للدفعة {1}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
At row {0}: Serial No is mandatory for Item {1}	في الصف {0}: الرقم التسلسلي إلزامي للصنف {1}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Attribute value: {0} must appear only once	قيمة السمة: يجب أن تظهر {0} مرة واحدة فقط	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Create Serial and Batch Bundle For Outward	إنشاء مجموعة تسلسل ودفعة تلقائيا للصادر	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Created (Reorder)	منشأ تلقائيا (إعادة طلب)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Created Serial and Batch Bundle	مجموعة تسلسل ودفعة منشأة تلقائيا	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Insert Item Price If Missing	إدراج سعر الصنف تلقائيًا عند غيابه	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Reserve Serial and Batch Nos	حجز الأرقام التسلسلية والدفعات تلقائيا	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Reserve Stock	حجز المخزون تلقائيا	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Auto Reserve Stock for Sales Order on Purchase	حجز المخزون تلقائيًا لأمر البيع عند الشراء	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Available Batch Report	تقرير الدفعات المتاحة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Available Qty to Reserve	الكمية المتاحة للحجز	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Available Serial No	تقرير الأرقام التسلسلية المتاحة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Avg Rate	متوسط السعر	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Avg Rate (Balance Stock)	متوسط السعر (رصيد المخزون)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
BOM Info	معلومات قائمة المواد	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Balance Qty (Stock)	كمية الرصيد (المخزون)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Balance Stock Qty	كمية رصيد المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Balance Stock Value	قيمة رصيد المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch Expiry Date	تاريخ انتهاء الدفعة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch No is mandatory	رقم الدفعة إلزامي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch No {0} does not exists	رقم الدفعة {0} غير موجود	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch No {0} is linked with Item {1} which has serial no. Please scan serial no instead.	رقم الدفعة {0} مرتبط بالصنف {1} الذي يحمل رقمًا تسلسليًا. يرجى مسح الرقم التسلسلي بدلاً من ذلك.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch No {0} is not present in the original {1} {2}, hence you can't return it against the {1} {2}	رقم الدفعة {0} غير موجود في {1} {2} الأصلي، لذا لا يمكنك إعادته مقابل {1} {2}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch Nos are created successfully	تم إنشاء أرقام الدفعات بنجاح	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch Qty	كمية الدفعة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch Qty updated successfully	تم تحديث كمية الدفعة بنجاح	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch Qty updated to {0}	تم تحديث كمية الدفعة إلى {0}	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batch {0} and Warehouse	الدفعة {0} والمستودع	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Batchwise Valuation	تقييم حسب الدفعة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Bin Qty Recalculated	تمت إعادة حساب كمية الحاوية	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Booking stock value across multiple accounts will make it harder to track stock and account value.	تسجيل قيمة المخزون عبر حسابات متعددة يجعل تتبع قيمة المخزون والحساب أصعب.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Buffer Time	وقت احتياطي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
CODE-39	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-3 batch-01 owner-approved 2026-09-23
COGS By Item Group	تكلفة البضاعة المباعة حسب مجموعة الأصناف	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
COGS Debit	مدين تكلفة البضاعة المباعة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cannot Merge	لا يمكن الدمج	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cannot amend {0} {1}, please create a new one instead.	لا يمكن تعديل {0} {1}، يرجى إنشاء سجل جديد بدلاً من ذلك.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cannot cancel as processing of cancelled documents is pending.	لا يمكن الإلغاء لوجود معالجة معلقة لمستندات ملغاة.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cannot cancel the transaction. Reposting of item valuation on submission is not completed yet.	لا يمكن إلغاء المعاملة. إعادة ترحيل تقييم الصنف عند الإرسال لم تكتمل بعد.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cannot create Stock Reservation Entries for future dated Purchase Receipts.	لا يمكن إنشاء قيود حجز مخزون لسندات استلام بتواريخ مستقبلية.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Capacity (In Days)	السعة (بالأيام)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Capacity (Stock UOM)	السعة (بوحدة قياس المخزون)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Capacity in Stock UOM	السعة بوحدة قياس المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Capacity must be greater than 0	يجب أن تكون السعة أكبر من 0	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Carrier	الناقل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Carrier Service	خدمة الناقل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Caution: This might alter frozen accounts.	تنبيه: قد يغير هذا الحسابات المجمدة.	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Change in Stock Value	التغير في قيمة المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Charges are updated in Purchase Receipt against each item	تُحدَّث التكاليف في سند استلام الشراء لكل صنف	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Charges will be distributed proportionately based on item qty or amount, as per your selection	ستُوزَّع التكاليف تناسبية بناءً على كمية الصنف أو المبلغ، حسب اختيارك	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Check Availability in Warehouse	فحص التوفر في المستودع	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Company which internal customer represents.	الشركة التي يمثلها العميل الداخلي.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Conditional Rule	قاعدة شرطية	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Conditional Rule Examples	أمثلة على القواعد الشرطية	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Consider Rejected Warehouses	احتساب مستودعات المرفوضات	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Consumed quantity of item {0} exceeds transferred quantity.	الكمية المستهلكة من الصنف {0} تتجاوز الكمية المنقولة.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Consumption Rate	معدل الاستهلاك	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Control Historical Stock Transactions	التحكم في معاملات المخزون السابقة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Convert Item Description to Clean HTML in Transactions	تحويل وصف الصنف إلى HTML نظيف في المعاملات	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Convert to Item Based Reposting	التحويل إلى إعادة ترحيل حسب الصنف	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Convert to Ledger	تحويل إلى دفتر الأستاذ	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Cost of Goods Sold Account in Items Table	حساب تكلفة البضاعة المباعة في جدول الأصناف	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create Delivery Note	إنشاء إذن تسليم	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create Grouped Asset	إنشاء أصل مجمع	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create Reposting Entries	إنشاء قيود إعادة ترحيل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create Reposting Entry	إنشاء قيد إعادة ترحيل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create Stock Entry	إنشاء قيد مخزون	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Create a variant with the template image.	إنشاء متغير بصورة القالب.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Creating Packing Slip ...	جارٍ إنشاء سند التعبئة ...	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Creation	الإنشاء	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Current Index	الفهرس الحالي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Current Serial / Batch Bundle	مجموعة التسلسل/الدفعة الحالية	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Customer Provided Item Cost	تكلفة الصنف المقدم من العميل	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
D - E	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Daily Yield (%)	الإنتاجية اليومية (%)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Default COGS Account	حساب تكلفة البضاعة المباعة الافتراضي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Default Discount Account	حساب الخصم الافتراضي	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Default Provisional Account (Service)	الحساب المؤقت الافتراضي (خدمة)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Default settings for your stock-related transactions	الإعدادات الافتراضية لمعاملات المخزون الخاصة بك	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Deferred Accounting Defaults	إعدادات المحاسبة المؤجلة الافتراضية	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Delete Dimension	حذف البُعد	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Delivered Qty (in Stock UOM)	الكمية المسلمة (بوحدة قياس المخزون)	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Delivery Note Packed Item	صنف معبأ في إذن التسليم	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Delivery to	التسليم إلى	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Dependant SLE Voucher Detail No	رقم تفاصيل سند قيد دفتر الأستاذ المخزني التابع	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Description of Content	وصف المحتوى	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Difference Account in Items Table	حساب الفرق في جدول الأصناف	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Difference In	الفرق في	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Different 'Source Warehouse' and 'Target Warehouse' can be set for each row.	يمكن ضبط 'مستودع المصدر' و'مستودع الوجهة' مختلفين لكل صف.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Dimension Details	تفاصيل البُعد	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Disable Serial No And Batch Selector	تعطيل محدد الرقم التسلسلي والدفعة	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Disabled Warehouse {0} cannot be used for this transaction.	لا يمكن استخدام المستودع المعطل {0} في هذه المعاملة.	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Disables auto-fetching of existing quantity	يعطيل الجلب التلقائي للكمية الموجودة	quorum-confirmed (release payload row)	stage6-W6-3 batch-01 owner-approved 2026-09-23
Disassemble	تفكيك	preserved-site-override (not imported, plan §12)	stage6-W6-3 batch-01 owner-approved 2026-09-23
