source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Asset created after being split from Asset {0},تم إنشاء الأصل بعد تقسيمه من الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:1403
Asset deleted,تم حذف الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:284
Asset issued to Employee {0},تم تسليم الأصل للموظف {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:168
Asset out of order due to Asset Repair {0},الأصل معطل بسبب إصلاح الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.py:179
Asset received at Location {0} and issued to Employee {1},تم استلام الأصل في الموقع {0} وتسليمه للموظف {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:155
Asset restored,تمت استعادة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:452
Asset restored after Asset Capitalization {0} was cancelled,تمت استعادة الأصل بعد إلغاء رسملة الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:620
Asset scrapped,تم تخريد الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:439
Asset submitted,تم ترحيل الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:259
Asset transferred to Location {0},تم نقل الأصل إلى الموقع {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:163
Asset updated after being split into Asset {0},تم تحديث الأصل بعد تقسيمه إلى الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:1412
Asset updated due to Asset Repair {0} {1}.,تم تحديث الأصل بسبب إصلاح الأصل {0} {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.py:442
Asset {0} does not belong to Item {1},الأصل {0} لا ينتمي إلى الصنف {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:213
Asset {0} does not belong to the custodian {1},الأصل {0} لا ينتمي إلى العهدة {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:92
Asset {0} does not belong to the location {1},الأصل {0} لا ينتمي إلى الموقع {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:64
Asset {0} does not exist,الأصل {0} غير موجود,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:672; erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:765
Asset {0} has been updated. Please set the depreciation details if any and submit it.,تم تحديث الأصل {0}. يرجى ضبط تفاصيل الإهلاك إن وجدت ثم ترحيله.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:586
Asset {0} is in {1} status and cannot be repaired.,الأصل {0} في حالة {1} ولا يمكن إصلاحه.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.py:75
Asset {0} is not set to calculate depreciation.,الأصل {0} غير معد لحساب الإهلاك.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:96
Asset {0} is not submitted. Please submit the asset before proceeding.,الأصل {0} غير مرحل. يرجى ترحيل الأصل قبل المتابعة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:102
Asset's depreciation schedule updated after Asset Shift Allocation {0},تم تحديث جدول إهلاك الأصل بعد تخصيص وردية الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:223
Asset's value adjusted after cancellation of Asset Value Adjustment {0},تم تعديل قيمة الأصل بعد إلغاء تسوية قيمة الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py:81
Asset's value adjusted after submission of Asset Value Adjustment {0},تم تعديل قيمة الأصل بعد ترحيل تسوية قيمة الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_value_adjustment/asset_value_adjustment.py:71
At least one asset has to be selected.,يجب تحديد أصل واحد على الأقل.,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:1269
Batch and Serial No,الدفعة والرقم التسلسلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization_stock_item/asset_capitalization_stock_item.json:None
Cannot cancel Asset Depreciation Schedule {0} as it has a draft journal entry {1}.,لا يمكن إلغاء جدول إهلاك الأصل {0} لوجود قيد يومية مسودة {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.py:118
Capitalize Asset,رسملة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:210
Capitalize Repair Cost,رسملة تكلفة الإصلاح,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.json:None
Capitalize this asset before submitting.,يرجى رسملة هذا الأصل قبل الترحيل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:208
Capitalized,مرسمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None; erpnext/assets/doctype/asset/asset_list.js:14
Completion Date can not be before Failure Date. Please adjust the dates accordingly.,لا يمكن أن يكون تاريخ الإنجاز قبل تاريخ العطل. يرجى تعديل التواريخ وفقاً لذلك.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.py:83
Consumed Asset Total Value,إجمالي قيمة الأصول المستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.json:None
Consumed Assets,الأصول المستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.json:None
Consumed Items Cost,تكلفة الأصناف المستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.json:None
Consumed Quantity,الكمية المستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair_consumed_item/asset_repair_consumed_item.json:None
Consumed Stock Items,أصناف المخزون المستهلكة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.json:None; erpnext/assets/doctype/asset_repair/asset_repair.json:None
"Consumed Stock Items, Consumed Asset Items or Consumed Service Items is mandatory for Capitalization",الأصناف المخزنية المستهلكة أو أصناف الأصول المستهلكة أو أصناف الخدمات المستهلكة إلزامية للرسملة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.py:303
Consumed Stock Total Value,إجمالي قيمة المخزون المستهلك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_capitalization/asset_capitalization.json:None
Cost Center {} doesn't belong to Company {},مركز التكلفة {} لا ينتمي إلى الشركة {},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:353
Cost Center {} is a group cost center and group cost centers cannot be used in transactions,مركز التكلفة {} هو مركز تكلفة رئيسي ولا يمكن استخدام مراكز التكلفة الرئيسية في المعاملات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:360
Could not find a suitable shift to match the difference: {0},تعذر العثور على وردية مناسبة لمطابقة الفرق: {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_shift_allocation/asset_shift_allocation.py:129
Create Depreciation Entry,إنشاء قيد إهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:162
Depreciate based on daily pro-rata,الإهلاك حسب التناسب اليومي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json:None; erpnext/assets/doctype/asset_finance_book/asset_finance_book.json:None
Depreciate based on shifts,الإهلاك حسب الورديات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json:None; erpnext/assets/doctype/asset_finance_book/asset_finance_book.json:None
Depreciation Details,تفاصيل الإهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json:None
Depreciation Entry Posting Status,حالة ترحيل قيد الإهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Depreciation Entry against asset {0},قيد إهلاك للأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:1237
Depreciation Entry against {0} worth {1},قيد إهلاك لـ {0} بقيمة {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:253
Depreciation Expense Account should be an Income or Expense Account.,يجب أن يكون حساب مصروف الإهلاك حساب إيرادات أو مصروفات.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:300
Depreciation Posting Date cannot be before Available-for-use Date,لا يمكن أن يكون تاريخ ترحيل الإهلاك قبل تاريخ الإتاحة للاستخدام,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:795
Depreciation Row {0}: Depreciation Posting Date cannot be before Available-for-use Date,سطر الإهلاك {0}: لا يمكن أن يكون تاريخ ترحيل الإهلاك قبل تاريخ الإتاحة للاستخدام,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:382
Depreciation Schedule View,عرض جدول الإهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Depreciation cannot be calculated for fully depreciated assets,لا يمكن حساب الإهلاك للأصول المهلكة بالكامل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:477
Disposal date {0} cannot be before {1} date {2} of the asset.,لا يمكن أن يكون تاريخ الاستبعاد {0} قبل تاريخ {1} للأصل {2}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:826
Duplicate Finance Book,دفتر مالي مكرر,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:409
Employee {0} does not belong to the company {1},الموظف {0} لا ينتمي إلى الشركة {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:79; erpnext/assets/doctype/asset_movement/asset_movement.py:100
Enter date to scrap asset,أدخل تاريخ تخريد الأصل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:804
Error while posting depreciation entries,خطأ أثناء ترحيل قيود الإهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:317
Failed to post depreciation entries,فشل ترحيل قيود الإهلاك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:221
From Employee,من الموظف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement_item/asset_movement_item.json:None
From Employee is required while issuing Asset {0},حقل من الموظف مطلوب عند تسليم الأصل {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_movement/asset_movement.py:85
Future date is not allowed,لا يسمح بتاريخ مستقبلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:380
Here are the error logs for the aforementioned failed depreciation entries: {0},فيما يلي سجلات الأخطاء لقيود الإهلاك الفاشلة المذكورة أعلاه: {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/depreciation.py:347
Increase In Asset Life (Months),زيادة عمر الأصل (بالأشهر),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_finance_book/asset_finance_book.json:None
Increase In Asset Life(Months),الزيادة في عمر الأصل (أشهر),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.json:None
Insurance,التأمين,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Invalid Cost Center,مركز تكلفة غير صالح,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:356; erpnext/assets/doctype/asset/asset.py:363; erpnext/controllers/accounts_controller.py:3224
Invalid Net Purchase Amount,صافي مبلغ الشراء غير صالح,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:557
Invalid Schedule,جدول غير صالح,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:643; erpnext/assets/doctype/asset/asset.py:662
Is Composite Asset,أصل مركب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Is Composite Component,مكون مركب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Is Fully Depreciated,مهلك بالكامل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None
Maintain Asset,صيانة الأصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:142
Maintenance Details,تفاصيل الصيانة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_maintenance_log/asset_maintenance_log.json:None
Make Asset Movement,إنشاء حركة أصل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset_list.js:32
Manage,إدارة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.js:100; erpnext/assets/doctype/asset/asset.js:108; erpnext/assets/doctype/asset/asset.js:116; erpnext/assets/doctype/asset/asset.js:124; erpnext/assets/doctype/asset/asset.js:132; erpnext/assets/doctype/asset/asset.js:146; erpnext/assets/doctype/asset/asset.js:156; erpnext/assets/doctype/asset/asset.js:166; erpnext/assets/doctype/asset/asset.js:182; erpnext/setup/doctype/company/company.js:161; erpnext/setup/doctype/company/company.js:172
Missing Finance Book,دفتر مالي مفقود,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:417
Missing Serial No Bundle,حزمة الأرقام التسلسلية مفقودة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset_repair/asset_repair.py:297
Movement,الحركة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset_dashboard.py:7
Net Purchase Amount,صافي مبلغ الشراء,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.json:None; erpnext/assets/doctype/asset_depreciation_schedule/asset_depreciation_schedule.json:None; erpnext/assets/report/fixed_asset_register/fixed_asset_register.py:439; erpnext/assets/report/fixed_asset_register/fixed_asset_register.py:500
Net Purchase Amount is mandatory,صافي مبلغ الشراء إلزامي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,erpnext/assets/doctype/asset/asset.py:445
