source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Advertisement,إعلان,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/marketing_source.txt:3
Advertising,إعلانات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:2
Aerospace,صناعات الفضاء والطيران,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:3
Agent,وكيل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/sales_partner_type.txt:4
Agriculture,الزراعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:4
Airline,خطوط طيران,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:5
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,يمكن ربط جميع معاملات المبيعات بعدة مندوبي مبيعات لتمكينك من تحديد الأهداف ومتابعتها.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/sales_person/sales_person.json:None
Ampere,أمبير,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Ampere-Hour,,EXCEPTION-technical,Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Ampere-Minute,,EXCEPTION-technical,Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Ampere-Second,,EXCEPTION-technical,Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
An Item Group is a way to classify items based on types.,مجموعة الأصناف هي طريقة لتصنيف الأصناف بناءً على أنواعها.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/item_group/item_group.json:None
Analyst,محلل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:4
Apparel & Accessories,الملابس والإكسسوارات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:6
Are,آر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Arshin,أرشين,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Associate,مشارك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:5
Atmosphere,ضغط جوي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Attendance & Leaves,الحضور والإجازات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
Auto Create Exchange Rate Revaluation,إنشاء إعادة تقييم سعر الصرف تلقائيا,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
Automotive,السيارات والمحركات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:7
B+,+B,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
B-,-B,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
Barleycorn,حبة شعير,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Barrel (Oil),برميل (نفط),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Barrel(Beer),برميل (بيرة),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
"Based on your HR Policy, select your leave allocation period's end date",بناءً على سياسة الموارد البشرية لديك، حدد تاريخ انتهاء فترة تخصيص الإجازات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/holiday_list/holiday_list.js:60
"Based on your HR Policy, select your leave allocation period's start date",بناءً على سياسة الموارد البشرية لديك، حدد تاريخ بدء فترة تخصيص الإجازات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/holiday_list/holiday_list.js:55
Biot,بيوت,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Biotechnology,التكنولوجيا الحيوية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:9
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},يجب أن يكون كلٌّ من حساب الدائنين: {0} وحساب الدفعات المقدمة: {1} بالعملة نفسها للشركة: {2},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/supplier_group/supplier_group.py:57
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},يجب أن يكون كلٌّ من حساب المدينين: {0} وحساب الدفعات المقدمة: {1} بالعملة نفسها للشركة: {2},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/customer_group/customer_group.py:62
Box,صندوق,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Broadcasting,البث الإذاعي والتلفزيوني,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:10
Brokerage,الوساطة المالية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:11
Btu (It),وحدة حرارية بريطانية (دولية),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Btu (Mean),وحدة حرارية بريطانية (متوسطة),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Btu (Th),وحدة حرارية بريطانية (حرارية كيميائية),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Btu/Hour,وحدة حرارية بريطانية/ساعة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Btu/Minutes,وحدة حرارية بريطانية/دقيقة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Btu/Seconds,وحدة حرارية بريطانية/ثانية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Bushel (UK),بوشل (بريطاني),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Bushel (US Dry Level),بوشل (أمريكي جاف),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Business Analyst,محلل أعمال,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:6
Business Development Manager,مدير تطوير الأعمال,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:7
Buying & Selling Settings,إعدادات الشراء والبيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
Buying and Selling,الشراء والبيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
Caballeria,كاباليريا,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cable Length,طول الكابل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cable Length (UK),طول الكابل (بريطاني),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cable Length (US),طول الكابل (أمريكي),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calibre,عيار,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calorie (Food),سعرة حرارية (غذائية),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calorie (It),سعرة حرارية (دولية),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calorie (Mean),سعرة حرارية (متوسطة),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calorie (Th),سعرة حرارية (حرارية كيميائية),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Calorie/Seconds,سعرة حرارية/ثانية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cannot Change Inventory Account Setting,لا يمكن تغيير إعداد حساب المخزون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.py:217
Cannot enqueue multi docs for one company. {0} is already queued/running for company: {1},لا يمكن إدراج مستندات متعددة في قائمة الانتظار لشركة واحدة. {0} قيد الانتظار أو التشغيل بالفعل للشركة: {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/transaction_deletion_record/transaction_deletion_record.py:110
Cannot make any transactions until the deletion job is completed,لا يمكن إجراء أي معاملات حتى تكتمل مهمة الحذف,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/transaction_deletion_record/transaction_deletion_record.py:516
Carat,قيراط,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Carriage Paid To,أجور النقل مدفوعة إلى,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/incoterm/incoterms.csv:6
Carriage and Insurance Paid to,أجور النقل والتأمين مدفوعة إلى,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/incoterm/incoterms.csv:7
Celsius,مئوية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cental,سنتال,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Centiarea,سنتيار,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Centigram/Litre,سنتيجرام/لتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Centilitre,سنتيلتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Centimeter,سنتيمتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Chain,سلسلة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Chemical,الكيماويات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:12
Chief Executive Officer,الرئيس التنفيذي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:9
Chief Financial Officer,المدير المالي التنفيذي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:10
Chief Operating Officer,مدير العمليات التنفيذي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:11
Chief Technology Officer,المدير التقني التنفيذي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:12
Classification of Customers by region,تصنيف العملاء حسب المنطقة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/territory/territory.json:None
Clear Notifications,مسح الإشعارات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/transaction_deletion_record/transaction_deletion_record.json:None
Cold Calling,اتصال بارد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/marketing_source.txt:4
Company Details,تفاصيل الشركة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
Company {} does not exist yet. Taxes setup aborted.,الشركة {} غير موجودة بعد. تم إلغاء إعداد الضرائب.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/operations/taxes_setup.py:14
Consulting,الاستشارات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:14
Consumer Products,المنتجات الاستهلاكية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:15
Cosmetics,مستحضرات التجميل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/industry_type.txt:16
Cost and Freight,التكلفة وأجور الشحن,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/incoterm/incoterms.csv:8
Cost to Company (CTC),التكلفة على الشركة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
"Cost, Insurance and Freight",التكلفة والتأمين وأجور الشحن,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/incoterm/incoterms.csv:9
Could Not Delete Demo Data,تعذر حذف البيانات التجريبية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/demo.py:55
Coulomb,كولوم,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Creating User...,جارٍ إنشاء المستخدم...,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.js:92
Cross Listing of Item in multiple groups,إدراج الصنف في مجموعات متعددة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/website_item_group/website_item_group.json:None
Cubic Centimeter,سنتيمتر مكعب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Decimeter,ديسيمتر مكعب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Foot,قدم مكعب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Inch,بوصة مكعبة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Meter,متر مكعب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Millimeter,مليمتر مكعب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cubic Yard,ياردة مكعبة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Cup,كوب,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Customer / Item / Item Group,العميل / الصنف / مجموعة الأصناف,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/authorization_rule/authorization_rule.json:None
Customer Service Representative,ممثل خدمة العملاء,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/designation.txt:13
Customer's Vendor,مورد العميل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/marketing_source.txt:8
Cycle/Second,دورة/ثانية,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Date of Birth,تاريخ الميلاد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
Date of Joining,تاريخ الانضمام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/employee/employee.json:None
Dealer,تاجر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/sales_partner_type.txt:3
Decigram/Litre,ديسيجرام/لتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Decilitre,ديسيلتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Decimeter,ديسيمتر,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/setup_wizard/data/uom_data.json:None
Default Advance Paid Account,حساب الدفعات المقدمة المدفوعة الافتراضي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None; erpnext/setup/doctype/company/company.py:307
Default Advance Received Account,حساب الدفعات المقدمة المستلمة الافتراضي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None; erpnext/setup/doctype/company/company.py:296
Default In-Transit Warehouse,مستودع العبور الافتراضي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None; erpnext/stock/doctype/warehouse/warehouse.json:None
Default Operating Cost Account,حساب تكلفة التشغيل الافتراضي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
Default Payment Discount Account,حساب خصم الدفع الافتراضي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,erpnext/setup/doctype/company/company.json:None
