source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Enable to apply SLA on every {0},تفعيل تطبيق اتفاقية مستوى الخدمة على كل {0},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:34
Enter Visit Details,إدخال تفاصيل الزيارة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js:96
Fetch Latest Exchange Rate,جلب أحدث سعر صرف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.js:117
First Response Due,استحقاق أول رد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/issue/issue.json:None
First Response SLA Failed by {},فشلت اتفاقية مستوى الخدمة للاستجابة الأولى من قِبل {},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/issue/test_issue.py:239; erpnext/support/doctype/service_level_agreement/service_level_agreement.py:906
From Date is mandatory,تاريخ من إلزامي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:27
In Process,قيد المعالجة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/manufacturing/doctype/production_plan/production_plan.json:None; erpnext/manufacturing/doctype/work_order/work_order.json:None; erpnext/stock/doctype/quality_inspection/quality_inspection.json:None
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","في الصف {0} من فترات حجز المواعيد: يجب أن يكون ""إلى وقت"" بعد ""من وقت"".",PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/appointment_booking_settings/appointment_booking_settings.js:8
Invalid Document Type,نوع مستند غير صالح,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:200
Issue Analytics,تحليلات البلاغات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/report/issue_analytics/issue_analytics.json:None
Issue Summary,ملخص البلاغات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/report/issue_summary/issue_summary.json:None
Item Reference,مرجع الصنف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_schedule_detail/maintenance_schedule_detail.json:None; erpnext/manufacturing/doctype/production_plan_item/production_plan_item.json:None; erpnext/manufacturing/doctype/production_plan_item_reference/production_plan_item_reference.json:None
Job Title,المسمى الوظيفي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None
Lead -> Prospect,,DEFERRED-source-defect,CRM Prospect entity terminology is unresolved; defer until the canonical Prospect term is approved.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.py:549
Lead Conversion Time,وقت تحويل العميل المحتمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/lead_conversion_time/lead_conversion_time.json:None
Lead Owner cannot be same as the Lead Email Address,لا يمكن أن يكون مالك العميل المحتمل هو نفسه عنوان البريد الإلكتروني للعميل المحتمل,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.py:176
Lead {0} has been added to prospect {1}.,,DEFERRED-source-defect,CRM Prospect entity terminology is unresolved; defer until the canonical Prospect term is approved.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.py:548
Leads,العملاء المحتملون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect/prospect.json:None
Lost Reasons are required in case opportunity is Lost.,أسباب الخسارة مطلوبة في حال كانت الفرصة خاسرة.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.js:28
No of Employees,عدد الموظفين,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None
No. of Employees,عدد الموظفين,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect/prospect.json:None
Notes HTML,HTML للملاحظات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
Open Activities HTML,HTML للأنشطة المفتوحة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/doctype/prospect/prospect.json:None
Opp/Lead %,نسبة الفرص/العملاء المحتملين %,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/campaign_efficiency/campaign_efficiency.py:25; erpnext/crm/report/lead_owner_efficiency/lead_owner_efficiency.py:31
Opportunity Amount (Company Currency),مبلغ الفرصة (عملة الشركة),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None
Opportunity Owner,مالك الفرصة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/crm/report/opportunity_summary_by_sales_stage/opportunity_summary_by_sales_stage.py:32; erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:66
Opportunity Source,مصدر الفرصة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/opportunity_summary_by_sales_stage/opportunity_summary_by_sales_stage.js:46; erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.js:58
Opportunity Summary by Sales Stage,ملخص الفرص حسب مرحلة البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/workspace/crm/crm.json:None
Opportunity Value,قيمة الفرصة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None
Order/Quot %,نسبة الطلبات/عروض الأسعار %,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/campaign_efficiency/campaign_efficiency.py:27; erpnext/crm/report/lead_owner_efficiency/lead_owner_efficiency.py:33
Party Full Name,الاسم الكامل للجهة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/contract/contract.json:None
Phone Ext.,تحويلة الهاتف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None
Pipeline By,خط المبيعات حسب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.js:8
Please check your email to confirm the appointment,يرجى مراجعة بريدك الإلكتروني لتأكيد الموعد,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/appointment/appointment.py:98; erpnext/www/book_appointment/index.js:235
Please enter Maintenance Details first,يرجى إدخال تفاصيل الصيانة أولاً,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py:224
Please select valid document type.,يرجى تحديد نوع مستند صالح.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:200
Post Route Key List,قائمة مفاتيح مسار المنشور,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/support_search_source/support_search_source.json:None
Potential Sales Deal,صفقة مبيعات محتملة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None
Probability,الاحتمال,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None
Probability (%),الاحتمال (%),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/opportunity/opportunity.json:None
Prospect,فرصة بيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.js:36; erpnext/crm/doctype/lead/lead.js:62; erpnext/crm/doctype/prospect/prospect.json:None; erpnext/crm/workspace/crm/crm.json:None
Prospect Lead,عميل محتمل لفرصة بيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_lead/prospect_lead.json:None
Prospect Opportunity,فرصة لفرصة بيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None
Prospect Owner,مالك فرصة البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/prospect/prospect.json:None
Prospect {0} already exists,,DEFERRED-source-defect,CRM Prospect entity terminology is unresolved; defer until the canonical Prospect term is approved.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.py:313
Purposes Required,الأغراض مطلوبة,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.py:56
Qualification Status,حالة التأهيل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None
Qualified,مؤهل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None
Qualified By,تم التأهيل بواسطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None
Qualified on,تم التأهيل في,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/doctype/lead/lead.json:None
Quot/Lead %,نسبة عروض الأسعار/العملاء المحتملين %,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/campaign_efficiency/campaign_efficiency.py:26; erpnext/crm/report/lead_owner_efficiency/lead_owner_efficiency.py:32
Raised By,مرفوع بواسطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/warranty_claim/warranty_claim.json:None
Resolution Date,تاريخ الحل,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/issue/issue.json:None; erpnext/support/doctype/warranty_claim/warranty_claim.json:None
Resolution Details,تفاصيل الحل,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/issue/issue.json:None; erpnext/support/doctype/warranty_claim/warranty_claim.json:None
Resolution Due,استحقاق الحل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/issue/issue.json:None
Resolved By,تم الحل بواسطة,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/warranty_claim/warranty_claim.json:None
Response and Resolution,الاستجابة والحل,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
"Row {0}: To set {1} periodicity, difference between from and to date must be greater than or equal to {2}",الصف {0}: لتعيين دورية {1}، يجب أن يكون الفرق بين تاريخ البدء وتاريخ الانتهاء أكبر من أو يساوي {2},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py:217
SLA Fulfilled On,تم استيفاء اتفاقية مستوى الخدمة عند,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
SLA Fulfilled On Status,حالة استيفاء اتفاقية مستوى الخدمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/sla_fulfilled_on_status/sla_fulfilled_on_status.json:None
SLA Paused On,تم إيقاف اتفاقية مستوى الخدمة عند,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
SLA will be applied if {1} is set as {2}{3},سيتم تطبيق اتفاقية مستوى الخدمة إذا تم تعيين {1} كـ {2}{3},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:52
SLA will be applied on every {0},سيتم تطبيق اتفاقية مستوى الخدمة على كل {0},PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:32
Sales Pipeline Analytics,تحليلات مسار المبيعات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.json:None; erpnext/crm/workspace/crm/crm.json:None
Service Level Agreement for {0} {1} already exists.,اتفاقية مستوى الخدمة لـ {0} {1} موجودة بالفعل.,PROPOSED-payload,Corrected AI draft; requires renewed independent A1/A2/A3 quorum before release.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:176
Service Level Name,اسم مستوى الخدمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 CRM Support Maintenance corrected-review-pending 2026-09-24,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None
