source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Party Item Code,كود صنف الجهة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/blanket_order_item/blanket_order_item.json:None
Pause Job,إيقاف العمل مؤقتا,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:255
Phantom Item,صنف وهمي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom_item_preview.html:16; erpnext/public/js/bom_configurator/bom_configurator.bundle.js:321
Planned Purchase Order,أمر شراء مخطط,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1026
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.",الكمية المخططة: الكمية التي تم إصدار أمر عمل بها، ولكنها قيد الانتظار للتصنيع.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Planned Work Order,أمر عمل مخطط,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1031
Plant Dashboard,لوحة المصنع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None
Plant Floor,أرضية المصنع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.json:None; erpnext/manufacturing/doctype/workstation/workstation.json:None; erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None; erpnext/public/js/plant_floor_visual/visual_plant.js:53
Please check either with operations or FG Based Operating Cost.,يرجى اختيار العمليات أو تكلفة التشغيل على أساس المنتج التام.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom.js:87
Please mention the Current and New BOM for replacement.,يرجى تحديد قائمة المواد الحالية والجديدة للاستبدال.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.py:70
Please select a Work Order first.,يرجى تحديد أمر عمل أولاً.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:1444
Please select a row to create a Reposting Entry,يرجى تحديد صف لإنشاء قيد إعادة ترحيل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:135; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.js:73
Please select atleast one operation to create Job Card,يرجى تحديد عملية واحدة على الأقل لإنشاء بطاقة العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:381
Please set Parent Row No for item {0},يرجى تعيين رقم الصف الأب للصنف {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:256
Please set actual demand or sales forecast to generate Material Requirements Planning Report.,يرجى تعيين الطلب الفعلي أو توقعات المبيعات لإنشاء تقرير تخطيط متطلبات المواد.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:68
Please set the Target Warehouse in the Job Card,يرجى تعيين مستودع الهدف في بطاقة العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:1507
Please set the WIP Warehouse in the Job Card,يرجى تعيين مستودع التشغيل قيد التنفيذ (WIP) في بطاقة العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:1511
Please set {0} in BOM Creator {1},يرجى تعيين {0} في منشئ قائمة المواد {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:209
Please uncheck 'Show in Bucket View' to create Orders,"يرجى إلغاء تحديد ""إظهار العرض حسب الفترات الزمنية"" لإنشاء الأوامر",PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:139
Preview Required Materials,معاينة المواد المطلوبة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Process Loss,خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/stock/doctype/stock_entry/stock_entry.json:None
Process Loss Percentage cannot be greater than 100,لا يمكن أن تكون نسبة الفاقد في العملية أكبر من 100,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:1165
Process Loss Qty,كمية خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/manufacturing/doctype/job_card/job_card.json:None; erpnext/manufacturing/doctype/work_order/work_order.json:None; erpnext/manufacturing/doctype/work_order_operation/work_order_operation.json:None; erpnext/manufacturing/report/process_loss_report/process_loss_report.py:94; erpnext/stock/doctype/stock_entry/stock_entry.json:None; erpnext/subcontracting/doctype/subcontracting_inward_order_item/subcontracting_inward_order_item.json:None
Process Loss Quantity,كمية خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:332
Process Loss Report,تقرير خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/process_loss_report/process_loss_report.json:None
Process Loss Value,قيمة خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/process_loss_report/process_loss_report.py:100
Processed BOMs,قوائم مواد معالجة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.json:None
Produced / Received Qty,الكمية المنتجة/المستلمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/production_plan_summary/production_plan_summary.py:177
Production Plan Already Submitted,تم تقديم خطة الإنتاج بالفعل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:152
Production Plan Item Reference,مرجع عنصر خطة الإنتاج,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None; erpnext/manufacturing/doctype/production_plan_item_reference/production_plan_item_reference.json:None
Production Plan Sub-assembly Item,عنصر تجميع فرعي لخطة الإنتاج,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
Production Plan Summary,ملخص خطة الإنتاج,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:110; erpnext/manufacturing/report/production_plan_summary/production_plan_summary.json:None
Projected Quantity Formula,صيغة الكمية المتوقعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Purchase Order {0} created,تم إنشاء أمر الشراء {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1343
Qty In Stock,الكمية في المخزون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/material_request_plan_item/material_request_plan_item.json:None
Qty Per Unit,الكمية لكل وحدة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py:82
"Qty To Manufacture ({0}) cannot be a fraction for the UOM {2}. To allow this, disable '{1}' in the UOM {2}.","لا يمكن أن تكون الكمية المراد تصنيعها ({0}) كسرًا لوحدة القياس {2}. للسماح بذلك، عطل ""{1}"" في وحدة القياس {2}.",PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:1389
Qty Wise Chart,رسم بياني حسب الكمية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/quality_inspection_summary/quality_inspection_summary.py:56
Qty to Build,الكمية المطلوب بناؤها,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:133
Qty to Produce,الكمية المطلوب إنتاجها,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None; erpnext/manufacturing/report/work_order_consumed_materials/work_order_consumed_materials.py:129
Quantity is required,الكمية مطلوبة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:274
Quantity to Produce should be greater than zero.,يجب أن تكون الكمية المراد إنتاجها أكبر من الصفر.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py:37
Raw Material Item,صنف مادة خام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/work_order_consumed_materials/work_order_consumed_materials.py:132
Raw Material Value,قيمة المادة الخام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/report/process_loss_report/process_loss_report.py:112
Remove Parent Row No in Items Table,إزالة رقم الصف الأب في جدول الأصناف,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:96
Rent,إيجار,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/workstation/test_workstation.py:80; erpnext/manufacturing/doctype/workstation/test_workstation.py:91; erpnext/manufacturing/doctype/workstation/test_workstation.py:118; erpnext/patches/v16_0/make_workstation_operating_components.py:49; erpnext/setup/setup_wizard/operations/install_fixtures.py:316
Reqd Qty (BOM),الكمية المطلوبة (قائمة المواد),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/material_request_plan_item/material_request_plan_item.json:None
Reqired Qty,الكمية المطلوبة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.js:489
"Requested Qty: Quantity requested for purchase, but not ordered.",الكمية المطلوبة: الكمية المطلوبة للشراء، ولكن لم يتم طلبها بعد.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Reservation,الحجز,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan_dashboard.py:13
Reserve,حجز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:894; erpnext/selling/doctype/sales_order/sales_order.js:92; erpnext/stock/doctype/pick_list/pick_list.js:148; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:180
Reserve Stock,حجز المخزون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None; erpnext/manufacturing/doctype/work_order/work_order.json:None; erpnext/public/js/stock_reservation.js:15; erpnext/selling/doctype/sales_order/sales_order.js:397; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/selling/doctype/sales_order_item/sales_order_item.json:None; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:278; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Reserve for Raw Materials,حجز للمواد الخام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:287
Reserve for Sub-assembly,حجز للتجميع الفرعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:261
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,الكمية المحجوزة للإنتاج: كمية المواد الخام لتصنيع أصناف الإنتاج.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Reserved Qty for Subcontract: Raw materials quantity to make subcontracted items.,الكمية المحجوزة للتصنيع لدى مقاول باطن: كمية المواد الخام اللازمة لتصنيع الأصناف لدى مقاول الباطن.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
"Reserved Qty: Quantity ordered for sale, but not delivered.",الكمية المحجوزة للبيع: الكمية التي طلبها العميل ولم تُسلَّم بعد.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Reserved Stock,المخزون المحجوز,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/plant_floor/stock_summary_template.html:24; erpnext/manufacturing/doctype/work_order/work_order.js:910; erpnext/public/js/stock_reservation.js:236; erpnext/selling/doctype/sales_order/sales_order.js:120; erpnext/selling/doctype/sales_order/sales_order.js:457; erpnext/stock/dashboard/item_dashboard_list.html:15; erpnext/stock/doctype/bin/bin.json:None; erpnext/stock/doctype/pick_list/pick_list.js:168; erpnext/stock/report/reserved_stock/reserved_stock.json:None; erpnext/stock/report/stock_balance/stock_balance.py:497; erpnext/stock/stock_ledger.py:2301; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:205; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:333
Reserved Stock for Raw Materials,مخزون محجوز للمواد الخام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:301
Reserved Stock for Sub-assembly,مخزون محجوز للتجميع الفرعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:275
Resume Job,استئناف العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:239
Return Components,إرجاع المكونات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:284
Returned Qty ,الكمية المرتجعة,preserved-site-override,"PRESERVED-edge-whitespace exception: retain this exact source key and existing live v16.localhost Site Override verbatim; do not trim, normalize, import, or replace.",stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order_item/work_order_item.json:None
Row #1: Sequence ID must be 1 for Operation {0}.,الصف رقم 1: يجب أن يكون معرف التسلسل 1 للعملية {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:257
Row #{0}: Cannot transfer more than Required Qty {1} for Item {2} against Job Card {3},الصف رقم {0}: لا يمكن تحويل أكثر من الكمية المطلوبة {1} للصنف {2} مقابل بطاقة العمل {3},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:1007
Row #{0}: Customer Provided Item {1} cannot be added multiple times.,الصف رقم {0}: الصنف المقدم من العميل {1} لا يمكن إضافته عدة مرات.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:334
Row #{0}: From Time and To Time fields are required,الصف رقم {0}: حقلا وقت البدء ووقت الانتهاء مطلوبان,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.py:759
Row #{0}: Please select Item Code in Assembly Items,الصف رقم {0}: يرجى تحديد كود الصنف في أصناف التجميع,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1030
Row #{0}: Please select the BOM No in Assembly Items,الصف رقم {0}: يرجى تحديد رقم قائمة المواد في أصناف التجميع,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1033
Row #{0}: Please select the Sub Assembly Warehouse,الصف رقم {0}: يرجى تحديد مستودع التجميع الفرعي,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1027
Row #{0}: Sequence ID must be {1} or {2} for Operation {3}.,الصف رقم {0}: يجب أن يكون معرف التسلسل {1} أو {2} للعملية {3}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:263
"Row #{0}: Since 'Track Semi Finished Goods' is enabled, the BOM {1} cannot be used for Sub Assembly Items","الصف رقم {0}: نظرًا لتفعيل ""تتبع البضائع نصف المصنعة""، لا يمكن استخدام قائمة المواد {1} لأصناف التجميع الفرعي",PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1037
Row #{0}: Source Warehouse {1} for item {2} cannot be a customer warehouse.,الصف رقم {0}: مستودع المصدر {1} للصنف {2} لا يمكن أن يكون مستودع عميل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:368
Row #{0}: Source Warehouse {1} for item {2} must be same as Source Warehouse {3} in the Work Order.,الصف رقم {0}: مستودع المصدر {1} للصنف {2} يجب أن يكون متطابقًا مع مستودع المصدر {3} في أمر العمل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:323
Row #{0}: Start Time and End Time are required,الصف رقم {0}: وقت البدء ووقت الانتهاء مطلوبان,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.py:105
Row #{0}: Start Time must be before End Time,الصف رقم {0}: يجب أن يكون وقت البدء قبل وقت الانتهاء,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/workstation/workstation.py:108
Row {0}: Quantity cannot be negative.,الصف {0}: لا يمكن أن تكون الكمية سالبة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/blanket_order/blanket_order.py:124
Row {0}: Workstation or Workstation Type is mandatory for an operation {1},الصف {0}: محطة العمل أو نوع محطة العمل إلزامي للعملية {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 02 pending-owner-approval 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:1148; erpnext/manufacturing/doctype/work_order/work_order.py:397
