source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Advertisement,إعلان,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Advertising,إعلانات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Aerospace,صناعات الفضاء والطيران,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Agent,وكيل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Agriculture,الزراعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Airline,خطوط طيران,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,يمكن ربط جميع معاملات المبيعات بعدة مندوبي مبيعات لتمكينك من تحديد الأهداف ومتابعتها.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ampere,أمبير,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ampere-Hour,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ampere-Minute,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ampere-Second,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
An Item Group is a way to classify items based on types.,مجموعة الأصناف هي طريقة لتصنيف الأصناف بناءً على أنواعها.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Analyst,محلل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Apparel & Accessories,الملابس والإكسسوارات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Are,آر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Arshin,أرشين,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Associate,مشارك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Atmosphere,ضغط جوي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Attendance & Leaves,الحضور والإجازات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Auto Create Exchange Rate Revaluation,إنشاء إعادة تقييم سعر الصرف تلقائيا,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Automotive,السيارات والمحركات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
B+,+B,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
B-,-B,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Barleycorn,حبة شعير,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Barrel (Oil),برميل (نفط),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Barrel(Beer),برميل (بيرة),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
"Based on your HR Policy, select your leave allocation period's end date",بناءً على سياسة الموارد البشرية لديك، حدد تاريخ انتهاء فترة تخصيص الإجازات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
"Based on your HR Policy, select your leave allocation period's start date",بناءً على سياسة الموارد البشرية لديك، حدد تاريخ بدء فترة تخصيص الإجازات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Biot,بيوت,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Biotechnology,التكنولوجيا الحيوية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Both Payable Account: {0} and Advance Account: {1} must be of same currency for company: {2},يجب أن يكون كلٌّ من حساب الدائنين: {0} وحساب الدفعات المقدمة: {1} بالعملة نفسها للشركة: {2},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Both Receivable Account: {0} and Advance Account: {1} must be of same currency for company: {2},يجب أن يكون كلٌّ من حساب المدينين: {0} وحساب الدفعات المقدمة: {1} بالعملة نفسها للشركة: {2},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Box,صندوق,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Broadcasting,البث الإذاعي والتلفزيوني,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Brokerage,الوساطة المالية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu (It),وحدة حرارية بريطانية (دولية),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu (Mean),وحدة حرارية بريطانية (متوسطة),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu (Th),وحدة حرارية بريطانية (حرارية كيميائية),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu/Hour,وحدة حرارية بريطانية/ساعة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu/Minutes,وحدة حرارية بريطانية/دقيقة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Btu/Seconds,وحدة حرارية بريطانية/ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Bushel (UK),بوشل (بريطاني),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Bushel (US Dry Level),بوشل (أمريكي جاف),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Business Analyst,محلل أعمال,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Business Development Manager,مدير تطوير الأعمال,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Buying & Selling Settings,إعدادات الشراء والبيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Buying and Selling,الشراء والبيع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Caballeria,كاباليريا,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cable Length,طول الكابل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cable Length (UK),طول الكابل (بريطاني),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cable Length (US),طول الكابل (أمريكي),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calibre,عيار,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calorie (Food),سعرة حرارية (غذائية),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calorie (It),سعرة حرارية (دولية),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calorie (Mean),سعرة حرارية (متوسطة),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calorie (Th),سعرة حرارية (حرارية كيميائية),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Calorie/Seconds,سعرة حرارية/ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cannot Change Inventory Account Setting,لا يمكن تغيير إعداد حساب المخزون,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cannot enqueue multi docs for one company. {0} is already queued/running for company: {1},لا يمكن إدراج مستندات متعددة في قائمة الانتظار لشركة واحدة. {0} قيد الانتظار أو التشغيل بالفعل للشركة: {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cannot make any transactions until the deletion job is completed,لا يمكن إجراء أي معاملات حتى تكتمل مهمة الحذف,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Carat,قيراط,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Carriage Paid To,أجور النقل مدفوعة إلى,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Carriage and Insurance Paid to,أجور النقل والتأمين مدفوعة إلى,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Celsius,مئوية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cental,سنتال,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Centiarea,سنتيار,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Centigram/Litre,سنتيجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Centilitre,سنتيلتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Centimeter,سنتيمتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chain,سلسلة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chemical,الكيماويات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chief Executive Officer,الرئيس التنفيذي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chief Financial Officer,المدير المالي التنفيذي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chief Operating Officer,مدير العمليات التنفيذي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Chief Technology Officer,المدير التقني التنفيذي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Classification of Customers by region,تصنيف العملاء حسب المنطقة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Clear Notifications,مسح الإشعارات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cold Calling,اتصال بارد,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Company Details,تفاصيل الشركة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Company {} does not exist yet. Taxes setup aborted.,الشركة {} غير موجودة بعد. تم إلغاء إعداد الضرائب.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Consulting,الاستشارات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Consumer Products,المنتجات الاستهلاكية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cosmetics,مستحضرات التجميل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cost and Freight,التكلفة وأجور الشحن,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cost to Company (CTC),التكلفة على الشركة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
"Cost, Insurance and Freight",التكلفة والتأمين وأجور الشحن,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Could Not Delete Demo Data,تعذر حذف البيانات التجريبية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Coulomb,كولوم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Creating User...,جارٍ إنشاء المستخدم...,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cross Listing of Item in multiple groups,إدراج الصنف في مجموعات متعددة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cubic Centimeter,سنتيمتر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cubic Decimeter,ديسيمتر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cubic Foot,قدم مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cubic Inch,بوصة مكعبة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Cubic Meter,متر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
