source_text	translated_text	quorum_decision	decision_ref
Primary Address and Contact	العنوان وجهة الاتصال الرئيسية	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Production Plan Sub Assembly Item	عنصر تجميع فرعي لخطة الإنتاج	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Purchase Orders Count	عدد أوامر الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Purchase Receipt (Draft) will be auto-created on submission of Subcontracting Receipt.	سيُنشأ إيصال الشراء (مسودة) تلقائيًا عند ترحيل إيصال مقاولة الباطن.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Purchase Value	قيمة الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Qty in Stock UOM	الكمية بوحدة قياس المخزون	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Qty to Be Consumed	الكمية المطلوب استهلاكها	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Quotation Number	رقم عرض السعر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Raw materials consumed qty will be validated based on FG BOM required qty	ستُتحقق الكمية المستهلكة من المواد الخام بناءً على الكمية المطلوبة في قائمة مواد المنتج النهائي	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Return of Components	إرجاع المكونات	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: BOM is not specified for subcontracting item {0}	الصف #{0}: لم يُحدد إجراء قائمة المواد لصنف مقاولة الباطن {0}	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: Default BOM not found for FG Item {1}	الصف #{0}: لم يتم العثور على قائمة المواد الافتراضية لصنف المنتج النهائي {1}	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: Finished Good Item Qty can not be zero	الصف #{0}: لا يمكن أن تكون كمية صنف المنتج النهائي صفرًا	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: Finished Good Item is not specified for service item {1}	الصف #{0}: لم يُحدد صنف المنتج النهائي للصنف الخدمي {1}	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: Finished Good Item {1} must be a sub-contracted item	الصف #{0}: يجب أن يكون صنف المنتج النهائي {1} صنف مقاولة باطن	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{0}: Item {1} does not exist	الصف #{0}: الصنف {1} غير موجود	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Row #{1}: Warehouse is mandatory for stock Item {0}	الصف #{1}: المستودع إلزامي لصنف المخزون {0}	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Sales Order Packed Item	صنف معبأ لأمر البيع	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Select Finished Good	تحديد المنتج النهائي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Select a Customer	تحديد عميل	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Send Document Print	إرسال نسخة مطبوعة من المستند	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Set Default Supplier	تعيين المورد الافتراضي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Set Landed Cost Based on Purchase Invoice Rate	تعيين التكلفة الإضافية بناء على سعر فاتورة الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Set Valuation Rate for Rejected Materials	تعيين سعر التقييم للمواد المرفوضة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Shipping Address Details	تفاصيل عنوان الشحن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Show Pay Button in Purchase Order Portal	إظهار زر الدفع في بوابة أمر الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontract Order	أمر مقاولات باطن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontract Order Summary	ملخص أمر مقاولات باطن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontracted Quantity	الكمية المنفذة من الباطن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontracting Order	أمر مقاولات باطن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontracting Order (Draft) will be auto-created on submission of Purchase Order.	سيُنشأ أمر مقاولة الباطن (مسودة) تلقائيًا عند ترحيل أمر الشراء.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontracting Order {0} created.	تم إنشاء أمر مقاولة الباطن {0}.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Subcontracting Settings	إعدادات مقاولات الباطن	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Submit Action Failed	فشل إجراء الترحيل	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Submit your Quotation	ترحيل عرض السعر	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Successfully linked to Customer	تم الربط بالعميل بنجاح	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplied Item	الصنف المورَّد	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier Address Details	تفاصيل عنوان المورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier Contact	جهة اتصال المورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier Portal Users	مستخدمو بوابة الموردين	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier Primary Address	العنوان الرئيسي للمورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier Primary Contact	جهة الاتصال الرئيسية للمورد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Supplier of Goods or Services.	مورد للسلع أو الخدمات.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Terms & Conditions	الشروط والأحكام	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Terms Template	قالب الشروط	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
This Purchase Order has been fully subcontracted.	تمت مقاولة الباطن لأمر الشراء هذا بالكامل.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
This is a preview of the email to be sent. A PDF of the document will automatically be attached with the email.	هذه معاينة للرسالة المراد إرسالها. ستُرفق تلقائيًا نسخة PDF من المستند مع البريد الإلكتروني.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
To Pay	مستحق الدفع	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
To be Delivered to Customer	للتسليم للعميل	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Tools	الأدوات	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Total Purchase Amount	إجمالي مبلغ الشراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Total Supplied Qty	إجمالي الكمية المزودة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Transaction Settings	إعدادات المعاملة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Unable to find variable:	تعذّر العثور على المتغير:	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Update Rate as per Last Purchase	تحديث السعر حسب آخر شراء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Update frequency of Project	تكرار تحديث المشروع	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Validate Consumed Qty (as per BOM)	التحقق من الكمية المستهلكة (حسب قائمة المواد)	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Warehouse Settings	إعدادات المستودع	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
{}  To Receive	{}  للمستلَم	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
{} Pending	{} معلّق	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
 Address	 العنوان	preserved-site-override (not imported, plan §12; strip-collision with runtime Address SO at import)	stage6-W6-2 batch-01 owner-approved 2026-09-22
%  Delivered	نسبة التسليم	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
% Picked	نسبة المنتقى	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
% of materials billed against this Sales Order	% o نسبة المواد المفوترة ضد أمر البيع هذا	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
% of materials delivered against this Sales Order	% o نسبة المواد المسلَّمة ضد أمر البيع هذا	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
'Allow Multiple Sales Orders Against a Customer's Purchase Order'	السماح بأوامر بيع متعددة ضد أمر شراء العميل	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Action if Same Rate is Not Maintained Throughout Sales Cycle	الإجراء إذا لم يُحافظ على نفس السعر طوال دورة البيع	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Add Discount	إضافة خصم	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Add Schedule	إضافة جدول	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Additional	إضافي	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Additional Information updated successfully.	تم تحديث المعلومات الإضافية بنجاح.	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
All Items	كل الأصناف	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
All the items have been already returned.	تم إرجاع جميع الأصناف بالفعل.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Delivery of Overproduced Qty	السماح بتسليم الكمية المنتجة الزائدة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Item to be Added Multiple Times in a Transaction	السماح بإضافة الصنف عدة مرات في المعاملة	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Negative rates for Items	السماح بأسعار سالبة للأصناف	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Quotation with Zero Quantity	السماح بعرض سعر بكمية صفر	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Sales Order Creation For Expired Quotation	السماح بإنشاء أمر بيع لعرض سعر منتهي الصلاحية	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Allow Sales Order with Zero Quantity	السماح بأمر بيع بكمية صفر	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Alternative Items	الأصناف البديلة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Auto Fetch Serial Numbers	جلب الأرقام التسلسلية تلقائيا	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Based On Value	بناء على القيمة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Bundle Items	أصناف المجموعة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Buyer of Goods and Services.	مشتري للسلع والخدمات.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Bypass credit check at Sales Order	تجاوز فحص الائتمان عند أمر البيع	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Calculate Product Bundle Price based on Child Items' Rates	احتساب سعر حزمة المنتج بناءً على أسعار الأصناف الفرعية	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Changed customer name to '{}' as '{}' already exists.	تم تغيير اسم العميل إلى '{}' لوجود '{}' بالفعل.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Checkout	إتمام البيع	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Click to add email / phone	انقر لإضافة بريد إلكتروني / هاتف	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Commission Rate %	نسبة العمولة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Complete Order	إكمال الطلب	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Contact No.	رقم جهة الاتصال	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Contribution %	نسبة المساهمة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Contribution (%)	نسبة المساهمة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Contribution Qty	كمية المساهمة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Creating Delivery Note ...	جار إنشاء إذن التسليم ...	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Creating Delivery Schedule...	جارٍ إنشاء جدول التسليم...	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Creating Subcontracting Inward Order ...	جارٍ إنشاء أمر مقاولة الباطن الوارد ...	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Credit Limit Crossed	تم تجاوز حد الائتمان	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Curves	منحنيات	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Customer Defaults	إعدادات العميل الافتراضية	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Customer Portal Users	مستخدمو بوابة العملاء	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Deliver Scrap Items	تسليم أصناف الهالك	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Delivery Schedule	جدول التسليم	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Delivery Schedule Item	عنصر جدول التسليم	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Discount (%)	الخصم (%)	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Discount cannot be greater than 100%	لا يمكن أن يتجاوز الخصم 100%	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Discount cannot be greater than 100%.	لا يمكن أن يتجاوز الخصم 100%.	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Don't Reserve Sales Order Qty on Sales Return	لا تحجز كمية أمر البيع عند مرتجع المبيعات	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Edit Cart	تعديل السلة	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Editing {0} is not allowed as per POS Profile settings	التعديل على {0} غير مسموح وفقًا لإعدادات ملف نقطة البيع	quorum-confirmed (release payload row)	stage6-W6-2 batch-01 owner-approved 2026-09-22
Email Receipt	إرسال الإيصال بالبريد	preserved-site-override (not imported, plan §12)	stage6-W6-2 batch-01 owner-approved 2026-09-22
