source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.,جدول إهلاك الأصل {0} للأصل {1} ودفتر التمويل {2} موجود بالفعل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset ID,معرف الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Quantity,كمية الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Repair Consumed Item,عنصر مستهلك لإصلاح الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Repair Purchase Invoice,فاتورة شراء إصلاح الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Shift Allocation,تخصيص وردية الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Shift Factor,معامل وردية الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset Shift Factor {0} is set as default currently. Please change it first.,معامل وردية الأصل {0} محدد كافتراضي حاليًا. يرجى تغييره أولاً.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset cancelled,تم إلغاء الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset cannot be scrapped before the last depreciation entry.,لا يمكن تخريد الأصل قبل قيد الإهلاك الأخير.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset capitalized after Asset Capitalization {0} was submitted,تمت رسملة الأصل بعد ترحيل رسملة الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset created,تم إنشاء الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset created after being split from Asset {0},تم إنشاء الأصل بعد تقسيمه من الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset deleted,تم حذف الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset issued to Employee {0},تم تسليم الأصل للموظف {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset out of order due to Asset Repair {0},الأصل معطل بسبب إصلاح الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset received at Location {0} and issued to Employee {1},تم استلام الأصل في الموقع {0} وتسليمه للموظف {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset restored,تمت استعادة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset restored after Asset Capitalization {0} was cancelled,تمت استعادة الأصل بعد إلغاء رسملة الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset scrapped,تم تخريد الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset submitted,تم ترحيل الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset transferred to Location {0},تم نقل الأصل إلى الموقع {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset updated after being split into Asset {0},تم تحديث الأصل بعد تقسيمه إلى الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset updated due to Asset Repair {0} {1}.,تم تحديث الأصل بسبب إصلاح الأصل {0} {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} does not belong to Item {1},الأصل {0} لا ينتمي إلى الصنف {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} does not belong to the custodian {1},الأصل {0} لا ينتمي إلى العهدة {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} does not belong to the location {1},الأصل {0} لا ينتمي إلى الموقع {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} does not exist,الأصل {0} غير موجود,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} has been updated. Please set the depreciation details if any and submit it.,تم تحديث الأصل {0}. يرجى ضبط تفاصيل الإهلاك إن وجدت ثم ترحيله.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} is in {1} status and cannot be repaired.,الأصل {0} في حالة {1} ولا يمكن إصلاحه.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} is not set to calculate depreciation.,الأصل {0} غير معد لحساب الإهلاك.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset {0} is not submitted. Please submit the asset before proceeding.,الأصل {0} غير مرحل. يرجى ترحيل الأصل قبل المتابعة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset's depreciation schedule updated after Asset Shift Allocation {0},تم تحديث جدول إهلاك الأصل بعد تخصيص وردية الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset's value adjusted after cancellation of Asset Value Adjustment {0},تم تعديل قيمة الأصل بعد إلغاء تسوية قيمة الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Asset's value adjusted after submission of Asset Value Adjustment {0},تم تعديل قيمة الأصل بعد ترحيل تسوية قيمة الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
At least one asset has to be selected.,يجب تحديد أصل واحد على الأقل.,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Batch and Serial No,الدفعة والرقم التسلسلي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Cannot cancel Asset Depreciation Schedule {0} as it has a draft journal entry {1}.,لا يمكن إلغاء جدول إهلاك الأصل {0} لوجود قيد يومية مسودة {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Capitalize Asset,رسملة الأصل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Capitalize Repair Cost,رسملة تكلفة الإصلاح,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Capitalize this asset before submitting.,يرجى رسملة هذا الأصل قبل الترحيل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Capitalized,مرسمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Completion Date can not be before Failure Date. Please adjust the dates accordingly.,لا يمكن أن يكون تاريخ الإنجاز قبل تاريخ العطل. يرجى تعديل التواريخ وفقاً لذلك.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Asset Total Value,إجمالي قيمة الأصول المستهلكة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Assets,الأصول المستهلكة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Items Cost,تكلفة الأصناف المستهلكة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Quantity,الكمية المستهلكة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Stock Items,أصناف المخزون المستهلكة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
"Consumed Stock Items, Consumed Asset Items or Consumed Service Items is mandatory for Capitalization",الأصناف المخزنية المستهلكة أو أصناف الأصول المستهلكة أو أصناف الخدمات المستهلكة إلزامية للرسملة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Consumed Stock Total Value,إجمالي قيمة المخزون المستهلك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Cost Center {} doesn't belong to Company {},مركز التكلفة {} لا ينتمي إلى الشركة {},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Cost Center {} is a group cost center and group cost centers cannot be used in transactions,مركز التكلفة {} هو مركز تكلفة رئيسي ولا يمكن استخدام مراكز التكلفة الرئيسية في المعاملات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Could not find a suitable shift to match the difference: {0},تعذر العثور على وردية مناسبة لمطابقة الفرق: {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Create Depreciation Entry,إنشاء قيد إهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciate based on daily pro-rata,الإهلاك حسب التناسب اليومي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciate based on shifts,الإهلاك حسب الورديات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Details,تفاصيل الإهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Entry Posting Status,حالة ترحيل قيد الإهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Entry against asset {0},قيد إهلاك للأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Entry against {0} worth {1},قيد إهلاك لـ {0} بقيمة {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Expense Account should be an Income or Expense Account.,يجب أن يكون حساب مصروف الإهلاك حساب إيرادات أو مصروفات.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Posting Date cannot be before Available-for-use Date,لا يمكن أن يكون تاريخ ترحيل الإهلاك قبل تاريخ الإتاحة للاستخدام,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Row {0}: Depreciation Posting Date cannot be before Available-for-use Date,سطر الإهلاك {0}: لا يمكن أن يكون تاريخ ترحيل الإهلاك قبل تاريخ الإتاحة للاستخدام,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation Schedule View,عرض جدول الإهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Depreciation cannot be calculated for fully depreciated assets,لا يمكن حساب الإهلاك للأصول المهلكة بالكامل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Disposal date {0} cannot be before {1} date {2} of the asset.,لا يمكن أن يكون تاريخ الاستبعاد {0} قبل تاريخ {1} للأصل {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Duplicate Finance Book,دفتر مالي مكرر,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Employee {0} does not belong to the company {1},الموظف {0} لا ينتمي إلى الشركة {1},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Enter date to scrap asset,أدخل تاريخ تخريد الأصل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Error while posting depreciation entries,خطأ أثناء ترحيل قيود الإهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Failed to post depreciation entries,فشل ترحيل قيود الإهلاك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
From Employee,من الموظف,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
From Employee is required while issuing Asset {0},حقل من الموظف مطلوب عند تسليم الأصل {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Future date is not allowed,لا يسمح بتاريخ مستقبلي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Here are the error logs for the aforementioned failed depreciation entries: {0},فيما يلي سجلات الأخطاء لقيود الإهلاك الفاشلة المذكورة أعلاه: {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Increase In Asset Life (Months),زيادة عمر الأصل (بالأشهر),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Increase In Asset Life(Months),الزيادة في عمر الأصل (أشهر),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Insurance,التأمين,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Invalid Cost Center,مركز تكلفة غير صالح,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Invalid Net Purchase Amount,صافي مبلغ الشراء غير صالح,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
Invalid Schedule,جدول غير صالح,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Assets owner-approved 2026-09-24,521f1eb620b6c403f3cce91fd4ec280f86ad46f427ae6c1e194199c0242762ab
