source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Cannot convert Task to non-group because the following child Tasks exist: {0}.,لا يمكن تحويل المهمة إلى مهمة غير تجميعية لوجود المهام الفرعية التالية: {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Circular Reference Error,خطأ مرجع دائري,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Completed On,اكتمل في,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Completed On cannot be greater than Today,لا يمكن أن يكون تاريخ الإكمال بعد اليوم,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Completed Projects,المشاريع المكتملة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Completed Tasks,المهام المكتملة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Costing and Billing fields has been updated,تم تحديث حقول التكلفة والفوترة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Daily Time to send,وقت الإرسال اليومي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Delay (In Days),التأخير (بالأيام),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Delayed Tasks Summary,ملخص المهام المتأخرة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Dependent Task {0} is not a Template Task,المهمة {0} التي تعتمد عليها المهمة الحالية ليست مهمة قالب.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Duration (Days),المدة (بالأيام),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Enabling the check box will fetch timesheet on select of a Project in Sales Invoice,عند تفعيل مربع الاختيار، سيتم جلب سجل الدوام عند تحديد مشروع في فاتورة المبيعات.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Expected End Date should be less than or equal to parent task's Expected End Date {0}.,يجب ألا يتجاوز تاريخ الانتهاء المتوقع تاريخ الانتهاء المتوقع للمهمة الرئيسية {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Fetch Timesheet in Sales Invoice,جلب جدول الساعات في فاتورة المبيعات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
"For project {0}, update your status",حدّث حالة المشروع {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Gross Margin %,نسبة هامش الربح,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Hide timesheets,إخفاء جداول الساعات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Include Timesheets in Draft Status,تضمين جداول الساعات بحالة المسودة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Is Template,قالب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Learn Project Management,تعلّم إدارة المشاريع,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Non Completed Tasks,المهام غير المكتملة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
On Track,على المسار,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Overdue Tasks,مهام متأخرة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Parent Task {0} is not a Template Task,المهمة الرئيسية {0} ليست مهمة قالب.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Parent Task {0} must be a Group Task,يجب أن تكون المهمة الرئيسية {0} مهمة تجميعية.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Please set a default Holiday List for Company {0},يُرجى تعيين قائمة العطلات الافتراضية للشركة {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Progress % for a task cannot be more than 100.,,DEFERRED-format-ambiguity,Defer this row: the source's literal `% for` is ambiguous to the legacy printf-placeholder gate. Do not release it until its formatter/source contract is resolved separately.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Progress (%),التقدم (%),"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Resume Timer,استئناف المؤقت,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row {0}: Project must be same as the one set in the Timesheet: {1}.,الصف {0}: يجب أن يكون المشروع مطابقًا للمشروع المحدد في سجل الدوام: {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Row {0}: Task {1} does not belong to Project {2},الصف {0}: المهمة {1} لا تتبع المشروع {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Set Project Status,تعيين حالة المشروع,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Start Timer,بدء المؤقت,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Task Weight,وزن المهمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Task {0} depends on Task {1}. Please add Task {1} to the Tasks list.,تعتمد المهمة {0} على المهمة {1}. يُرجى إضافة المهمة {1} إلى قائمة المهام.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Template Task,مهمة قالب,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Timesheet Billing Summary,ملخص فوترة جدول الساعات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
To Time cannot be before from date,لا يمكن أن يكون وقت إلى قبل تاريخ من,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Total Billed Hours,إجمالي الساعات المفوترة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Total hours: {0},إجمالي الساعات: {0},quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Update Costing and Billing,تحديث التكلفة والفوترة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Updating Costing and Billing fields against this Project...,جار تحديث حقول التكلفة والفوترة لهذا المشروع...,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Warning - Row {0}: Billing Hours are more than Actual Hours,تحذير - الصف {0}: ساعات الفوترة أكثر من الساعات الفعلية.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Weekly Time to send,وقت الإرسال الأسبوعي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
You have been invited to collaborate on the project {0}.,لقد دُعيت للمشاركة في المشروع {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
hours,ساعات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
{0} hours,{0} ساعات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
{0}'s {1} cannot be after {2}'s Expected End Date.,لا يمكن أن يكون {1} الخاص بـ {0} بعد تاريخ الانتهاء المتوقع لـ {2}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Produced,نسبة المنتج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Raw Material Received,نسبة المواد الخام المستلمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
% Raw Material Returned,نسبة المواد الخام المرتجعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Accounting Entry for Landed Cost Voucher for SCR {0},قيد محاسبي لسند تكاليف الوصول لإيصال استلام مقاولات باطن SCR {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Active Subcontracted Items,الأصناف المنفذة من الباطن النشطة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Add Serial / Batch Bundle,إضافة مجموعة تسلسل/دفعة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Additional {0} {1} of item {2} required as per BOM to complete this transaction,يلزم توفير كمية إضافية قدرها {0} {1} من الصنف {2} وفقًا لقائمة المواد لإكمال هذه المعاملة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Atleast one raw material for Finished Good Item {0} should be customer provided.,يجب أن تكون مادة خام واحدة على الأقل للصنف النهائي {0} مقدمة من العميل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Company Shipping Address,عنوان شحن الشركة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Creating Subcontracting Receipt ...,جارٍ إنشاء إيصال استلام مقاولات باطن ...,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Customer Currency,عملة العميل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Customer Warehouse,مستودع العميل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Customer Warehouse {0} does not belong to Customer {1}.,مستودع العميل {0} لا يتبع العميل {1}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Distribute Additional Costs Based On ,,DEFERRED-runtime-key-normalization,"Defer this edge-padded DocType label: the runtime importer strips source edge whitespace, so the exact scoped key cannot bind without normalization.",stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good BOM,قائمة مواد المنتج النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good Item Quantity,كمية صنف المنتج النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good UOM,وحدة قياس المنتج النهائي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good {0} does not have a default BOM.,لا توجد قائمة مواد افتراضية للصنف النهائي {0}.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good {0} is disabled.,الصنف النهائي {0} معطّل.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good {0} must be a stock item.,يجب أن يكون الصنف النهائي {0} صنفًا مخزنيًا.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Good {0} must be a sub-contracted item.,يجب أن يكون الصنف النهائي {0} بندًا منفذًا من الباطن.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Finished Goods Return,مرتجع المنتجات النهائية,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Get Scrap Items,جلب أصناف الهالك,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Getting Scrap Items,جارٍ جلب أصناف الخردة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker,منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Address,عنوان منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Address Details,تفاصيل عنوان منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Contact,جهة اتصال منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Currency,عملة منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Delivery Note,إذن تسليم منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Name,اسم منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Job Worker Warehouse,مستودع منفذ العمل,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Mapping Subcontracting Inward Order ...,جارٍ ربط أمر استلام مقاولات باطن ...,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
Mapping Subcontracting Order ...,جارٍ ربط أمر مقاولات باطن ...,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,a9b9abaf3111b5ca0310aa7c3291f4c45e7fc04807242894848c707542694e2c
