source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Costing and Billing fields has been updated,تم تحديث حقول التكلفة والفوترة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.js:140
Daily Time to send,وقت الإرسال اليومي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
Delay (In Days),التأخير (بالأيام),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/delayed_tasks_summary/delayed_tasks_summary.py:130
Delayed Tasks Summary,ملخص المهام المتأخرة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/delayed_tasks_summary/delayed_tasks_summary.json:None; erpnext/projects/workspace/projects/projects.json:None
Dependent Task {0} is not a Template Task,المهمة {0} التي تعتمد عليها المهمة الحالية ليست مهمة قالب.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:178
Duration (Days),المدة (بالأيام),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Enabling the check box will fetch timesheet on select of a Project in Sales Invoice,عند تفعيل مربع الاختيار، سيتم جلب سجل الدوام عند تحديد مشروع في فاتورة المبيعات.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/projects_settings/projects_settings.json:None
Expected End Date should be less than or equal to parent task's Expected End Date {0}.,يجب ألا يتجاوز تاريخ الانتهاء المتوقع تاريخ الانتهاء المتوقع للمهمة الرئيسية {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:114
Fetch Timesheet in Sales Invoice,جلب جدول الساعات في فاتورة المبيعات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/projects_settings/projects_settings.json:None
"For project {0}, update your status",حدّث حالة المشروع {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.js:208
Gross Margin %,نسبة هامش الربح,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
Hide timesheets,إخفاء جداول الساعات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project_user/project_user.json:None
Include Timesheets in Draft Status,تضمين جداول الساعات بحالة المسودة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/timesheet_billing_summary/timesheet_billing_summary.js:52
Is Template,قالب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Learn Project Management,تعلّم إدارة المشاريع,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/workspace/projects/projects.json:None
Non Completed Tasks,المهام غير المكتملة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/workspace/projects/projects.json:None
On Track,على المسار,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/delayed_tasks_summary/delayed_tasks_summary.py:84
Overdue Tasks,مهام متأخرة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/project_summary/project_summary.py:142
Parent Task {0} is not a Template Task,المهمة الرئيسية {0} ليست مهمة قالب.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:168
Parent Task {0} must be a Group Task,يجب أن تكون المهمة الرئيسية {0} مهمة تجميعية.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:191
Please set a default Holiday List for Company {0},يُرجى تعيين قائمة العطلات الافتراضية للشركة {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.py:731
Progress % for a task cannot be more than 100.,,DEFERRED-format-ambiguity,Defer this row: the source's literal `% for` is ambiguous to the legacy printf-placeholder gate. Do not release it until its formatter/source contract is resolved separately.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:154
Progress (%),التقدم (%),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/delayed_tasks_summary/delayed_tasks_summary.py:116
Resume Timer,استئناف المؤقت,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.js:65
Row {0}: Project must be same as the one set in the Timesheet: {1}.,الصف {0}: يجب أن يكون المشروع مطابقًا للمشروع المحدد في سجل الدوام: {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet_detail/timesheet_detail.py:114
Row {0}: Task {1} does not belong to Project {2},الصف {0}: المهمة {1} لا تتبع المشروع {2}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet_detail/timesheet_detail.py:125
Set Project Status,تعيين حالة المشروع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.js:149; erpnext/projects/doctype/project/project.js:157; erpnext/projects/doctype/project/project.js:171
Start Timer,بدء المؤقت,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.js:62
Task Weight,وزن المهمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
Task {0} depends on Task {1}. Please add Task {1} to the Tasks list.,تعتمد المهمة {0} على المهمة {1}. يُرجى إضافة المهمة {1} إلى قائمة المهام.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project_template/project_template.py:41
Template Task,مهمة قالب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.json:None
Timesheet Billing Summary,ملخص فوترة جدول الساعات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/report/timesheet_billing_summary/timesheet_billing_summary.json:None; erpnext/projects/workspace/projects/projects.json:None
To Time cannot be before from date,لا يمكن أن يكون وقت إلى قبل تاريخ من,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet_detail/timesheet_detail.py:108
Total Billed Hours,إجمالي الساعات المفوترة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet/timesheet.json:None
Total hours: {0},إجمالي الساعات: {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project_dashboard.html:2
Update Costing and Billing,تحديث التكلفة والفوترة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.js:91
Updating Costing and Billing fields against this Project...,جار تحديث حقول التكلفة والفوترة لهذا المشروع...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.js:137
Warning - Row {0}: Billing Hours are more than Actual Hours,تحذير - الصف {0}: ساعات الفوترة أكثر من الساعات الفعلية.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/timesheet_detail/timesheet_detail.py:134
Weekly Time to send,وقت الإرسال الأسبوعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.json:None
You have been invited to collaborate on the project {0}.,لقد دُعيت للمشاركة في المشروع {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project.py:363
hours,ساعات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project_dashboard.html:13
{0} hours,{0} ساعات,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/project/project_dashboard.html:15
{0}'s {1} cannot be after {2}'s Expected End Date.,لا يمكن أن يكون {1} الخاص بـ {0} بعد تاريخ الانتهاء المتوقع لـ {2}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/projects/doctype/task/task.py:130
% Produced,نسبة المنتج,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
% Raw Material Received,نسبة المواد الخام المستلمة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
% Raw Material Returned,نسبة المواد الخام المرتجعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
Accounting Entry for Landed Cost Voucher for SCR {0},قيد محاسبي لسند تكاليف الوصول لإيصال استلام مقاولات باطن SCR {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:873
Active Subcontracted Items,الأصناف المنفذة من الباطن النشطة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/workspace/subcontracting/subcontracting.json:None
Add Serial / Batch Bundle,إضافة مجموعة تسلسل/دفعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt_item/subcontracting_receipt_item.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_supplied_item/subcontracting_receipt_supplied_item.json:None
Additional {0} {1} of item {2} required as per BOM to complete this transaction,يلزم توفير كمية إضافية قدرها {0} {1} من الصنف {2} وفقًا لقائمة المواد لإكمال هذه المعاملة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:590
Atleast one raw material for Finished Good Item {0} should be customer provided.,يجب أن تكون مادة خام واحدة على الأقل للصنف النهائي {0} مقدمة من العميل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.py:225
Company Shipping Address,عنوان شحن الشركة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Creating Subcontracting Receipt ...,جارٍ إنشاء إيصال استلام مقاولات باطن ...,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:583
Customer Currency,عملة العميل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
Customer Warehouse,مستودع العميل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
Customer Warehouse {0} does not belong to Customer {1}.,مستودع العميل {0} لا يتبع العميل {1}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.py:145
Distribute Additional Costs Based On ,,DEFERRED-runtime-key-normalization,"Defer this edge-padded DocType label: the runtime importer strips source edge whitespace, so the exact scoped key cannot bind without normalization.",stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Finished Good BOM,قائمة مواد المنتج النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.json:None
Finished Good Item Quantity,كمية صنف المنتج النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order_service_item/subcontracting_inward_order_service_item.json:None; erpnext/subcontracting/doctype/subcontracting_order_service_item/subcontracting_order_service_item.json:None
Finished Good UOM,وحدة قياس المنتج النهائي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.json:None
Finished Good {0} does not have a default BOM.,لا توجد قائمة مواد افتراضية للصنف النهائي {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.py:51
Finished Good {0} is disabled.,الصنف النهائي {0} معطّل.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.py:46
Finished Good {0} must be a stock item.,يجب أن يكون الصنف النهائي {0} صنفًا مخزنيًا.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.py:48
Finished Good {0} must be a sub-contracted item.,يجب أن يكون الصنف النهائي {0} بندًا منفذًا من الباطن.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_bom/subcontracting_bom.py:55
Finished Goods Return,مرتجع المنتجات النهائية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.js:165
Get Scrap Items,جلب أصناف الهالك,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Getting Scrap Items,جارٍ جلب أصناف الخردة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.js:194
Job Worker,منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Job Worker Address,عنوان منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Job Worker Address Details,تفاصيل عنوان منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Job Worker Contact,جهة اتصال منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Job Worker Currency,عملة منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Job Worker Delivery Note,إذن تسليم منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Job Worker Name,اسم منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Job Worker Warehouse,مستودع منفذ العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.json:None
Mapping Subcontracting Inward Order ...,جارٍ ربط أمر استلام مقاولات باطن ...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.js:106
Mapping Subcontracting Order ...,جارٍ ربط أمر مقاولات باطن ...,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.js:153
Material from Customer,مواد من العميل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.js:151
Ongoing,جار,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.json:None
Partial Material Transferred,مواد منقولة جزئيا,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.json:None
Please select Finished Good Item for Service Item {0},يُرجى تحديد الصنف النهائي للصنف الخدمي {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_inward_order/subcontracting_inward_order.py:210; erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.py:314
Please select a Subcontracting Purchase Order.,يُرجى تحديد أمر شراء مقاول باطن.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.py:163
Please select a valid Purchase Order that has Service Items.,يُرجى تحديد أمر شراء صالح يتضمن أصنافًا خدمية.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.py:152
Please select a valid Purchase Order that is configured for Subcontracting.,يُرجى تحديد أمر شراء صالح مُعدّ لمقاولات الباطن.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order/subcontracting_order.py:149
Purchase Order Item reference is missing in Subcontracting Receipt {0},مرجع بند أمر الشراء غير موجود في إيصال استلام مقاولات باطن {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:975
Purchase Receipt {0} created.,تم إنشاء سند استلام الشراء {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.py:1052
Raw Material Cost Per Qty,تكلفة المادة الخام لكل كمية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-4 Projects + BOQ owner-approved 2026-09-24,erpnext/subcontracting/doctype/subcontracting_order_item/subcontracting_order_item.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_item/subcontracting_receipt_item.json:None
