source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Make Return Entry,إنشاء قيد مرتجع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/purchase_receipt/purchase_receipt.js:327; erpnext/subcontracting/doctype/subcontracting_receipt/subcontracting_receipt.js:127
Make {0} Variant,إنشاء متغير للصنف {0},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.js:692
Make {0} Variants,إنشاء متغيرات للصنف {0},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.js:694
Mandatory Section,قسم إلزامي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None
Manual Inspection,فحص يدوي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/quality_inspection/quality_inspection.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
Manufacturers used in Items,الشركات المصنّعة المرتبطة بالأصناف,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/manufacturer/manufacturer.json:None
Manufacturing Time,وقت التصنيع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
Material Returned from WIP,مواد مرتجعة من تحت التشغيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry_list.js:13
Material Transfer (In Transit),نقل مواد (قيد العبور),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/material_request/material_request.js:160
Max Discount (%),أقصى خصم (%),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None
Maximum Net Rate,أقصى سعر صافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_tax/item_tax.json:None
Maximum Value,القيمة القصوى,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
"Min Value: {0}, Max Value: {1}, in Increments of: {2}",الحد الأدنى: {0}، الحد الأقصى: {1}، بخطوات قدرها: {2},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.js:846
Minimum Net Rate,أدنى سعر صافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_tax/item_tax.json:None
Missing,مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:1435
Missing Filters,عوامل تصفية مفقودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/serial_no_and_batch_traceability/serial_no_and_batch_traceability.py:44
Missing Finished Good,منتج نهائي مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1604
Missing Formula,صيغة مفقودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/quality_inspection/quality_inspection.py:304
Missing Item,صنف مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:942
Multiple Warehouse Accounts,حسابات مستودعات متعددة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/warehouse/warehouse.py:152
Multiple items cannot be marked as finished item,لا يمكن تحديد عدة أصناف كمنتج نهائي,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1611
Naming Series is mandatory,سلسلة التسمية إلزامية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/serial_and_batch_bundle/serial_and_batch_bundle.py:94
Negative Stock Error,خطأ مخزون سالب,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/serial_batch_bundle.py:1509
No Stock Available Currently,لا يوجد مخزون متاح حاليا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/dashboard/item_dashboard.js:154
No additional fields available,لا توجد حقول إضافية متاحة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_variant_settings/item_variant_settings.js:46
No available quantity to reserve for item {0} in warehouse {1},لا توجد كمية متاحة لحجزها للصنف {0} في المستودع {1},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1360
No of Months (Expense),عدد الأشهر (المصروف),PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None
No of Months (Revenue),عدد الأشهر (الإيراد),PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None
No of Parallel Reposting (Per Item),عدد عمليات إعادة الترحيل المتوازية (لكل صنف),PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None
No of Shift,عدد الورديات,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
No of Units Produced,عدد الوحدات المنتجة,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
No of Workstations,عدد محطات العمل,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
No stock ledger entries were created. Please set the quantity or valuation rate for the items properly and try again.,لم تُنشأ قيود في دفتر الأستاذ المخزني. يُرجى ضبط كمية الأصناف أو سعر تقييمها بشكل صحيح ثم المحاولة مجددًا.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py:786
No stock transactions can be created or modified before this date.,لا يمكن إنشاء معاملات المخزون أو تعديلها قبل هذا التاريخ.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_settings/stock_settings.json:None
"Note: To merge the items, create a separate Stock Reconciliation for the old item {0}",ملاحظة: لدمج الأصناف، أنشئ تسوية مخزون منفصلة للصنف القديم {0},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.py:626
Notify Reposting Error to Role,إشعار الدور بخطأ إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reposting_settings/stock_reposting_settings.json:None
Numeric,رقمي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
Numeric Inspection,فحص رقمي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
On This Date,في هذا التاريخ,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/available_batch_report/available_batch_report.js:16
Only one {0} entry can be created against the Work Order {1},يمكن إنشاء قيد واحد فقط من النوع {0} مقابل أمر العمل {1},PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_entry/stock_entry.py:1166
Only to be used for Subcontracting Inward.,للاستخدام في استلام مقاولات الباطن فقط.,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/warehouse/warehouse.json:None
Open Sales Orders,أوامر البيع المفتوحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/report/item_variant_details/item_variant_details.py:110
Over Billing Allowance exceeded for Purchase Receipt Item {0} ({1}) by {2}%,تم تجاوز سماحية الفوترة لصنف سند استلام الشراء {0} ({1}) بنسبة {2}%,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/purchase_receipt/purchase_receipt.py:1286
Over Delivery/Receipt Allowance (%),نسبة سماحية زيادة التسليم/الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item/item.json:None; erpnext/stock/doctype/stock_settings/stock_settings.json:None
Over Picking Allowance,سماحية الانتقاء الزائد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Over Transfer Allowance,سماحية النقل الزائد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_settings/stock_settings.json:None
PZN,,EXCEPTION-technical,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_barcode/item_barcode.json:None
Package No(s) already in use. Try from Package No {0},رقم/أرقام الطرود مستخدمة بالفعل. جرب من رقم الطرد {0},preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/packing_slip/packing_slip.py:116
Packaging Slip From Delivery Note,قسيمة تعبئة من إذن التسليم,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/delivery_note/delivery_note_list.js:71
Packed Qty,الكمية المعبأة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/delivery_note_item/delivery_note_item.json:None; erpnext/stock/doctype/packed_item/packed_item.json:None
Pallets,منصات التحميل,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Parameter Group,مجموعة المعايير,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_parameter/quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None
Parameter Group Name,اسم مجموعة المعايير,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/quality_inspection_parameter_group/quality_inspection_parameter_group.json:None
Parcel Template,قالب الطرد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Parcel Template Name,اسم قالب الطرد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment_parcel_template/shipment_parcel_template.json:None
Parcel weight cannot be 0,لا يمكن أن يكون وزن الطرد 0,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.py:96
Parcels,الطرود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Partial Stock Reservation,حجز مخزون جزئي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.py:1723
Partially Delivered,مسلم جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None
Partially Reserved,محجوز جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None
Partially Used,مستخدم جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_reservation_entry/stock_reservation_entry.json:None
Pending processing,بانتظار المعالجة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:248
Per Day,يوميًا,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
Per Unit Time in Mins,الوقت لكل وحدة بالدقائق,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None
Pick List Incomplete,قائمة الانتقاء غير مكتملة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/pick_list/pick_list.py:231
Pick Manually,انتقاء يدويا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/pick_list/pick_list.json:None
Pick Serial / Batch Based On,انتقاء التسلسل/الدفعة بناء على,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/stock_settings/stock_settings.json:None
Pickup,استلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Pickup Contact Person,شخص اتصال الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Pickup Date,تاريخ الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
Pickup Date cannot be before this day,لا يمكن أن يسبق تاريخ الاستلام هذا اليوم,PROPOSED-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.js:398
Pickup From,الاستلام من,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,erpnext/stock/doctype/shipment/shipment.json:None
