source_text,proposed_ar,proposed_disposition,disposition_rationale,decision_ref,locations
Actual Qty {0} / Waiting Qty {1},الكمية الفعلية {0} / كمية الانتظار {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/stock_summary_template.html:37; erpnext/stock/dashboard/item_dashboard_list.html:28
Actual Qty: Quantity available in the warehouse.,الكمية الفعلية: الكمية المتوفرة في المستودع.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:179
Actual Time,الوقت الفعلي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.json:None
Ad-hoc Qty,كمية خاصة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.py:1005
Add Corrective Operation Cost in Finished Good Valuation,إضافة تكلفة العملية التصحيحية في تقييم المنتج التام الصنع,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Add Raw Materials,إضافة المواد الخام,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.js:990; erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Add Safety Stock,إضافة مخزون أمان,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:82
Add Stock,إضافة مخزون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:200
Additional Material Transfer,نقل مواد إضافية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:787
Additional Transferred Qty,الكمية الإضافية المنقولة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
Adjust Qty,تعديل الكمية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast_item/sales_forecast_item.json:None
All items are already requested,تم طلب جميع الأصناف بالفعل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:946
Allow Continuous Material Consumption,السماح بالاستهلاك المستمر للمواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Allow Editing of Items and Quantities in Work Order,السماح بتعديل الأصناف والكميات في أمر العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Allow Excess Material Transfer,السماح بنقل مواد زائدة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Allow material consumptions without immediately manufacturing finished goods against a Work Order,السماح باستهلاك المواد دون تصنيع المنتجات تامة الصنع فورًا مقابل أمر العمل,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
Allow transferring raw materials even after the Required Quantity is fulfilled,السماح بنقل المواد الخام حتى بعد استيفاء الكمية المطلوبة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.",نظرًا لوجود عدد كافٍ من عناصر التجميع الفرعي، فإن أمر العمل غير مطلوب للمستودع {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.py:1066
Assembly Items,أصناف التجميع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Assign Job to Employee,إسناد العمل إلى موظف,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:232
At row {0}: Parent Row No cannot be set for item {1},في الصف {0}: لا يمكن تحديد رقم الصف الأصل للصنف {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:95
At row {0}: set Parent Row No for item {1},في الصف {0}: حدد رقم الصف الأصل للصنف {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:89
BIN Qty,كمية الحاوية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/material_request_plan_item/material_request_plan_item.json:None
BOM 1,قائمة المواد 1,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:21
BOM 2,قائمة المواد 2,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:38
BOM Created,تم إنشاء قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
BOM Creator,منشئ قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None; erpnext/manufacturing/workspace/manufacturing/manufacturing.json:None
BOM Creator Item,عنصر منشئ قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
BOM Explorer,مستكشف قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/bom_explorer/bom_explorer.json:None
BOM Level,مستوى قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/bom_explorer/bom_explorer.py:71; erpnext/manufacturing/report/production_plan_summary/production_plan_summary.py:174
BOM No (For Semi-Finished Goods),رقم قائمة المواد (للبضائع شبه المصنعة),PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order_operation/work_order_operation.json:None
BOM Tree,شجرة قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None
BOM UOM,وحدة قياس قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py:27
BOM Update Batch,دفعة تحديث قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_batch/bom_update_batch.json:None
BOM Update Initiated,بدأ تحديث قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js:84
BOM Update Log,سجل تحديث قائمة المواد,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.json:None
BOM Update Tool Log with job status maintained,سجل أداة تحديث قائمة المواد مع الحفاظ على حالة المهمة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.json:None
BOM Updation already in progress. Please wait until {0} is complete.,تحديث قائمة المواد قيد التنفيذ بالفعل. يرجى الانتظار حتى يكتمل {0}.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.py:99
BOM Updation is queued and may take a few minutes. Check {0} for progress.,تم وضع تحديث قائمة المواد في قائمة الانتظار وقد يستغرق بضع دقائق. تحقق من {0} لمتابعة التقدم.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js:81
BOM and Production,قائمة المواد والإنتاج,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/manufacturing_settings/manufacturing_settings.json:None
BOM recursion: {1} cannot be parent or child of {0},تداخل دائري في قائمة المواد: لا يمكن أن يكون {1} أصلاً أو فرعاً لـ {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:700
BOM {0} not found for the item {1},قائمة المواد {0} غير موجودة للصنف {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.py:788
BOMs Updated,تم تحديث قوائم المواد,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_batch/bom_update_batch.json:None
BOMs created successfully,تم إنشاء قوائم المواد بنجاح,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:274
BOMs creation failed,فشل إنشاء قوائم المواد,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:284
"BOMs creation has been enqueued, kindly check the status after some time",تم وضع إنشاء قوائم المواد في قائمة الانتظار، يرجى التحقق من الحالة بعد فترة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.py:224
Backflush Materials From WIP Warehouse,سحب المواد تلقائيا من مستودع تحت التشغيل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None; erpnext/manufacturing/doctype/job_card/job_card.json:None; erpnext/manufacturing/doctype/work_order/work_order.js:368; erpnext/manufacturing/doctype/work_order_operation/work_order_operation.json:None
Base Amount,المبلغ الأساسي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Base Cost Per Unit,التكلفة الأساسية لكل وحدة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Base Rate,السعر الأساسي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator_item/bom_creator_item.json:None
Batch No.,رقم الدفعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_batch/bom_update_batch.json:None
Batch not created for item {} since it does not have a batch series.,لم يتم إنشاء تشغيلة للصنف {} لأنه لا يحتوي على سلسلة تشغيلات.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:880
Bucket Size,حجم الفئة,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/material_requirements_planning_report/material_requirements_planning_report.js:101
Build All?,إنشاء الكل؟,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:162
Buildable Qty,الكمية القابلة للتصنيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/work_order_stock_report/work_order_stock_report.py:155
Can not close Work Order. Since {0} Job Cards are in Work In Progress state.,لا يمكن إغلاق أمر العمل. نظرًا لأن بطاقات العمل {0} في حالة قيد التنفيذ.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:2454
Cannot disassemble more than produced quantity.,لا يمكن تفكيك كمية أكبر من الكمية المنتجة.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:677
Cannot produce more item for {0},لا يمكن إنتاج المزيد من الصنف لـ {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:1420
Cannot produce more than {0} items for {1},لا يمكن إنتاج أكثر من {0} عناصر لـ {1},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:1424
Changes in {0},التغييرات في {0},preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js:155
Click on Get Sales Orders to fetch sales orders based on the above filters.,انقر فوق جلب أوامر البيع لجلب أوامر البيع بناءً على عوامل التصفية أعلاه.,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.js:714
Closed Work Order can not be stopped or Re-opened,لا يمكن إيقاف أمر عمل مغلق أو إعادة فتحه,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:2377
Complete Job,إكمال العمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:269; erpnext/manufacturing/doctype/workstation/workstation.js:151
Completed Time,الوقت المكتمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card_operation/job_card_operation.json:None
Component Expense Account,حساب مصروف المكون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation_operating_component/workstation_operating_component.json:None
Component Name,اسم المكون,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/workstation_operating_component/workstation_operating_component.json:None
Consider Minimum Order Qty,احتساب الحد الأدنى لكمية الطلب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Consider Process Loss,احتساب خسارة العملية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.js:993
Consider Projected Qty in Calculation,احتساب الكمية المتوقعة في الحساب,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Consider Projected Qty in Calculation (RM),احتساب الكمية المتوقعة في الحساب (مواد خام),preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Consolidate Sales Order Items,تجميع أصناف أمر البيع,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Consolidate Sub Assembly Items,تجميع أصناف التجميع الفرعي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/production_plan/production_plan.json:None
Consumed Qty cannot be greater than Reserved Qty for item {0},لا يمكن أن تكون الكمية المستهلكة أكبر من الكمية المحجوزة للصنف {0},PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.py:1712
Corrective Job Card,بطاقة عمل تصحيحية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:495
Corrective Operation,عملية تصحيحية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/job_card/job_card.js:502; erpnext/manufacturing/doctype/job_card/job_card.json:None
Corrective Operation Cost,تكلفة العملية التصحيحية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/work_order/work_order.json:None
Cost Configuration,تهيئة التكلفة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None
Cost Per Unit,التكلفة لكل وحدة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None
Cost of Poor Quality Report,تقرير تكلفة الجودة الرديئة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/report/cost_of_poor_quality_report/cost_of_poor_quality_report.json:None
Costing,احتساب التكلفة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom/bom.json:None; erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None; erpnext/manufacturing/doctype/bom_operation/bom_operation.json:None; erpnext/projects/doctype/task/task.json:None
Costing Details,تفاصيل احتساب التكلفة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.json:None
Create Job Card based on Batch Size,إنشاء بطاقة عمل حسب حجم الدفعة,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/operation/operation.json:None
Create MPS,إنشاء خطة الإنتاج الرئيسية,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/sales_forecast/sales_forecast.js:41
Create Multi-level BOM,إنشاء قائمة مواد متعددة المستويات,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_creator/bom_creator.js:164
Create Workstation,إنشاء محطة عمل,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/plant_floor/plant_floor.js:10
Current Level,المستوى الحالي,preserved-site-override,Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/bom_update_log/bom_update_log.json:None
Delivery From Date,تاريخ التسليم من,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:119
Delivery To Date,تاريخ التسليم إلى,PROPOSED-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-6 Manufacturing Batch 01 owner-approved 2026-09-24,erpnext/manufacturing/doctype/master_production_schedule/master_production_schedule.js:125
