source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Inventory Settings,إعدادات المخزون,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Additional Transfer Entry,قيد نقل إضافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Adjustment Entry,قيد تسوية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Finished Item,صنف نهائي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Group Warehouse,مستودع مجموعة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Outward,صادر,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Packed,معبأ,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Rejected,مرفوض,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Rejected Warehouse,مستودع مرفوضات,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Scrap Item,صنف هالك,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Is Subcontracted Item,بند منفذ من الباطن,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
It can take upto few hours for accurate stock values to be visible after merging items.,قد يستغرق ظهور قيم المخزون الدقيقة بضع ساعات بعد دمج الأصناف.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item Information,معلومات الصنف,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.",قد يظهر سعر الصنف عدة مرات بحسب قائمة الأسعار والمورد/العميل والعملة والصنف والدفعة ووحدة القياس والكمية والتواريخ.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item Warehouse based reposting has been enabled.,تم تفعيل إعادة الترحيل بحسب الصنف والمستودع.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},تم تحديث سعر تقييم الصنف إلى صفر لأن خيار السماح بسعر تقييم صفري محدد للصنف {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item valuation rate is recalculated considering landed cost voucher amount,أُعيد احتساب سعر تقييم الصنف مع مراعاة مبلغ سند تكاليف الوصول,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item valuation reposting in progress. Report might show incorrect item valuation.,جارٍ إعادة ترحيل تقييم الصنف. قد يعرض التقرير تقييمًا غير صحيح للصنف.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item {0} is already reserved/delivered against Sales Order {1}.,الصنف {0} محجوز أو تم تسليمه بالفعل مقابل أمر البيع {1}.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item {0} must be a Non-Stock Item,يجب أن يكون الصنف {0} غير مخزني,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},لم يتم العثور على الصنف {0} في جدول 'المواد الخام الموردة' ضمن {1} {2},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item {0} not found.,لم يتم العثور على الصنف {0}.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item {} does not exist.,الصنف {} غير موجود.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Item/Item Code required to get Item Tax Template.,يلزم تحديد الصنف/رمز الصنف للحصول على قالب ضريبة الصنف.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Items Catalogue,كتالوج الأصناف,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Items rate has been updated to zero as Allow Zero Valuation Rate is checked for the following items: {0},تم تحديث أسعار تقييم الأصناف التالية إلى صفر لأن خيار السماح بسعر تقييم صفري محدد لها: {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Items to Be Repost,الأصناف المطلوب إعادة ترحيلها,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
JAN,,EXCEPTION-technical,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Landed Cost,التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Landed Cost Id,معرف التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Landed Cost Report,تقرير التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Landed Cost Vendor Invoice,فاتورة مورد التكلفة الإضافية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Last Name, Email or Phone/Mobile of the user are mandatory to continue.",يلزم إدخال اسم العائلة والبريد الإلكتروني أو رقم الهاتف/الجوال للمستخدم للمتابعة.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Learn Inventory Management,تعلّم إدارة المخزون,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Length (cm),الطول (سم),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Limit timeslot for Stock Reposting,حدّد الفترة الزمنية لإعادة ترحيل المخزون,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Limits don't apply on,لا تنطبق الحدود على,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Linked with submitted documents,مرتبط بمستندات مُقدَّمة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Locked,مقفل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Log the selling and buying rate of an Item,سجّل سعر بيع وشراء الصنف,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Make Lead Time,إنشاء مدة التوريد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Make Return Entry,إنشاء قيد مرتجع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Make {0} Variant,إنشاء متغير للصنف {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Make {0} Variants,إنشاء متغيرات للصنف {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Mandatory Section,قسم إلزامي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Manual Inspection,فحص يدوي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Manufacturers used in Items,الشركات المصنّعة المرتبطة بالأصناف,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Manufacturing Time,وقت التصنيع,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Material Returned from WIP,مواد مرتجعة من تحت التشغيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Material Transfer (In Transit),نقل مواد (قيد العبور),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Max Discount (%),أقصى خصم (%),preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Maximum Net Rate,أقصى سعر صافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Maximum Value,القيمة القصوى,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Min Value: {0}, Max Value: {1}, in Increments of: {2}",الحد الأدنى: {0}، الحد الأقصى: {1}، بخطوات قدرها: {2},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Minimum Net Rate,أدنى سعر صافي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Missing,مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Missing Filters,عوامل تصفية مفقودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Missing Finished Good,منتج نهائي مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Missing Formula,صيغة مفقودة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Missing Item,صنف مفقود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Multiple Warehouse Accounts,حسابات مستودعات متعددة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Multiple items cannot be marked as finished item,لا يمكن تحديد عدة أصناف كمنتج نهائي,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Naming Series is mandatory,سلسلة التسمية إلزامية,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Negative Stock Error,خطأ مخزون سالب,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No Stock Available Currently,لا يوجد مخزون متاح حاليا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No additional fields available,لا توجد حقول إضافية متاحة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No available quantity to reserve for item {0} in warehouse {1},لا توجد كمية متاحة لحجزها للصنف {0} في المستودع {1},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Months (Expense),عدد الأشهر (المصروف),quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Months (Revenue),عدد الأشهر (الإيراد),quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Parallel Reposting (Per Item),عدد عمليات إعادة الترحيل المتوازية (لكل صنف),quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Shift,عدد الورديات,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Units Produced,عدد الوحدات المنتجة,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No of Workstations,عدد محطات العمل,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No stock ledger entries were created. Please set the quantity or valuation rate for the items properly and try again.,لم تُنشأ قيود في دفتر الأستاذ المخزني. يُرجى ضبط كمية الأصناف أو سعر تقييمها بشكل صحيح ثم المحاولة مجددًا.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
No stock transactions can be created or modified before this date.,لا يمكن إنشاء معاملات المخزون أو تعديلها قبل هذا التاريخ.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
"Note: To merge the items, create a separate Stock Reconciliation for the old item {0}",ملاحظة: لدمج الأصناف، أنشئ تسوية مخزون منفصلة للصنف القديم {0},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Notify Reposting Error to Role,إشعار الدور بخطأ إعادة الترحيل,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Numeric,رقمي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Numeric Inspection,فحص رقمي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
On This Date,في هذا التاريخ,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Only one {0} entry can be created against the Work Order {1},يمكن إنشاء قيد واحد فقط من النوع {0} مقابل أمر العمل {1},quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Only to be used for Subcontracting Inward.,للاستخدام في استلام مقاولات الباطن فقط.,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Open Sales Orders,أوامر البيع المفتوحة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Over Billing Allowance exceeded for Purchase Receipt Item {0} ({1}) by {2}%,تم تجاوز سماحية الفوترة لصنف سند استلام الشراء {0} ({1}) بنسبة {2}%,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Over Delivery/Receipt Allowance (%),نسبة سماحية زيادة التسليم/الاستلام,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Over Picking Allowance,سماحية الانتقاء الزائد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Over Transfer Allowance,سماحية النقل الزائد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
PZN,,EXCEPTION-technical,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Package No(s) already in use. Try from Package No {0},رقم/أرقام الطرود مستخدمة بالفعل. جرب من رقم الطرد {0},preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Packaging Slip From Delivery Note,قسيمة تعبئة من إذن التسليم,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Packed Qty,الكمية المعبأة,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Pallets,منصات التحميل,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parameter Group,مجموعة المعايير,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parameter Group Name,اسم مجموعة المعايير,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parcel Template,قالب الطرد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parcel Template Name,اسم قالب الطرد,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parcel weight cannot be 0,لا يمكن أن يكون وزن الطرد 0,quorum-confirmed-payload,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Parcels,الطرود,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Partial Stock Reservation,حجز مخزون جزئي,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Partially Delivered,مسلم جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Partially Reserved,محجوز جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
Partially Used,مستخدم جزئيا,preserved-site-override,,stage6-W6-3 batch-02 owner-approved 2026-09-23,aaac0e04b364f63e55dcfbd59bd72a19156952523f500226cb919aa387a8349e
