app,msgid,msgstr,context,locations,comments,skip,review_notes
erpnext,Advance Voucher No,رقم سند الدفعة المقدمة,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None; erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None,Label of the advance_voucher_no (Dynamic Link) field in DocType 'Journal | Entry Account' | Label of the advance_voucher_no (Dynamic Link) field in DocType 'Payment | Entry Reference',,reviewed_glossary
erpnext,Advance Voucher Type,نوع سند الدفعة المقدمة,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None; erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None,Label of the advance_voucher_type (Link) field in DocType 'Journal Entry | Account' | Label of the advance_voucher_type (Link) field in DocType 'Payment Entry | Reference',,reviewed_glossary
erpnext,Advance paid against {0} {1} cannot be greater than Grand Total {2},,,erpnext/accounts/doctype/journal_entry/journal_entry.py:845,,,
erpnext,Against Voucher No,مقابل رقم السند,,erpnext/accounts/doctype/advance_payment_ledger_entry/advance_payment_ledger_entry.json:None; erpnext/accounts/doctype/payment_ledger_entry/payment_ledger_entry.json:None; erpnext/accounts/report/general_ledger/general_ledger.js:57; erpnext/accounts/report/payment_ledger/payment_ledger.js:71; erpnext/accounts/report/payment_ledger/payment_ledger.py:192,Label of the against_voucher_no (Dynamic Link) field in DocType 'Advance | Payment Ledger Entry' | Label of the against_voucher_no (Dynamic Link) field in DocType 'Payment | Ledger Entry',,reviewed_glossary
erpnext,Ageing Report based on {0} up to {1},,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.html:104; erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:352,,,
erpnext,All Parties ,كل الجهات,,erpnext/accounts/report/general_ledger/general_ledger.html:68,,,reviewed_glossary
erpnext,Allocate Payment Request,تخصيص طلب الدفع,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1711,,,reviewed_glossary
erpnext,Amount in {0},,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:74,,,
erpnext,Apply Tax Withholding Amount ,تطبيق مبلغ ضريبة الخصم,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the apply_tds (Check) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Asset Disposal,استبعاد الأصل,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Option for the 'Entry Type' (Select) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Bank Account No,رقم الحساب البنكي,,erpnext/accounts/doctype/bank_account/bank_account.json:None; erpnext/accounts/doctype/bank_guarantee/bank_guarantee.json:None; erpnext/accounts/doctype/payment_entry/payment_entry.json:None; erpnext/accounts/doctype/payment_request/payment_request.json:None,Label of the bank_account_no (Data) field in DocType 'Bank Account' | Label of the bank_account_no (Data) field in DocType 'Bank Guarantee' | Label of the bank_account_no (Read Only) field in DocType 'Payment Entry' | Label of the bank_account_no (Read Only) field in DocType 'Payment Request',,reviewed_glossary
erpnext,Book Advance Payments as Liability option is chosen. Paid From account changed from {0} to {1}.,تم اختيار تسجيل الدفعات المقدمة كالتزام. تم تغيير حساب الدفع من {0} إلى {1}.,,erpnext/accounts/doctype/payment_entry/payment_entry.py:282,,,reviewed_glossary
erpnext,Book Advance Payments in Separate Party Account,تسجيل الدفعات المقدمة في حساب جهة منفصل,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None; erpnext/setup/doctype/company/company.json:None,Label of the book_advance_payments_in_separate_party_account (Check) field | in DocType 'Payment Entry' | in DocType 'Company',,reviewed_glossary
erpnext,Books have been closed till the period ending on {0},تم إغلاق الدفاتر حتى الفترة المنتهية في {0},,erpnext/accounts/general_ledger.py:811,,,reviewed_glossary
erpnext,Calculate Ageing With,حساب التقادم حسب,,erpnext/accounts/report/accounts_payable/accounts_payable.js:62; erpnext/accounts/report/accounts_payable_summary/accounts_payable_summary.js:28; erpnext/accounts/report/accounts_receivable/accounts_receivable.js:91; erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.js:28,,,reviewed_glossary
erpnext,"Can not filter based on Child Account, if grouped by Account",,,erpnext/accounts/report/general_ledger/general_ledger.py:80,,,
erpnext,Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1493; erpnext/controllers/accounts_controller.py:3172; erpnext/public/js/controllers/accounts.js:103,,,
erpnext,Cannot apply TDS against multiple parties in one entry,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:1327,,,
erpnext,Cannot create accounting entries against disabled accounts: {0},,,erpnext/accounts/general_ledger.py:148,,,
erpnext,Cannot delete Exchange Gain/Loss row,,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1808,,,
erpnext,Cannot receive from customer against negative outstanding,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:353,,,
erpnext,Cannot {0} from {1} without any negative outstanding invoice,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:1999,,,
erpnext,Categorize by,تصنيف حسب,,erpnext/accounts/report/general_ledger/general_ledger.js:116; erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.js:80,,,reviewed_glossary
erpnext,Categorize by Account,تصنيف حسب الحساب,,erpnext/accounts/report/general_ledger/general_ledger.js:129,,,reviewed_glossary
erpnext,Categorize by Party,تصنيف حسب الجهة,,erpnext/accounts/report/general_ledger/general_ledger.js:133,,,reviewed_glossary
erpnext,Categorize by Voucher,تصنيف حسب السند,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/general_ledger/general_ledger.js:121,Option for the 'Categorize By' (Select) field in DocType 'Process Statement | Of Accounts',,reviewed_glossary
erpnext,Categorize by Voucher (Consolidated),تصنيف حسب السند (مجمع),,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/general_ledger/general_ledger.js:125,Option for the 'Categorize By' (Select) field in DocType 'Process Statement | Of Accounts',,reviewed_glossary
erpnext,Charge of type 'Actual' in row {0} cannot be included in Item Rate or Paid Amount,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:2318; erpnext/controllers/accounts_controller.py:3240,,,
erpnext,Closing [Opening + Total] ,,,erpnext/accounts/report/general_ledger/general_ledger.html:141,,,
erpnext,Consolidated Trial Balance,ميزان المراجعة المجمع,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.json:None,Name of a report,,reviewed_glossary
erpnext,Consolidated Trial Balance can be generated for Companies having same root Company.,,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.py:71,,,
erpnext,Consolidated Trial balance could not be generated as Exchange Rate from {0} to {1} is not available for {2}.,,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.py:153,,,
erpnext,Credit (Transaction),الدائن (المعاملة),,erpnext/accounts/report/general_ledger/general_ledger.py:722,,,reviewed_glossary
erpnext,Customer Group: {0} does not exist,,,erpnext/accounts/report/accounts_receivable/accounts_receivable.py:1336,,,
erpnext,Debit (Transaction),المدين (المعاملة),,erpnext/accounts/report/general_ledger/general_ledger.py:715,,,reviewed_glossary
erpnext,Disabled Account Selected,تم تحديد حساب معطل,,erpnext/accounts/general_ledger.py:149,,,reviewed_glossary
erpnext,Discount of {} applied as per Payment Term,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:3419,,,
erpnext,Employee Advance,سلفة موظف,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None,Option for the 'Reference Type' (Select) field in DocType 'Journal Entry | Account',,reviewed_glossary
erpnext,Exchange Gain Or Loss,ربح أو خسارة الصرف,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Option for the 'Entry Type' (Select) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Exchange Rate,سعر الصرف,,erpnext/accounts/doctype/advance_payment_ledger_entry/advance_payment_ledger_entry.json:None; erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None; erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None; erpnext/accounts/doctype/payment_reconciliation_allocation/payment_reconciliation_allocation.json:None; erpnext/accounts/doctype/payment_reconciliation_invoice/payment_reconciliation_invoice.json:None; erpnext/accounts/doctype/payment_reconciliation_payment/payment_reconciliation_payment.json:None; erpnext/accounts/doctype/pegged_currency_details/pegged_currency_details.json:None; erpnext/accounts/doctype/pos_invoice/pos_invoice.json:None; erpnext/accounts/doctype/process_payment_reconciliation_log_allocations/process_payment_reconciliation_log_allocations.json:None; erpnext/accounts/doctype/purchase_invoice/purchase_invoice.json:None; erpnext/accounts/doctype/sales_invoice/sales_invoice.json:None; erpnext/buying/doctype/purchase_order/purchase_order.json:None; erpnext/buying/doctype/supplier_quotation/supplier_quotation.json:None; erpnext/crm/doctype/opportunity/opportunity.json:None; erpnext/projects/doctype/timesheet/timesheet.json:None; erpnext/selling/doctype/quotation/quotation.json:None; erpnext/selling/doctype/sales_order/sales_order.json:None; erpnext/setup/doctype/currency_exchange/currency_exchange.json:None; erpnext/stock/doctype/delivery_note/delivery_note.json:None; erpnext/stock/doctype/landed_cost_taxes_and_charges/landed_cost_taxes_and_charges.json:None; erpnext/stock/doctype/purchase_receipt/purchase_receipt.json:None,Label of the exchange_rate (Float) field in DocType 'Advance Payment Ledger | Entry' | Label of the exchange_rate (Float) field in DocType 'Journal Entry Account' | Label of the exchange_rate (Float) field in DocType 'Payment Entry | Reference' | Label of the exchange_rate (Float) field in DocType 'Payment Reconciliation | Allocation' | Invoice' | Payment' | Label of the pegged_exchange_rate (Data) field in DocType 'Pegged Currency | Details' | Label of the conversion_rate (Float) field in DocType 'POS Invoice' | Label of the exchange_rate (Float) field in DocType 'Process Payment | Reconciliation Log Allocations' | Label of the conversion_rate (Float) field in DocType 'Purchase Invoice' | Label of the conversion_rate (Float) field in DocType 'Sales Invoice' | Label of the conversion_rate (Float) field in DocType 'Purchase Order' | Label of the conversion_rate (Float) field in DocType 'Supplier Quotation' | Label of the conversion_rate (Float) field in DocType 'Opportunity' | Label of the exchange_rate (Float) field in DocType 'Timesheet' | Label of the conversion_rate (Float) field in DocType 'Quotation' | Label of the conversion_rate (Float) field in DocType 'Sales Order' | Label of the exchange_rate (Float) field in DocType 'Currency Exchange' | Label of the conversion_rate (Float) field in DocType 'Delivery Note' | Label of the exchange_rate (Float) field in DocType 'Landed Cost Taxes and | Charges' | Label of the conversion_rate (Float) field in DocType 'Purchase Receipt',,reviewed_glossary
erpnext,Expense Claim,مطالبة مصروف,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None,Option for the 'Reference Type' (Select) field in DocType 'Journal Entry | Account',,reviewed_glossary
erpnext,For All Stock Asset Accounts,,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the for_all_stock_asset_accounts (Check) field in DocType 'Journal | Entry',,
erpnext,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1528; erpnext/public/js/controllers/accounts.js:204,,,
erpnext,Foreign Currency Translation Reserve,,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.py:280; erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.py:281; erpnext/accounts/report/consolidated_trial_balance/test_consolidated_trial_balance.py:88,,,
erpnext,Full and Final Statement,بيان نهائي وشامل,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None,Option for the 'Reference Type' (Select) field in DocType 'Journal Entry | Account',,reviewed_glossary
erpnext,GL Balance,رصيد دفتر الأستاذ العام,,erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.py:170; erpnext/accounts/report/general_and_payment_ledger_comparison/general_and_payment_ledger_comparison.py:238,,,reviewed_glossary
erpnext,Get Balance,جلب الرصيد,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the get_balance_for_periodic_accounting (Button) field in DocType | 'Journal Entry',,reviewed_glossary
erpnext,Get Outstanding Orders,جلب الأوامر المستحقة,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the get_outstanding_orders (Button) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,If this is undesirable please cancel the corresponding Payment Entry.,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:740,,,
erpnext,Ignore Exchange Rate Revaluation and Gain / Loss Journals,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/general_ledger/general_ledger.js:217,Label of the ignore_exchange_rate_revaluation_journals (Check) field in | DocType 'Process Statement Of Accounts',,
erpnext,Ignore System Generated Credit / Debit Notes,,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/customer_ledger_summary/customer_ledger_summary.js:120; erpnext/accounts/report/general_ledger/general_ledger.js:222,Label of the ignore_cr_dr_notes (Check) field in DocType 'Process Statement | Of Accounts',,
erpnext,In Party Currency,بعملة الجهة,,erpnext/accounts/report/accounts_payable/accounts_payable.js:135; erpnext/accounts/report/accounts_receivable/accounts_receivable.js:167,,,reviewed_glossary
erpnext,Incorrect Payment Type,نوع دفع غير صحيح,,erpnext/accounts/doctype/payment_entry/payment_entry.py:354,,,reviewed_glossary
erpnext,Interest and/or dunning fee,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:3053,,,
erpnext,Invalid Allocated Amount,مبلغ مخصص غير صالح,,erpnext/accounts/doctype/payment_entry/payment_entry.py:394; erpnext/accounts/doctype/payment_request/payment_request.py:873,,,reviewed_glossary
erpnext,Invalid Purchase Invoice,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:701,,,
erpnext,Invalid value {0} for {1} against account {2},,,erpnext/accounts/doctype/payment_ledger_entry/payment_ledger_entry.py:108; erpnext/accounts/doctype/payment_ledger_entry/payment_ledger_entry.py:118; erpnext/accounts/general_ledger.py:846; erpnext/accounts/general_ledger.py:856,,,
erpnext,Is Exchange Gain / Loss?,هل هو ربح/خسارة صرف؟,,erpnext/accounts/doctype/payment_entry_deduction/payment_entry_deduction.json:None,Label of the is_exchange_gain_loss (Check) field in DocType 'Payment Entry | Deduction',,reviewed_glossary
erpnext,Is Tax Withholding Account,حساب ضريبة خصم,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None; erpnext/accounts/doctype/purchase_taxes_and_charges/purchase_taxes_and_charges.json:None,Label of the is_tax_withholding_account (Check) field in DocType 'Journal | Entry Account' | Label of the is_tax_withholding_account (Check) field in DocType 'Purchase | Taxes and Charges',,reviewed_glossary
erpnext,Journal Entry for Asset scrapping cannot be cancelled. Please restore the Asset.,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:540,,,
erpnext,Journal Entry type should be set as Depreciation Entry for asset depreciation,يجب تعيين نوع قيد اليومية كقيد إهلاك لإهلاك الأصل,,erpnext/accounts/doctype/journal_entry/journal_entry.py:333,,,reviewed_glossary
erpnext,Loan,قرض,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None,Option for the 'Reference Type' (Select) field in DocType 'Journal Entry | Account',,reviewed_glossary
erpnext,Making Journal Entries against advance accounts: {0} is not recommended. These Journals won't be available for Reconciliation.,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:168,,,
erpnext,Missing Default in Company,إعداد افتراضي مفقود في الشركة,,erpnext/accounts/doctype/payment_entry/payment_entry.py:1213,,,reviewed_glossary
erpnext,No difference found for stock account {0},,,erpnext/accounts/doctype/journal_entry/journal_entry.py:219,,,
erpnext,No outstanding {0} found for the {1} {2} which qualify the filters you have specified.,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:2493,,,
erpnext,Offsetting for Accounting Dimension,,,erpnext/accounts/general_ledger.py:92,,,
erpnext,Opening Entry can not be created after Period Closing Voucher is created.,,,erpnext/accounts/general_ledger.py:802,,,
erpnext,Paid Amount After Tax,المبلغ المدفوع بعد الضريبة,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the paid_amount_after_tax (Currency) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,Paid Amount After Tax (Company Currency),المبلغ المدفوع بعد الضريبة (عملة الشركة),,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the base_paid_amount_after_tax (Currency) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,Paid From Account Type,نوع الحساب المدفوع منه,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the paid_from_account_type (Data) field in DocType 'Payment Entry',,reviewed_glossary
erpnext,Paid To Account Type,نوع الحساب المدفوع إليه,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the paid_to_account_type (Data) field in DocType 'Payment Entry',,reviewed_glossary
erpnext,Particulars,البيان,,erpnext/accounts/report/general_ledger/general_ledger.html:88,,,reviewed_glossary
erpnext,Party Not Required,الجهة غير مطلوبة,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the party_not_required (Check) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Party can only be one of {0},,,erpnext/accounts/doctype/payment_entry/payment_entry.js:456,,,
erpnext,Payment Request Outstanding,مستحق طلب الدفع,,erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None,Label of the payment_request_outstanding (Float) field in DocType 'Payment | Entry Reference',,reviewed_glossary
erpnext,Payment Term Outstanding,مستحق شرط الدفع,,erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None,Label of the payment_term_outstanding (Float) field in DocType 'Payment | Entry Reference',,reviewed_glossary
erpnext,Payment term {0} not used in {1},,,erpnext/accounts/doctype/payment_entry/payment_entry.py:817,,,
erpnext,Payroll Entry,قيد الرواتب,,erpnext/accounts/doctype/journal_entry_account/journal_entry_account.json:None,Option for the 'Reference Type' (Select) field in DocType 'Journal Entry | Account',,reviewed_glossary
erpnext,Period Closed,الفترة مغلقة,,erpnext/accounts/general_ledger.py:814,,,reviewed_glossary
erpnext,Period Closing Entry For Current Period,قيد إغلاق الفترة للفترة الحالية,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.js:69; erpnext/accounts/report/trial_balance/trial_balance.js:89,,,reviewed_glossary
erpnext,Periodic Accounting,محاسبة دورية,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the section_break_tcvw (Section Break) field in DocType 'Journal | Entry',,reviewed_glossary
erpnext,Periodic Accounting Entry,قيد محاسبة دوري,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Option for the 'Entry Type' (Select) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Periodic Accounting Entry is not allowed for company {0} with perpetual inventory enabled,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:245,,,
erpnext,Periodic Entry Difference Account,حساب فرق القيد الدوري,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the periodic_entry_difference_account (Link) field in DocType | 'Journal Entry',,reviewed_glossary
erpnext,Please Specify Account,يرجى تحديد الحساب,,erpnext/accounts/doctype/payment_entry/payment_entry.js:1873,,,reviewed_glossary
erpnext,Please mention '{0}' in Company: {1},,,erpnext/accounts/general_ledger.py:648; erpnext/accounts/general_ledger.py:655,,,
erpnext,Please select Periodic Accounting Entry Difference Account,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:251,,,
erpnext,Please select Stock Asset Account,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:270,,,
erpnext,Please set '{0}' in Company: {1},,,erpnext/accounts/general_ledger.py:554,,,
erpnext,Please set {0} in Company {1} to account for Exchange Gain / Loss,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:1210,,,
erpnext,Printed on {0},طبع في {0},,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:383; erpnext/accounts/report/accounts_receivable/accounts_receivable.html:291; erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.html:46; erpnext/accounts/report/financial_statements.html:76; erpnext/accounts/report/general_ledger/general_ledger.html:180; erpnext/buying/report/supplier_quotation_comparison/supplier_quotation_comparison.html:127,,,reviewed_glossary
erpnext,Received Amount After Tax,المبلغ المستلم بعد الضريبة,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the received_amount_after_tax (Currency) field in DocType 'Payment | Entry',,reviewed_glossary
erpnext,Received Amount After Tax (Company Currency),المبلغ المستلم بعد الضريبة (عملة الشركة),,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the base_received_amount_after_tax (Currency) field in DocType | 'Payment Entry',,reviewed_glossary
erpnext,Received Amount cannot be greater than Paid Amount,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:1046,,,
erpnext,Reconcile Effect On,أثر التسوية في,,erpnext/accounts/doctype/payment_entry_reference/payment_entry_reference.json:None,Label of the reconcile_effect_on (Date) field in DocType 'Payment Entry | Reference',,reviewed_glossary
erpnext,Reconcile on Advance Payment Date,التسوية بتاريخ الدفعة المقدمة,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None; erpnext/setup/doctype/company/company.json:None,Label of the reconcile_on_advance_payment_date (Check) field in DocType | 'Payment Entry' | 'Company',,reviewed_glossary
erpnext,References {0} of type {1} had no outstanding amount left before submitting the Payment Entry. Now they have a negative outstanding amount.,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:733,,,
erpnext,Revaluation Journals,,,erpnext/accounts/report/accounts_payable/accounts_payable.js:140; erpnext/accounts/report/accounts_payable_summary/accounts_payable_summary.js:102; erpnext/accounts/report/accounts_receivable/accounts_receivable.js:172; erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.js:130,,,
erpnext,Reversal Of,عكس,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the reversal_of (Link) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Row #{0}: Allocated Amount cannot be greater than Outstanding Amount of Payment Request {1},,,erpnext/accounts/doctype/payment_entry/payment_entry.py:391,,,
erpnext,Row #{0}: Allocated amount:{1} is greater than outstanding amount:{2} for Payment Term {3},,,erpnext/accounts/doctype/payment_entry/payment_entry.py:484,,,
erpnext,Row #{0}: Cannot allocate more than {1} against payment term {2},,,erpnext/accounts/doctype/payment_entry/payment_entry.py:863,,,
erpnext,"Row #{0}: For {1}, you can select reference document only if account gets credited",,,erpnext/accounts/doctype/journal_entry/journal_entry.py:665,,,
erpnext,"Row #{0}: For {1}, you can select reference document only if account gets debited",,,erpnext/accounts/doctype/journal_entry/journal_entry.py:675,,,
erpnext,Row {0}: Account {1} and Party Type {2} have different account types,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:580,,,
erpnext,Row {0}: Both Debit and Credit values cannot be zero,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:899,,,
erpnext,Rows: {0} have 'Payment Entry' as reference_type. This should not be set manually.,,,erpnext/accounts/doctype/journal_entry/journal_entry.js:128,,,
erpnext,STATEMENT OF ACCOUNTS,كشف الحساب,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:26; erpnext/accounts/report/general_ledger/general_ledger.html:60,,,reviewed_glossary
erpnext,Show Credit / Debit in Company Currency,إظهار الدائن/المدين بعملة الشركة,,erpnext/accounts/report/general_ledger/general_ledger.js:202,,,reviewed_glossary
erpnext,Show GL Balance,إظهار رصيد دفتر الأستاذ العام,,erpnext/accounts/report/accounts_payable_summary/accounts_payable_summary.js:107; erpnext/accounts/report/accounts_receivable_summary/accounts_receivable_summary.js:125,,,reviewed_glossary
erpnext,Show Group Accounts,إظهار الحسابات المجمعة,,erpnext/accounts/report/consolidated_trial_balance/consolidated_trial_balance.js:91; erpnext/accounts/report/trial_balance/trial_balance.js:117,,,reviewed_glossary
erpnext,Show Net Values in Party Account,إظهار القيم الصافية في حساب الجهة,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/general_ledger/general_ledger.js:197,Label of the show_net_values_in_party_account (Check) field in DocType | 'Process Statement Of Accounts',,reviewed_glossary
erpnext,Show Remarks,إظهار الملاحظات,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts.json:None; erpnext/accounts/report/accounts_payable/accounts_payable.js:125; erpnext/accounts/report/accounts_receivable/accounts_receivable.js:162; erpnext/accounts/report/general_ledger/general_ledger.js:212,Label of the show_remarks (Check) field in DocType 'Process Statement Of | Accounts',,reviewed_glossary
erpnext,Show net values in opening and closing columns,,,erpnext/accounts/report/trial_balance/trial_balance.js:111,,,
erpnext,Source Exchange Rate,سعر صرف المصدر,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the source_exchange_rate (Float) field in DocType 'Payment Entry',,reviewed_glossary
erpnext,Splitting {0} {1} into {2} rows as per Payment Terms,,,erpnext/accounts/doctype/payment_entry/payment_entry.py:2519,,,
erpnext,Stock Asset Account,حساب أصل المخزون,,erpnext/accounts/doctype/journal_entry/journal_entry.json:None,Label of the stock_asset_account (Link) field in DocType 'Journal Entry',,reviewed_glossary
erpnext,Target Exchange Rate,سعر الصرف الهدف,,erpnext/accounts/doctype/payment_entry/payment_entry.json:None,Label of the target_exchange_rate (Float) field in DocType 'Payment Entry',,reviewed_glossary
erpnext,Tax Id: {0},,,erpnext/accounts/doctype/process_statement_of_accounts/process_statement_of_accounts_accounts_receivable.html:32,,,
erpnext,The task has been enqueued as a background job.,,,erpnext/accounts/doctype/journal_entry/journal_entry.py:179; erpnext/accounts/doctype/journal_entry/journal_entry.py:186,,,
