source_text	translated_text	quorum_decision	decision_ref
Show Aggregate Value from Subsidiary Companies	عرض القيمة الإجمالية للشركات التابعة	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Sold by	تم البيع بواسطة	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Stock quantity not enough for Item Code: {0} under warehouse {1}. Available quantity {2} {3}.	كمية المخزون غير كافية لرمز الصنف: {0} في المستودع {1}. الكمية المتاحة {2} {3}.	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Successfully linked to Supplier	تم الربط بالمورد بنجاح	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Supplier is required for all selected Items	المورد مطلوب لجميع الأصناف المحددة	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Supplier numbers assigned by the customer	أرقام الموردين التي يعينها العميل	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
The current POS opening entry is outdated. Please close it and create a new one.	قيد فتح نقطة البيع الحالي قديم. يرجى إغلاقه وإنشاء قيد جديد.	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
This Sales Order has been fully subcontracted.	تم التعاقد بأكمله بمقاولة الباطن لأمر البيع هذا.	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
This item filter has already been applied for the {0}	تم تطبيق عامل تصفية الأصناف هذا بالفعل للـ {0}	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Total Only	الإجمالي فقط	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Total Picked Quantity {0} is more than ordered qty {1}. You can set the Over Picking Allowance in Stock Settings.	إجمالي الكمية الملتقطة {0} أكبر من الكمية المطلوبة {1}. يمكنك ضبط حصة الالتقاط الزائد في إعدادات المخزون.	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Total quantity in delivery schedule cannot be greater than the item quantity	إجمالي الكمية في جدول التسليم لا يمكن أن يكون أكبر من كمية الصنف	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Use Legacy (Client side) Reactivity	استخدام نموذج التفاعلية القديم (من جهة العميل)	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
Week {0} {1}	الأسبوع {0} {1}	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
You have unsaved changes. Do you want to save the invoice?	لديك تغييرات غير محفوظة. هل تريد حفظ الفاتورة؟	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
discount applied	تم تطبيق الخصم	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
doc_type	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-2 batch-02 owner-approved 2026-09-23
doctype	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-2 batch-02 owner-approved 2026-09-23
quotation_item	EXCEPTION-technical	EXCEPTION-technical (keep vendor rendering; no translation)	stage6-W6-2 batch-02 owner-approved 2026-09-23
{}  To Deliver	{}  للتسليم	quorum-confirmed (release payload row)	stage6-W6-2 batch-02 owner-approved 2026-09-23
