source_text,suggested_ar,locations,area,has_pre_filled
Response and Resolution,,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,0
"Row {0}: To set {1} periodicity, difference between from and to date must be greater than or equal to {2}",,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py:217,maintenance,0
SLA Fulfilled On,تم استيفاء اتفاقية مستوى الخدمة عند,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,1
SLA Fulfilled On Status,حالة استيفاء اتفاقية مستوى الخدمة,erpnext/support/doctype/sla_fulfilled_on_status/sla_fulfilled_on_status.json:None,support,1
SLA Paused On,تم إيقاف اتفاقية مستوى الخدمة عند,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,1
SLA will be applied if {1} is set as {2}{3},,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:52,support,0
SLA will be applied on every {0},,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:32,support,0
Sales Pipeline Analytics,تحليلات مسار المبيعات,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.json:None; erpnext/crm/workspace/crm/crm.json:None,crm,1
Service Level Agreement for {0} {1} already exists.,,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:176,support,0
Service Level Name,اسم مستوى الخدمة,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,1
Set Response Time for Priority {0} in row {1}.,,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:82; erpnext/support/doctype/service_level_agreement/service_level_agreement.py:90,support,0
Settings for Selling Module,إعدادات وحدة البيع,erpnext/crm/doctype/crm_settings/crm_settings.json:None; erpnext/selling/doctype/selling_settings/selling_settings.json:None,crm,1
Signee,الموقع,erpnext/crm/doctype/contract/contract.json:None,crm,1
"Simple Python Expression, Example: doc.status == 'Open' and doc.issue_type == 'Bug'",,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,0
Stage,,erpnext/crm/doctype/prospect_opportunity/prospect_opportunity.json:None,crm,0
Start Time can't be greater than or equal to End Time for {0}.,,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:129,support,0
Status Details,تفاصيل الحالة,erpnext/support/doctype/service_level_agreement/service_level_agreement.json:None,support,1
Territory Wise Sales,المبيعات حسب المنطقة,erpnext/crm/workspace/crm/crm.json:None,crm,1
The Document Type {0} must have a Status field to configure Service Level Agreement,,erpnext/support/doctype/service_level_agreement/service_level_agreement.py:206,support,0
Time slot is not available,الفترة الزمنية غير متاحة,erpnext/crm/doctype/appointment/appointment.py:60,crm,1
To Date is mandatory,تاريخ إلى إلزامي,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:30,crm,1
Total Issues,إجمالي البلاغات,erpnext/support/report/issue_summary/issue_summary.py:82,support,1
Unqualified,غير مؤهل,erpnext/crm/doctype/lead/lead.json:None,crm,1
Update the modified timestamp on new communications received in Lead & Opportunity.,,erpnext/crm/doctype/crm_settings/crm_settings.json:None,crm,0
Update timestamp on new communication,تحديث الطابع الزمني عند اتصال جديد,erpnext/crm/doctype/crm_settings/crm_settings.json:None,crm,1
Visits,,erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.json:None,maintenance,0
fieldname,,erpnext/crm/report/sales_pipeline_analytics/sales_pipeline_analytics.py:184,crm,0
or its descendants,,erpnext/support/doctype/service_level_agreement/service_level_agreement.js:50,support,0
{} Open,,erpnext/crm/workspace/crm/crm.json:None; erpnext/projects/workspace/projects/projects.json:None; erpnext/quality_management/workspace/quality/quality.json:None; erpnext/selling/workspace/selling/selling.json:None,crm,0
