msgid,msgstr,context,locations,comments,review_notes
Auto-calculated WCAG contrast (accent_primary vs surface_bg),تباين WCAG محسوب تلقائيا (accent_primary مقابل surface_bg),,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Contrast Ratio' (Float) field in DocType 'Construction | Theme',
Auto-computed if empty,يحسب تلقائيا إذا كان فارغا,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Primary Button Hover Background' (Color) field in | DocType 'Construction Theme' | Description of the 'Secondary Button Hover Background' (Color) field in,
BOQ Header,رأس جدول الكميات,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/boq_structure/boq_structure_tree.js:154; construction/fixtures/workspace_sidebar-construction.json:None; construction/public/js/boq_structure_tree.js:20,Label of a Workspace Sidebar Item | Name of a DocType | Label of the boq_header (Link) field in DocType 'BOQ Item' | Label of the boq_header (Link) field in DocType 'BOQ Structure',
BOQ Item,بند جدول الكميات,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/fixtures/workspace_sidebar-construction.json:None,Label of a Workspace Sidebar Item | Name of a DocType,
BOQ Item can only be linked to leaf nodes (is_group=0).,يمكن ربط بند جدول الكميات بالعقد النهائية فقط (is_group=0).,,construction/construction/doctype/boq_item/boq_item.py:54,,
BOQ Items,بنود جدول الكميات,,construction/construction/doctype/boq_structure/boq_structure_tree.js:163,,
BOQ Management,إدارة جدول الكميات,,construction/config/workspace_sidebar_items.json:None,Label of a Workspace Sidebar Item,
BOQ PDF exported,تم تصدير PDF لجدول الكميات,,construction/construction/doctype/boq_structure/boq_structure_tree.js:207,,
BOQ Structure,هيكل جدول الكميات,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/fixtures/workspace_sidebar-construction.json:None; construction/public/js/boq_structure_tree.js:6,Label of a Workspace Sidebar Item | Name of a DocType,
BOQ Structure Tree,شجرة هيكل جدول الكميات,,construction/construction/doctype/boq_structure/boq_structure.js:25,,
BOQ Type,نوع جدول الكميات,,construction/construction/doctype/boq_header/boq_header.json:None,Label of the boq_type (Select) field in DocType 'BOQ Header',
BOQ exported,تم تصدير جدول الكميات,,construction/construction/doctype/boq_structure/boq_structure_tree.js:184,,
Background Image,صورة الخلفية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Login Page Background Type' (Select) field in DocType | 'Construction Theme',
Base Productivity,الإنتاجية الأساسية,,construction/construction/doctype/costitem/cost_item.json:None,Label of the base_productivity (Float) field in DocType 'CostItem',
Block theme save if WCAG AA contrast ratio is not met,منع حفظ السمة إذا لم تتحقق نسبة تباين WCAG AA,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'Enforce Contrast Check' (Check) field in DocType 'Modern | Theme Settings',
Body Background,خلفية الصفحة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the body_bg (Color) field in DocType 'Construction Theme',
Border Color,لون الحدود,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the border_color (Color) field in DocType 'Construction Theme',
"Branch '{0}' belongs to Company '{1}', not '{2}'.",الفرع '{0}' تابع للشركة '{1}' وليس '{2}'.,,construction/overrides/scope_enforcement.py:20,,
Branch (legacy — use Cost Center),الفرع (قديم - استخدم مركز التكلفة),,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the branch (Link) field in DocType 'User Scope Context',
Branding,الهوية البصرية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the branding_section (Section Break) field in DocType 'Construction | Theme',
Buttons,الأزرار,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the buttons_tab (Tab Break) field in DocType 'Construction Theme',
CSS Cache TTL (seconds),مدة صلاحية ذاكرة CSS المؤقتة (ثوان),,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the css_cache_ttl (Int) field in DocType 'Modern Theme Settings',
Calculated Sell Price,سعر البيع المحسوب,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the calculated_sell_price (Currency) field in DocType 'BOQ Item',
Cannot convert to leaf: node has child nodes.,لا يمكن التحويل إلى عقدة نهائية: تحتوي العقدة على عقد فرعية.,,construction/construction/doctype/boq_structure/boq_structure.py:66,,
Cannot modify BOQ Item: BOQ is Frozen.,لا يمكن تعديل بند جدول الكميات: جدول الكميات مجمد.,,construction/construction/doctype/boq_item/boq_item.py:67,,
Cannot modify BOQ Item: BOQ is Locked.,لا يمكن تعديل بند جدول الكميات: جدول الكميات مقفل.,,construction/construction/doctype/boq_item/boq_item.py:65,,
Cannot modify BOQ Structure: BOQ is {0}.,لا يمكن تعديل هيكل جدول الكميات: حالة جدول الكميات {0}.,,construction/construction/doctype/boq_structure/boq_structure.py:61,,
Cannot modify field '{0}': BOQ is in Pricing status. Only pricing-related fields can be edited.,لا يمكن تعديل الحقل '{0}': جدول الكميات في حالة التسعير. يمكن تعديل الحقول المرتبطة بالتسعير فقط.,,construction/construction/doctype/boq_item/boq_item.py:93,,
"Cards, modals, popover backgrounds",خلفيات البطاقات والنوافذ واللوحات المنبثقة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Surface Background' (Color) field in DocType | 'Construction Theme',
Category,الفئة,,construction/construction/doctype/costitem/cost_item.json:None,Label of the category (Link) field in DocType 'CostItem',
Choose a BOQ to view its structure...,اختر جدول كميات لعرض هيكله...,,construction/construction/doctype/boq_structure/boq_structure_tree.js:17,,
Client ID,معرف العميل,,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the client_id (Data) field in DocType 'User Scope Context',
Close,إغلاق,,construction/construction/doctype/construction_theme/construction_theme.js:163,,
Color Scheme,نظام الألوان,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the color_scheme (Select) field in DocType 'Construction Theme',
Company,الشركة,,construction/construction/doctype/user_scope_context/user_scope_context.json:None; construction/public/js/scope_context_ui.js:154,Label of the company (Link) field in DocType 'User Scope Context',
Company is mandatory for Scope Context.,الشركة إلزامية لسياق النطاق.,,construction/api/scope_context_api.py:157,,
Computed field '{0}' must be non-negative. Got: {1},يجب ألا يكون الحقل المحسوب '{0}' سالبا. القيمة: {1},,construction/construction/doctype/boq_item/boq_item.py:171,,
Confirm,تأكيد,,construction/public/js/scope_context_ui.js:163,,
Construction,المقاولات,,construction/config/workspace_sidebar_items.json:None; construction/fixtures/workspace_sidebar-construction.json:None; construction/workspace/construction/construction.json:None,Title of a Workspace Sidebar | Name of a Workspace,
Construction Dark,مقاولات داكن,,construction/construction/doctype/construction_theme/construction_theme.json:None; construction/fixtures/construction_theme.json:None,Option for the 'Theme Type' (Select) field in DocType 'Construction Theme' | Value of theme_type in Construction Theme fixture | Value of theme_name in Construction Theme fixture,
Construction Light,مقاولات فاتح,,construction/construction/doctype/construction_theme/construction_theme.json:None; construction/fixtures/construction_theme.json:None,Option for the 'Theme Type' (Select) field in DocType 'Construction Theme' | Value of theme_type in Construction Theme fixture | Value of theme_name in Construction Theme fixture,
Construction Owner,مالك المشروع,,construction/construction/doctype/boq_header/boq_header.json:None; construction/construction/doctype/boq_item/boq_item.json:None; construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/costitem/cost_item.json:None,Name of a role,
Construction Settings,إعدادات المقاولات,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/construction_settings/construction_settings.json:None,Label of a Workspace Sidebar Item | Name of a DocType,
Construction Theme,سمة المقاولات,,construction/config/workspace_sidebar_items.json:None; construction/construction/doctype/construction_theme/construction_theme.json:None,Label of a Workspace Sidebar Item | Name of a DocType,
Construction branded dark theme,سمة داكنة بهوية المقاولات,,construction/fixtures/construction_theme.json:None,Value of description in Construction Theme fixture,
Construction branded light theme,سمة فاتحة بهوية المقاولات,,construction/fixtures/construction_theme.json:None,Value of description in Construction Theme fixture,
Contingency,احتياطي,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Contract,عقد,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'BOQ Type' (Select) field in DocType 'BOQ Header',
Contract Unit Price,سعر الوحدة التعاقدي,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the contract_unit_price (Currency) field in DocType 'BOQ Item',
Contrast Ratio,نسبة التباين,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the contrast_ratio (Float) field in DocType 'Construction Theme',
Convert to Group,تحويل إلى مجموعة,,construction/construction/doctype/boq_structure/boq_structure.js:83,,
Convert to Non-Group,تحويل إلى غير مجموعة,,construction/construction/doctype/boq_structure/boq_structure.js:79,,
Cost Center,مركز التكلفة,,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the cost_center (Link) field in DocType 'User Scope Context',
Cost Estimation,تقدير التكلفة,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_cost_estimation (Section Break) field in DocType 'BOQ Item',
Cost Item (Placeholder),بند تكلفة (مؤقت),,construction/construction/doctype/boq_item/boq_item.json:None,Label of the cost_item (Data) field in DocType 'BOQ Item',
Cost Item Code,كود بند التكلفة,,construction/construction/doctype/costitem/cost_item.json:None,Label of the cost_item_code (Data) field in DocType 'CostItem',
CostItem,بند تكلفة,,construction/construction/doctype/costitem/cost_item.json:None,Name of a DocType,
Create a new {0},إنشاء {0} جديد,,construction/public/js/overrides/ct_link_control.js:191,,
Custom CSS Overrides,تجاوزات CSS مخصصة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the custom_css (Code) field in DocType 'Construction Theme',
Custom CSS contains blocked pattern: {0}. External resources and expressions are not allowed.,يحتوي CSS المخصص على نمط محظور: {0}. الموارد الخارجية والتعبيرات غير مسموحة.,,construction/construction/doctype/construction_theme/construction_theme.py:418,,
Custom CSS exceeds 10KB limit.,يتجاوز CSS المخصص حد 10 كيلوبايت.,,construction/construction/doctype/construction_theme/construction_theme.py:426,,
Custom Construction Theme for Dark mode,سمة مقاولات مخصصة للوضع الداكن,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Description of the 'Dark Theme' (Link) field in DocType 'User Desk Theme',
Custom Construction Theme for Light mode,سمة مقاولات مخصصة للوضع الفاتح,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Description of the 'Light Theme' (Link) field in DocType 'User Desk Theme',
Custom Dark,داكن مخصص,,construction/construction/doctype/construction_theme/construction_theme.json:None; construction/fixtures/construction_theme.json:None,Option for the 'Theme Type' (Select) field in DocType 'Construction Theme' | Value of theme_type in Construction Theme fixture,
Custom Light,فاتح مخصص,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Theme Type' (Select) field in DocType 'Construction Theme',
Danger Color,لون الخطر,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the danger_color (Color) field in DocType 'Construction Theme',
Dark,داكن,,construction/fixtures/construction_theme.json:None,Value of theme_name in Construction Theme fixture,
Dark Theme,السمة الداكنة,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Label of the dark_theme (Link) field in DocType 'User Desk Theme',
Daywork,أعمال يومية,,construction/construction/doctype/boq_item/boq_item.json:None,Option for the 'Item Type' (Select) field in DocType 'BOQ Item',
Default,افتراضي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Login Box Position' (Select) field in DocType 'Construction | Theme',
Default Construction Theme for Dark mode,سمة المقاولات الافتراضية للوضع الداكن,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'Default Dark Theme' (Link) field in DocType 'Modern | Theme Settings',
Default Construction Theme for Light mode,سمة المقاولات الافتراضية للوضع الفاتح,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'Default Light Theme' (Link) field in DocType 'Modern | Theme Settings',
Default Dark Theme,السمة الداكنة الافتراضية,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the default_dark_theme (Link) field in DocType 'Modern Theme | Settings',
Default Light Theme,السمة الفاتحة الافتراضية,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the default_light_theme (Link) field in DocType 'Modern Theme | Settings',
Default Wastage %,نسبة الهالك الافتراضية %,,construction/construction/doctype/costitem/cost_item.json:None,Label of the default_wastage_pct (Percent) field in DocType 'CostItem',
Department,القسم,,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the department (Link) field in DocType 'User Scope Context',
Deprecated,مهمل,,construction/construction/doctype/costitem/cost_item.json:None,Option for the 'Status' (Select) field in DocType 'CostItem',
Description,الوصف,,construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/construction_theme/construction_theme.json:None; construction/construction/doctype/costitem/cost_item.json:None,Label of the description (Small Text) field in DocType 'BOQ Structure' | Label of the description_section (Section Break) field in DocType | 'Construction Theme' | Label of the description (Small Text) field in DocType 'Construction Theme' | Label of the description (Text) field in DocType 'CostItem',
Determines base styling and CSS generation,يحدد التنسيق الأساسي وتوليد CSS,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Theme Type' (Select) field in DocType 'Construction | Theme',
Disable Update Popup,تعطيل نافذة التحديث المنبثقة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the disable_update_popup (Check) field in DocType 'Construction | Theme',
Draft,مسودة,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'Status' (Select) field in DocType 'BOQ Header',
Emoji Icon,أيقونة تعبيرية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the emoji_icon (Data) field in DocType 'Construction Theme',
Enable Scope Company,تمكين نطاق الشركة,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the enable_scope_company (Check) field in DocType 'Construction | Settings',
Enable Scope Context,تمكين سياق النطاق,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the enable_scope_context (Check) field in DocType 'Construction | Settings',
Enable Scope Cost Center,تمكين نطاق مركز التكلفة,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the enable_scope_cost_center (Check) field in DocType 'Construction | Settings',
Enable Scope Department,تمكين نطاق القسم,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the enable_scope_department (Check) field in DocType 'Construction | Settings',
Enable Scope Project,تمكين نطاق المشروع,,construction/construction/doctype/construction_settings/construction_settings.json:None,Label of the enable_scope_project (Check) field in DocType 'Construction | Settings',
Enable user scope context feature (Company/Branch/Project/Department filtering and form defaults),تمكين ميزة سياق نطاق المستخدم (تصفية الشركة/الفرع/المشروع/القسم والقيم الافتراضية للنماذج),,construction/construction/doctype/construction_settings/construction_settings.json:None,Description of the 'Enable Scope Context' (Check) field in DocType | 'Construction Settings',
Enforce Contrast Check,فرض فحص التباين,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the enforce_contrast_check (Check) field in DocType 'Modern Theme | Settings',
Equipment Type,نوع المعدة,,construction/construction/doctype/plantresource/plant_resource.json:None,Label of the equipment_type (Data) field in DocType 'PlantResource',
Error Color,لون الخطأ,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the error_color (Color) field in DocType 'Construction Theme',
Error generating preview: ,خطأ أثناء توليد المعاينة: ,,construction/construction/doctype/construction_theme/construction_theme.js:124,,
Estimated Line Total,إجمالي السطر المقدر,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the est_line_total (Currency) field in DocType 'BOQ Item',
Estimated Unit Cost,تكلفة الوحدة المقدرة,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the est_unit_cost (Currency) field in DocType 'BOQ Item',
Estimated Unit Price,سعر الوحدة المقدر,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the est_unit_price (Currency) field in DocType 'BOQ Item',
Excel - Full BOQ,Excel - جدول كميات كامل,,construction/construction/doctype/boq_header/boq_header.js:254; construction/construction/doctype/boq_structure/boq_structure_tree.js:171,,
Excel - Header Only,Excel - الرأس فقط,,construction/construction/doctype/boq_header/boq_header.js:238,,
Export,تصدير,,construction/construction/doctype/boq_structure/boq_structure.js:48; construction/construction/doctype/boq_structure/boq_structure.js:64; construction/construction/doctype/boq_structure/boq_structure.js:72; construction/construction/doctype/boq_structure/boq_structure_tree.js:189; construction/construction/doctype/boq_structure/boq_structure_tree.js:214; construction/public/js/construction_export_menu.js:45,,
Export to Excel,تصدير إلى Excel,,construction/construction/doctype/boq_structure/boq_structure.js:36,,
Export to PDF,تصدير إلى PDF,,construction/construction/doctype/boq_structure/boq_structure.js:52,,
Factor,المعامل,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the factor (Float) field in DocType 'BOQ Item',
Failed to generate theme preview,فشل توليد معاينة السمة,,construction/construction/doctype/construction_theme/construction_theme.js:128,,
Favicon,أيقونة الموقع,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the favicon (Attach Image) field in DocType 'Construction Theme',
Feature toggle,مفتاح تفعيل الميزة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Hide Like and Comment' (Check) field in DocType | 'Construction Theme' | Description of the 'Mobile Card View' (Check) field in DocType 'Construction | Theme' | Description of the 'Hide Help Button' (Check) field in DocType 'Construction | Description of the 'Hide Search Bar' (Check) field in DocType 'Construction | Description of the 'Hide Sidebar' (Check) field in DocType 'Construction,
Features,الميزات,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the features_section (Section Break) field in DocType 'Construction | Theme',
Field '{0}' must be between 0 and 100. Got: {1},يجب أن يكون الحقل '{0}' بين 0 و100. القيمة: {1},,construction/construction/doctype/boq_item/boq_item.py:117,,
Field '{0}' must be non-negative. Got: {1},يجب ألا يكون الحقل '{0}' سالبا. القيمة: {1},,construction/construction/doctype/boq_item/boq_item.py:112,,
Footer,التذييل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the footer_tab (Tab Break) field in DocType 'Construction Theme',
Footer Background,خلفية التذييل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the footer_bg (Color) field in DocType 'Construction Theme',
Footer Text,نص التذييل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the footer_text (Color) field in DocType 'Construction Theme',
Frozen,مجمد,,construction/construction/doctype/boq_header/boq_header.json:None,Option for the 'Status' (Select) field in DocType 'BOQ Header',
General,عام,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the general_tab (Tab Break) field in DocType 'Construction Theme',
Groups contain child nodes. Non-groups are leaf items for pricing.,تحتوي المجموعات على عقد فرعية. العناصر غير المجمعة هي بنود نهائية للتسعير.,,construction/construction/doctype/boq_structure/boq_structure_tree.js:45,,
Hide Help Button,إخفاء زر المساعدة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the hide_help_button (Check) field in DocType 'Construction Theme',
Hide Help Menu,إخفاء قائمة المساعدة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the hide_help_menu (Check) field in DocType 'Construction Theme',
Hide Like and Comment,إخفاء الإعجاب والتعليق,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the hide_like_comment (Check) field in DocType 'Construction Theme',
Hide Search Bar,إخفاء شريط البحث,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the hide_search_bar (Check) field in DocType 'Construction Theme',
Hide Sidebar,إخفاء الشريط الجانبي,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the hide_sidebar (Check) field in DocType 'Construction Theme',
Home,الرئيسية,,construction/config/workspace_sidebar_items.json:None; construction/fixtures/workspace_sidebar-construction.json:None,Label of a Workspace Sidebar Item,
Hovered/pressed state - auto-calculated if blank,حالة المرور/الضغط - تحسب تلقائيا إذا كانت فارغة,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Accent Primary Hover' (Color) field in DocType | 'Construction Theme',
How long to cache generated CSS (default: 1 hour),مدة تخزين CSS المولد مؤقتا (الافتراضي: ساعة واحدة),,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Description of the 'CSS Cache TTL (seconds)' (Int) field in DocType 'Modern | Theme Settings',
Identity and Linkage,التعريف والربط,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_identity (Section Break) field in DocType 'BOQ Item',
Import Excel,استيراد Excel,,construction/construction/doctype/boq_header/boq_header.js:374,,
Inactive themes are hidden from switcher,السمات غير النشطة مخفية من المبدل,,construction/construction/doctype/construction_theme/construction_theme.json:None,Description of the 'Is Active' (Check) field in DocType 'Construction Theme',
Information,معلومات,,construction/construction/doctype/modern_theme_settings/modern_theme_settings.json:None,Label of the notes_section (Section Break) field in DocType 'Modern Theme | Settings',
Inherit from Site,وراثة من الموقع,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Label of the inherit_from_site (Check) field in DocType 'User Desk Theme',
Input Background,خلفية الإدخال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the input_bg (Color) field in DocType 'Construction Theme',
Input Border,حدود الإدخال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the input_border (Color) field in DocType 'Construction Theme',
Input Fields,حقول الإدخال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the input_fields_tab (Tab Break) field in DocType 'Construction | Theme',
Input Label Color,لون تسمية الإدخال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the input_label_color (Color) field in DocType 'Construction Theme',
Input Text,نص الإدخال,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the input_text (Color) field in DocType 'Construction Theme',
Invalid hex color format in field '{0}': {1},تنسيق لون hex غير صالح في الحقل '{0}': {1},,construction/construction/doctype/construction_theme/construction_theme.py:170,,
Is Active,نشط,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the is_active (Check) field in DocType 'Construction Theme',
Is Default Dark Theme,السمة الداكنة الافتراضية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the is_default_dark (Check) field in DocType 'Construction Theme',
Is Default Light Theme,السمة الفاتحة الافتراضية,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the is_default_light (Check) field in DocType 'Construction Theme',
Is Group,مجموعة,,construction/construction/doctype/boq_structure/boq_structure.json:None; construction/construction/doctype/boq_structure/boq_structure_tree.js:44,Label of the is_group (Check) field in DocType 'BOQ Structure',
Is Group (Section),مجموعة (قسم),,construction/public/js/boq_structure_tree.js:45,,
Is System Theme,سمة نظام,,construction/construction/doctype/construction_theme/construction_theme.json:None,Label of the is_system_theme (Check) field in DocType 'Construction Theme',
Item Type,نوع البند,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the item_type (Select) field in DocType 'BOQ Item',
Last Active At,آخر نشاط في,,construction/construction/doctype/user_scope_context/user_scope_context.json:None,Label of the last_active_at (Datetime) field in DocType 'User Scope Context',
Left,يسار,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Login Box Position' (Select) field in DocType 'Construction | Theme',
Light,فاتح,,construction/fixtures/construction_theme.json:None,Value of theme_name in Construction Theme fixture,
Light Theme,السمة الفاتحة,,construction/construction/doctype/user_desk_theme/user_desk_theme.json:None,Label of the light_theme (Link) field in DocType 'User Desk Theme',
Line Total,إجمالي السطر,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the line_total (Currency) field in DocType 'BOQ Item',
Live Preview,معاينة مباشرة,,construction/construction/doctype/construction_theme/construction_theme.js:424,,
Loading...,جار التحميل...,,construction/public/js/overrides/ct_link_control.js:118,,
